group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,Pcg32,Lemire,,,119585.0,ns,1696
distr_random_i32,Pcg32,Lemire,,,340442.0,ns,3392
distr_random_i32,Pcg32,Lemire,,,382170.0,ns,5088
distr_random_i32,Pcg32,Lemire,,,551028.0,ns,6784
distr_random_i32,Pcg32,Lemire,,,603036.0,ns,8480
distr_random_i32,Pcg32,Lemire,,,870279.0,ns,10176
distr_random_i32,Pcg32,Lemire,,,859359.0,ns,11872
distr_random_i32,Pcg32,Lemire,,,1093771.0,ns,13568
distr_random_i32,Pcg32,Lemire,,,1508843.0,ns,15264
distr_random_i32,Pcg32,Lemire,,,1190594.0,ns,16960
distr_random_i32,Pcg32,Lemire,,,1229106.0,ns,18656
distr_random_i32,Pcg32,Lemire,,,1962427.0,ns,20352
distr_random_i32,Pcg32,Lemire,,,1790353.0,ns,22048
distr_random_i32,Pcg32,Lemire,,,1743926.0,ns,23744
distr_random_i32,Pcg32,Lemire,,,1645912.0,ns,25440
distr_random_i32,Pcg32,Lemire,,,3000494.0,ns,27136
distr_random_i32,Pcg32,Lemire,,,7744953.0,ns,28832
distr_random_i32,Pcg32,Lemire,,,3027304.0,ns,30528
distr_random_i32,Pcg32,Lemire,,,1998005.0,ns,32224
distr_random_i32,Pcg32,Lemire,,,2372110.0,ns,33920
distr_random_i32,Pcg32,Lemire,,,2240832.0,ns,35616
distr_random_i32,Pcg32,Lemire,,,10292263.0,ns,37312
distr_random_i32,Pcg32,Lemire,,,2757395.0,ns,39008
distr_random_i32,Pcg32,Lemire,,,6698952.0,ns,40704
distr_random_i32,Pcg32,Lemire,,,2863506.0,ns,42400
distr_random_i32,Pcg32,Lemire,,,5795290.0,ns,44096
distr_random_i32,Pcg32,Lemire,,,3014400.0,ns,45792
distr_random_i32,Pcg32,Lemire,,,3322851.0,ns,47488
distr_random_i32,Pcg32,Lemire,,,2982850.0,ns,49184
distr_random_i32,Pcg32,Lemire,,,3189720.0,ns,50880
distr_random_i32,Pcg32,Lemire,,,4397897.0,ns,52576
distr_random_i32,Pcg32,Lemire,,,4523062.0,ns,54272
distr_random_i32,Pcg32,Lemire,,,4317174.0,ns,55968
distr_random_i32,Pcg32,Lemire,,,4938536.0,ns,57664
distr_random_i32,Pcg32,Lemire,,,4373471.0,ns,59360
distr_random_i32,Pcg32,Lemire,,,4990694.0,ns,61056
distr_random_i32,Pcg32,Lemire,,,5139795.0,ns,62752
distr_random_i32,Pcg32,Lemire,,,4462438.0,ns,64448
distr_random_i32,Pcg32,Lemire,,,4664489.0,ns,66144
distr_random_i32,Pcg32,Lemire,,,11393277.0,ns,67840
distr_random_i32,Pcg32,Lemire,,,12821748.0,ns,69536
distr_random_i32,Pcg32,Lemire,,,10502048.0,ns,71232
distr_random_i32,Pcg32,Lemire,,,9481275.0,ns,72928
distr_random_i32,Pcg32,Lemire,,,6147463.0,ns,74624
distr_random_i32,Pcg32,Lemire,,,5560638.0,ns,76320
distr_random_i32,Pcg32,Lemire,,,21383642.0,ns,78016
distr_random_i32,Pcg32,Lemire,,,6229207.0,ns,79712
distr_random_i32,Pcg32,Lemire,,,6755599.0,ns,81408
distr_random_i32,Pcg32,Lemire,,,5507528.0,ns,83104
distr_random_i32,Pcg32,Lemire,,,6511099.0,ns,84800
distr_random_i32,Pcg32,Lemire,,,11220252.0,ns,86496
distr_random_i32,Pcg32,Lemire,,,12291920.0,ns,88192
distr_random_i32,Pcg32,Lemire,,,12780181.0,ns,89888
distr_random_i32,Pcg32,Lemire,,,12952225.0,ns,91584
distr_random_i32,Pcg32,Lemire,,,6476934.0,ns,93280
distr_random_i32,Pcg32,Lemire,,,13204670.0,ns,94976
distr_random_i32,Pcg32,Lemire,,,6470672.0,ns,96672
distr_random_i32,Pcg32,Lemire,,,6767361.0,ns,98368
distr_random_i32,Pcg32,Lemire,,,11534473.0,ns,100064
distr_random_i32,Pcg32,Lemire,,,8675076.0,ns,101760
distr_random_i32,Pcg32,Lemire,,,6758435.0,ns,103456
distr_random_i32,Pcg32,Lemire,,,7281560.0,ns,105152
distr_random_i32,Pcg32,Lemire,,,19092664.0,ns,106848
distr_random_i32,Pcg32,Lemire,,,25114801.0,ns,108544
distr_random_i32,Pcg32,Lemire,,,7655224.0,ns,110240
distr_random_i32,Pcg32,Lemire,,,26080381.0,ns,111936
distr_random_i32,Pcg32,Lemire,,,8084813.0,ns,113632
distr_random_i32,Pcg32,Lemire,,,9412465.0,ns,115328
distr_random_i32,Pcg32,Lemire,,,25021396.0,ns,117024
distr_random_i32,Pcg32,Lemire,,,8579797.0,ns,118720
distr_random_i32,Pcg32,Lemire,,,7364376.0,ns,120416
distr_random_i32,Pcg32,Lemire,,,7708124.0,ns,122112
distr_random_i32,Pcg32,Lemire,,,8815370.0,ns,123808
distr_random_i32,Pcg32,Lemire,,,8861566.0,ns,125504
distr_random_i32,Pcg32,Lemire,,,8188419.0,ns,127200
distr_random_i32,Pcg32,Lemire,,,38016161.0,ns,128896
distr_random_i32,Pcg32,Lemire,,,8602309.0,ns,130592
distr_random_i32,Pcg32,Lemire,,,8930246.0,ns,132288
distr_random_i32,Pcg32,Lemire,,,8686237.0,ns,133984
distr_random_i32,Pcg32,Lemire,,,11263292.0,ns,135680
distr_random_i32,Pcg32,Lemire,,,9179566.0,ns,137376
distr_random_i32,Pcg32,Lemire,,,12718494.0,ns,139072
distr_random_i32,Pcg32,Lemire,,,9899012.0,ns,140768
distr_random_i32,Pcg32,Lemire,,,8938463.0,ns,142464
distr_random_i32,Pcg32,Lemire,,,17212833.0,ns,144160
distr_random_i32,Pcg32,Lemire,,,22332359.0,ns,145856
distr_random_i32,Pcg32,Lemire,,,24954119.0,ns,147552
distr_random_i32,Pcg32,Lemire,,,13031624.0,ns,149248
distr_random_i32,Pcg32,Lemire,,,13224589.0,ns,150944
distr_random_i32,Pcg32,Lemire,,,13354242.0,ns,152640
distr_random_i32,Pcg32,Lemire,,,20527077.0,ns,154336
