group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,SmallRng,Lemire,,,119745.0,ns,1951
distr_random_i32,SmallRng,Lemire,,,218782.0,ns,3902
distr_random_i32,SmallRng,Lemire,,,336323.0,ns,5853
distr_random_i32,SmallRng,Lemire,,,546490.0,ns,7804
distr_random_i32,SmallRng,Lemire,,,561027.0,ns,9755
distr_random_i32,SmallRng,Lemire,,,901799.0,ns,11706
distr_random_i32,SmallRng,Lemire,,,1030642.0,ns,13657
distr_random_i32,SmallRng,Lemire,,,1279982.0,ns,15608
distr_random_i32,SmallRng,Lemire,,,1084774.0,ns,17559
distr_random_i32,SmallRng,Lemire,,,1417681.0,ns,19510
distr_random_i32,SmallRng,Lemire,,,5479524.0,ns,21461
distr_random_i32,SmallRng,Lemire,,,1320368.0,ns,23412
distr_random_i32,SmallRng,Lemire,,,1429945.0,ns,25363
distr_random_i32,SmallRng,Lemire,,,1564678.0,ns,27314
distr_random_i32,SmallRng,Lemire,,,1869833.0,ns,29265
distr_random_i32,SmallRng,Lemire,,,2028152.0,ns,31216
distr_random_i32,SmallRng,Lemire,,,1925808.0,ns,33167
distr_random_i32,SmallRng,Lemire,,,2029083.0,ns,35118
distr_random_i32,SmallRng,Lemire,,,4219019.0,ns,37069
distr_random_i32,SmallRng,Lemire,,,2207369.0,ns,39020
distr_random_i32,SmallRng,Lemire,,,2448764.0,ns,40971
distr_random_i32,SmallRng,Lemire,,,2811508.0,ns,42922
distr_random_i32,SmallRng,Lemire,,,2662366.0,ns,44873
distr_random_i32,SmallRng,Lemire,,,3883046.0,ns,46824
distr_random_i32,SmallRng,Lemire,,,2801589.0,ns,48775
distr_random_i32,SmallRng,Lemire,,,3271154.0,ns,50726
distr_random_i32,SmallRng,Lemire,,,3829205.0,ns,52677
distr_random_i32,SmallRng,Lemire,,,3254252.0,ns,54628
distr_random_i32,SmallRng,Lemire,,,3215769.0,ns,56579
distr_random_i32,SmallRng,Lemire,,,3885020.0,ns,58530
distr_random_i32,SmallRng,Lemire,,,4172862.0,ns,60481
distr_random_i32,SmallRng,Lemire,,,4740461.0,ns,62432
distr_random_i32,SmallRng,Lemire,,,4111116.0,ns,64383
distr_random_i32,SmallRng,Lemire,,,3748593.0,ns,66334
distr_random_i32,SmallRng,Lemire,,,4225492.0,ns,68285
distr_random_i32,SmallRng,Lemire,,,4918738.0,ns,70236
