group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,174148.0,ns,1768
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,407358.0,ns,3536
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,746366.0,ns,5304
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,1185002.0,ns,7072
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,1517870.0,ns,8840
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,2262633.0,ns,10608
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,1216181.0,ns,12376
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,1210471.0,ns,14144
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,3425805.0,ns,15912
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,1698109.0,ns,17680
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,1764565.0,ns,19448
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,1960744.0,ns,21216
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,2690479.0,ns,22984
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,6242312.0,ns,24752
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,2687995.0,ns,26520
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,3858560.0,ns,28288
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,3946015.0,ns,30056
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,8153453.0,ns,31824
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,3153783.0,ns,33592
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,5476038.0,ns,35360
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,3599893.0,ns,37128
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,4023501.0,ns,38896
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,6430767.0,ns,40664
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,3681717.0,ns,42432
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,3957236.0,ns,44200
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,9819292.0,ns,45968
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,8608881.0,ns,47736
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,4817197.0,ns,49504
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,12429770.0,ns,51272
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,7856493.0,ns,53040
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,5396568.0,ns,54808
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,8921941.0,ns,56576
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,6579427.0,ns,58344
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,7080191.0,ns,60112
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,5295267.0,ns,61880
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,14896909.0,ns,63648
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,6319928.0,ns,65416
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,8743926.0,ns,67184
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,7349588.0,ns,68952
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,18136964.0,ns,70720
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,7280668.0,ns,72488
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,10915727.0,ns,74256
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,8535462.0,ns,76024
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,11211625.0,ns,77792
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,16383119.0,ns,79560
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,21265959.0,ns,81328
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,11063696.0,ns,83096
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,17747129.0,ns,84864
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,10661419.0,ns,86632
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,8225709.0,ns,88400
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,10884930.0,ns,90168
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,8412130.0,ns,91936
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,8579235.0,ns,93704
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,8320859.0,ns,95472
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,10540591.0,ns,97240
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,11810102.0,ns,99008
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,9020166.0,ns,100776
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,13165656.0,ns,102544
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,12451762.0,ns,104312
distr_random_i64,ChaCha8Rng,Canon-Lemire,,,26614928.0,ns,106080
