group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,Pcg32,Canon32-2,,,195719.0,ns,1441
distr_random_i64,Pcg32,Canon32-2,,,594761.0,ns,2882
distr_random_i64,Pcg32,Canon32-2,,,829543.0,ns,4323
distr_random_i64,Pcg32,Canon32-2,,,753560.0,ns,5764
distr_random_i64,Pcg32,Canon32-2,,,1681058.0,ns,7205
distr_random_i64,Pcg32,Canon32-2,,,829573.0,ns,8646
distr_random_i64,Pcg32,Canon32-2,,,2431942.0,ns,10087
distr_random_i64,Pcg32,Canon32-2,,,1965543.0,ns,11528
distr_random_i64,Pcg32,Canon32-2,,,2812199.0,ns,12969
distr_random_i64,Pcg32,Canon32-2,,,2246153.0,ns,14410
distr_random_i64,Pcg32,Canon32-2,,,4253795.0,ns,15851
distr_random_i64,Pcg32,Canon32-2,,,3000755.0,ns,17292
distr_random_i64,Pcg32,Canon32-2,,,3973377.0,ns,18733
distr_random_i64,Pcg32,Canon32-2,,,2184567.0,ns,20174
distr_random_i64,Pcg32,Canon32-2,,,4229459.0,ns,21615
distr_random_i64,Pcg32,Canon32-2,,,3030300.0,ns,23056
distr_random_i64,Pcg32,Canon32-2,,,3218184.0,ns,24497
distr_random_i64,Pcg32,Canon32-2,,,7983372.0,ns,25938
distr_random_i64,Pcg32,Canon32-2,,,3486089.0,ns,27379
distr_random_i64,Pcg32,Canon32-2,,,8891703.0,ns,28820
distr_random_i64,Pcg32,Canon32-2,,,6343502.0,ns,30261
distr_random_i64,Pcg32,Canon32-2,,,9460125.0,ns,31702
distr_random_i64,Pcg32,Canon32-2,,,10126651.0,ns,33143
distr_random_i64,Pcg32,Canon32-2,,,7442854.0,ns,34584
distr_random_i64,Pcg32,Canon32-2,,,4005247.0,ns,36025
distr_random_i64,Pcg32,Canon32-2,,,4660221.0,ns,37466
distr_random_i64,Pcg32,Canon32-2,,,5365660.0,ns,38907
distr_random_i64,Pcg32,Canon32-2,,,4852854.0,ns,40348
distr_random_i64,Pcg32,Canon32-2,,,3920617.0,ns,41789
distr_random_i64,Pcg32,Canon32-2,,,11388237.0,ns,43230
distr_random_i64,Pcg32,Canon32-2,,,4389871.0,ns,44671
distr_random_i64,Pcg32,Canon32-2,,,14236785.0,ns,46112
distr_random_i64,Pcg32,Canon32-2,,,4747065.0,ns,47553
distr_random_i64,Pcg32,Canon32-2,,,15078080.0,ns,48994
distr_random_i64,Pcg32,Canon32-2,,,7602745.0,ns,50435
distr_random_i64,Pcg32,Canon32-2,,,15074013.0,ns,51876
distr_random_i64,Pcg32,Canon32-2,,,7251293.0,ns,53317
distr_random_i64,Pcg32,Canon32-2,,,15830658.0,ns,54758
distr_random_i64,Pcg32,Canon32-2,,,13003021.0,ns,56199
distr_random_i64,Pcg32,Canon32-2,,,5736318.0,ns,57640
distr_random_i64,Pcg32,Canon32-2,,,5972233.0,ns,59081
distr_random_i64,Pcg32,Canon32-2,,,17844062.0,ns,60522
distr_random_i64,Pcg32,Canon32-2,,,12040387.0,ns,61963
distr_random_i64,Pcg32,Canon32-2,,,8833263.0,ns,63404
distr_random_i64,Pcg32,Canon32-2,,,11838807.0,ns,64845
distr_random_i64,Pcg32,Canon32-2,,,7430801.0,ns,66286
distr_random_i64,Pcg32,Canon32-2,,,7568511.0,ns,67727
distr_random_i64,Pcg32,Canon32-2,,,9819582.0,ns,69168
distr_random_i64,Pcg32,Canon32-2,,,16047466.0,ns,70609
distr_random_i64,Pcg32,Canon32-2,,,6818768.0,ns,72050
distr_random_i64,Pcg32,Canon32-2,,,19255131.0,ns,73491
distr_random_i64,Pcg32,Canon32-2,,,10278406.0,ns,74932
distr_random_i64,Pcg32,Canon32-2,,,8689733.0,ns,76373
distr_random_i64,Pcg32,Canon32-2,,,14297850.0,ns,77814
distr_random_i64,Pcg32,Canon32-2,,,24486598.0,ns,79255
distr_random_i64,Pcg32,Canon32-2,,,7560316.0,ns,80696
distr_random_i64,Pcg32,Canon32-2,,,9511873.0,ns,82137
distr_random_i64,Pcg32,Canon32-2,,,11892919.0,ns,83578
