group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,SmallRng,Canon32-2,,,185770.0,ns,1022
distr_random_i64,SmallRng,Canon32-2,,,213322.0,ns,2044
distr_random_i64,SmallRng,Canon32-2,,,406105.0,ns,3066
distr_random_i64,SmallRng,Canon32-2,,,1003662.0,ns,4088
distr_random_i64,SmallRng,Canon32-2,,,528356.0,ns,5110
distr_random_i64,SmallRng,Canon32-2,,,1124879.0,ns,6132
distr_random_i64,SmallRng,Canon32-2,,,755944.0,ns,7154
distr_random_i64,SmallRng,Canon32-2,,,420752.0,ns,8176
distr_random_i64,SmallRng,Canon32-2,,,1342810.0,ns,9198
distr_random_i64,SmallRng,Canon32-2,,,1657102.0,ns,10220
distr_random_i64,SmallRng,Canon32-2,,,1830019.0,ns,11242
distr_random_i64,SmallRng,Canon32-2,,,732080.0,ns,12264
distr_random_i64,SmallRng,Canon32-2,,,1639850.0,ns,13286
distr_random_i64,SmallRng,Canon32-2,,,2948746.0,ns,14308
distr_random_i64,SmallRng,Canon32-2,,,1929686.0,ns,15330
distr_random_i64,SmallRng,Canon32-2,,,2249628.0,ns,16352
distr_random_i64,SmallRng,Canon32-2,,,1219588.0,ns,17374
distr_random_i64,SmallRng,Canon32-2,,,3469867.0,ns,18396
distr_random_i64,SmallRng,Canon32-2,,,4739841.0,ns,19418
distr_random_i64,SmallRng,Canon32-2,,,1590587.0,ns,20440
distr_random_i64,SmallRng,Canon32-2,,,1785594.0,ns,21462
distr_random_i64,SmallRng,Canon32-2,,,1218335.0,ns,22484
distr_random_i64,SmallRng,Canon32-2,,,5294676.0,ns,23506
distr_random_i64,SmallRng,Canon32-2,,,3049416.0,ns,24528
distr_random_i64,SmallRng,Canon32-2,,,2158808.0,ns,25550
distr_random_i64,SmallRng,Canon32-2,,,3420365.0,ns,26572
distr_random_i64,SmallRng,Canon32-2,,,1508513.0,ns,27594
distr_random_i64,SmallRng,Canon32-2,,,6876216.0,ns,28616
distr_random_i64,SmallRng,Canon32-2,,,4422353.0,ns,29638
distr_random_i64,SmallRng,Canon32-2,,,7127389.0,ns,30660
distr_random_i64,SmallRng,Canon32-2,,,7495212.0,ns,31682
distr_random_i64,SmallRng,Canon32-2,,,7298162.0,ns,32704
distr_random_i64,SmallRng,Canon32-2,,,1831542.0,ns,33726
distr_random_i64,SmallRng,Canon32-2,,,7834462.0,ns,34748
distr_random_i64,SmallRng,Canon32-2,,,2246613.0,ns,35770
distr_random_i64,SmallRng,Canon32-2,,,8925397.0,ns,36792
distr_random_i64,SmallRng,Canon32-2,,,5186853.0,ns,37814
distr_random_i64,SmallRng,Canon32-2,,,3235626.0,ns,38836
distr_random_i64,SmallRng,Canon32-2,,,8953029.0,ns,39858
distr_random_i64,SmallRng,Canon32-2,,,8856017.0,ns,40880
distr_random_i64,SmallRng,Canon32-2,,,2467780.0,ns,41902
distr_random_i64,SmallRng,Canon32-2,,,4736765.0,ns,42924
distr_random_i64,SmallRng,Canon32-2,,,5777606.0,ns,43946
distr_random_i64,SmallRng,Canon32-2,,,6425917.0,ns,44968
distr_random_i64,SmallRng,Canon32-2,,,2907168.0,ns,45990
distr_random_i64,SmallRng,Canon32-2,,,11389470.0,ns,47012
distr_random_i64,SmallRng,Canon32-2,,,7278895.0,ns,48034
distr_random_i64,SmallRng,Canon32-2,,,5538736.0,ns,49056
distr_random_i64,SmallRng,Canon32-2,,,4494989.0,ns,50078
distr_random_i64,SmallRng,Canon32-2,,,12352024.0,ns,51100
distr_random_i64,SmallRng,Canon32-2,,,5978796.0,ns,52122
distr_random_i64,SmallRng,Canon32-2,,,3744165.0,ns,53144
distr_random_i64,SmallRng,Canon32-2,,,3612026.0,ns,54166
distr_random_i64,SmallRng,Canon32-2,,,6278349.0,ns,55188
distr_random_i64,SmallRng,Canon32-2,,,6139067.0,ns,56210
distr_random_i64,SmallRng,Canon32-2,,,9293330.0,ns,57232
distr_random_i64,SmallRng,Canon32-2,,,3426326.0,ns,58254
distr_random_i64,SmallRng,Canon32-2,,,4963922.0,ns,59276
distr_random_i64,SmallRng,Canon32-2,,,6571482.0,ns,60298
distr_random_i64,SmallRng,Canon32-2,,,6515196.0,ns,61320
distr_random_i64,SmallRng,Canon32-2,,,6872689.0,ns,62342
distr_random_i64,SmallRng,Canon32-2,,,4040303.0,ns,63364
distr_random_i64,SmallRng,Canon32-2,,,6677362.0,ns,64386
distr_random_i64,SmallRng,Canon32-2,,,3758051.0,ns,65408
distr_random_i64,SmallRng,Canon32-2,,,14645114.0,ns,66430
distr_random_i64,SmallRng,Canon32-2,,,8906672.0,ns,67452
distr_random_i64,SmallRng,Canon32-2,,,5208804.0,ns,68474
distr_random_i64,SmallRng,Canon32-2,,,8688611.0,ns,69496
distr_random_i64,SmallRng,Canon32-2,,,3804077.0,ns,70518
distr_random_i64,SmallRng,Canon32-2,,,15719389.0,ns,71540
distr_random_i64,SmallRng,Canon32-2,,,5403051.0,ns,72562
distr_random_i64,SmallRng,Canon32-2,,,10031903.0,ns,73584
distr_random_i64,SmallRng,Canon32-2,,,14305595.0,ns,74606
distr_random_i64,SmallRng,Canon32-2,,,18071661.0,ns,75628
distr_random_i64,SmallRng,Canon32-2,,,17369258.0,ns,76650
distr_random_i64,SmallRng,Canon32-2,,,13143115.0,ns,77672
distr_random_i64,SmallRng,Canon32-2,,,8190352.0,ns,78694
distr_random_i64,SmallRng,Canon32-2,,,19372803.0,ns,79716
distr_random_i64,SmallRng,Canon32-2,,,6160958.0,ns,80738
distr_random_i64,SmallRng,Canon32-2,,,6265455.0,ns,81760
distr_random_i64,SmallRng,Canon32-2,,,4366808.0,ns,82782
distr_random_i64,SmallRng,Canon32-2,,,20112857.0,ns,83804
distr_random_i64,SmallRng,Canon32-2,,,4579489.0,ns,84826
distr_random_i64,SmallRng,Canon32-2,,,20772018.0,ns,85848
distr_random_i64,SmallRng,Canon32-2,,,7316135.0,ns,86870
distr_random_i64,SmallRng,Canon32-2,,,14391196.0,ns,87892
distr_random_i64,SmallRng,Canon32-2,,,6732105.0,ns,88914
distr_random_i64,SmallRng,Canon32-2,,,21643460.0,ns,89936
distr_random_i64,SmallRng,Canon32-2,,,21748979.0,ns,90958
distr_random_i64,SmallRng,Canon32-2,,,9474272.0,ns,91980
distr_random_i64,SmallRng,Canon32-2,,,22684392.0,ns,93002
distr_random_i64,SmallRng,Canon32-2,,,12359608.0,ns,94024
distr_random_i64,SmallRng,Canon32-2,,,22850935.0,ns,95046
distr_random_i64,SmallRng,Canon32-2,,,6171909.0,ns,96068
distr_random_i64,SmallRng,Canon32-2,,,5183086.0,ns,97090
distr_random_i64,SmallRng,Canon32-2,,,6519454.0,ns,98112
distr_random_i64,SmallRng,Canon32-2,,,22816120.0,ns,99134
distr_random_i64,SmallRng,Canon32-2,,,5739444.0,ns,100156
distr_random_i64,SmallRng,Canon32-2,,,6682190.0,ns,101178
distr_random_i64,SmallRng,Canon32-2,,,16223728.0,ns,102200
