group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,ChaCha8Rng,Lemire,,,198925.0,ns,2739
distr_random_i8,ChaCha8Rng,Lemire,,,399563.0,ns,5478
distr_random_i8,ChaCha8Rng,Lemire,,,593498.0,ns,8217
distr_random_i8,ChaCha8Rng,Lemire,,,792864.0,ns,10956
distr_random_i8,ChaCha8Rng,Lemire,,,987190.0,ns,13695
distr_random_i8,ChaCha8Rng,Lemire,,,1190904.0,ns,16434
distr_random_i8,ChaCha8Rng,Lemire,,,1393255.0,ns,19173
distr_random_i8,ChaCha8Rng,Lemire,,,1586890.0,ns,21912
distr_random_i8,ChaCha8Rng,Lemire,,,1784983.0,ns,24651
distr_random_i8,ChaCha8Rng,Lemire,,,1977626.0,ns,27390
distr_random_i8,ChaCha8Rng,Lemire,,,2179036.0,ns,30129
distr_random_i8,ChaCha8Rng,Lemire,,,2378843.0,ns,32868
distr_random_i8,ChaCha8Rng,Lemire,,,2579170.0,ns,35607
distr_random_i8,ChaCha8Rng,Lemire,,,2766753.0,ns,38346
distr_random_i8,ChaCha8Rng,Lemire,,,2973724.0,ns,41085
distr_random_i8,ChaCha8Rng,Lemire,,,3160195.0,ns,43824
distr_random_i8,ChaCha8Rng,Lemire,,,3369158.0,ns,46563
distr_random_i8,ChaCha8Rng,Lemire,,,3569726.0,ns,49302
distr_random_i8,ChaCha8Rng,Lemire,,,3754684.0,ns,52041
distr_random_i8,ChaCha8Rng,Lemire,,,3973066.0,ns,54780
distr_random_i8,ChaCha8Rng,Lemire,,,4160929.0,ns,57519
distr_random_i8,ChaCha8Rng,Lemire,,,4358843.0,ns,60258
distr_random_i8,ChaCha8Rng,Lemire,,,4559952.0,ns,62997
distr_random_i8,ChaCha8Rng,Lemire,,,4754408.0,ns,65736
distr_random_i8,ChaCha8Rng,Lemire,,,4953133.0,ns,68475
distr_random_i8,ChaCha8Rng,Lemire,,,5135817.0,ns,71214
distr_random_i8,ChaCha8Rng,Lemire,,,5348197.0,ns,73953
distr_random_i8,ChaCha8Rng,Lemire,,,5538055.0,ns,76692
distr_random_i8,ChaCha8Rng,Lemire,,,5730778.0,ns,79431
distr_random_i8,ChaCha8Rng,Lemire,,,5929182.0,ns,82170
distr_random_i8,ChaCha8Rng,Lemire,,,6163453.0,ns,84909
distr_random_i8,ChaCha8Rng,Lemire,,,6334726.0,ns,87648
distr_random_i8,ChaCha8Rng,Lemire,,,6562926.0,ns,90387
distr_random_i8,ChaCha8Rng,Lemire,,,6745590.0,ns,93126
distr_random_i8,ChaCha8Rng,Lemire,,,6937622.0,ns,95865
distr_random_i8,ChaCha8Rng,Lemire,,,7118102.0,ns,98604
distr_random_i8,ChaCha8Rng,Lemire,,,7329129.0,ns,101343
distr_random_i8,ChaCha8Rng,Lemire,,,7517865.0,ns,104082
distr_random_i8,ChaCha8Rng,Lemire,,,7716058.0,ns,106821
distr_random_i8,ChaCha8Rng,Lemire,,,7913952.0,ns,109560
distr_random_i8,ChaCha8Rng,Lemire,,,8121744.0,ns,112299
distr_random_i8,ChaCha8Rng,Lemire,,,8309256.0,ns,115038
distr_random_i8,ChaCha8Rng,Lemire,,,8512620.0,ns,117777
distr_random_i8,ChaCha8Rng,Lemire,,,8732284.0,ns,120516
distr_random_i8,ChaCha8Rng,Lemire,,,8879882.0,ns,123255
distr_random_i8,ChaCha8Rng,Lemire,,,9063036.0,ns,125994
distr_random_i8,ChaCha8Rng,Lemire,,,9262913.0,ns,128733
distr_random_i8,ChaCha8Rng,Lemire,,,9514437.0,ns,131472
distr_random_i8,ChaCha8Rng,Lemire,,,9693945.0,ns,134211
distr_random_i8,ChaCha8Rng,Lemire,,,9929288.0,ns,136950
distr_random_i8,ChaCha8Rng,Lemire,,,10116421.0,ns,139689
distr_random_i8,ChaCha8Rng,Lemire,,,10289858.0,ns,142428
distr_random_i8,ChaCha8Rng,Lemire,,,10489194.0,ns,145167
distr_random_i8,ChaCha8Rng,Lemire,,,10661439.0,ns,147906
distr_random_i8,ChaCha8Rng,Lemire,,,10911790.0,ns,150645
distr_random_i8,ChaCha8Rng,Lemire,,,11092961.0,ns,153384
distr_random_i8,ChaCha8Rng,Lemire,,,11299090.0,ns,156123
distr_random_i8,ChaCha8Rng,Lemire,,,11488516.0,ns,158862
distr_random_i8,ChaCha8Rng,Lemire,,,11688874.0,ns,161601
distr_random_i8,ChaCha8Rng,Lemire,,,11865457.0,ns,164340
distr_random_i8,ChaCha8Rng,Lemire,,,12104457.0,ns,167079
distr_random_i8,ChaCha8Rng,Lemire,,,12290699.0,ns,169818
distr_random_i8,ChaCha8Rng,Lemire,,,12473924.0,ns,172557
distr_random_i8,ChaCha8Rng,Lemire,,,12663531.0,ns,175296
distr_random_i8,ChaCha8Rng,Lemire,,,12919563.0,ns,178035
distr_random_i8,ChaCha8Rng,Lemire,,,13110272.0,ns,180774
distr_random_i8,ChaCha8Rng,Lemire,,,13276315.0,ns,183513
distr_random_i8,ChaCha8Rng,Lemire,,,13477945.0,ns,186252
distr_random_i8,ChaCha8Rng,Lemire,,,13682360.0,ns,188991
distr_random_i8,ChaCha8Rng,Lemire,,,13849465.0,ns,191730
distr_random_i8,ChaCha8Rng,Lemire,,,14076312.0,ns,194469
distr_random_i8,ChaCha8Rng,Lemire,,,14274977.0,ns,197208
distr_random_i8,ChaCha8Rng,Lemire,,,14463862.0,ns,199947
distr_random_i8,ChaCha8Rng,Lemire,,,14647890.0,ns,202686
distr_random_i8,ChaCha8Rng,Lemire,,,14829733.0,ns,205425
distr_random_i8,ChaCha8Rng,Lemire,,,15047403.0,ns,208164
distr_random_i8,ChaCha8Rng,Lemire,,,15257728.0,ns,210903
distr_random_i8,ChaCha8Rng,Lemire,,,15450662.0,ns,213642
distr_random_i8,ChaCha8Rng,Lemire,,,15634198.0,ns,216381
distr_random_i8,ChaCha8Rng,Lemire,,,15831400.0,ns,219120
distr_random_i8,ChaCha8Rng,Lemire,,,16074718.0,ns,221859
distr_random_i8,ChaCha8Rng,Lemire,,,16255018.0,ns,224598
distr_random_i8,ChaCha8Rng,Lemire,,,16435618.0,ns,227337
distr_random_i8,ChaCha8Rng,Lemire,,,16654039.0,ns,230076
distr_random_i8,ChaCha8Rng,Lemire,,,16870918.0,ns,232815
distr_random_i8,ChaCha8Rng,Lemire,,,17072658.0,ns,235554
distr_random_i8,ChaCha8Rng,Lemire,,,17233261.0,ns,238293
distr_random_i8,ChaCha8Rng,Lemire,,,17434651.0,ns,241032
distr_random_i8,ChaCha8Rng,Lemire,,,17628436.0,ns,243771
distr_random_i8,ChaCha8Rng,Lemire,,,17833112.0,ns,246510
distr_random_i8,ChaCha8Rng,Lemire,,,18071661.0,ns,249249
distr_random_i8,ChaCha8Rng,Lemire,,,18231261.0,ns,251988
distr_random_i8,ChaCha8Rng,Lemire,,,18430567.0,ns,254727
distr_random_i8,ChaCha8Rng,Lemire,,,18611077.0,ns,257466
distr_random_i8,ChaCha8Rng,Lemire,,,18833647.0,ns,260205
distr_random_i8,ChaCha8Rng,Lemire,,,19026630.0,ns,262944
distr_random_i8,ChaCha8Rng,Lemire,,,19541881.0,ns,265683
distr_random_i8,ChaCha8Rng,Lemire,,,19423768.0,ns,268422
distr_random_i8,ChaCha8Rng,Lemire,,,19626200.0,ns,271161
distr_random_i8,ChaCha8Rng,Lemire,,,19797342.0,ns,273900
