group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,ChaCha8Rng,Old,,,197001.0,ns,2655
distr_random_i8,ChaCha8Rng,Old,,,394112.0,ns,5310
distr_random_i8,ChaCha8Rng,Old,,,591715.0,ns,7965
distr_random_i8,ChaCha8Rng,Old,,,794397.0,ns,10620
distr_random_i8,ChaCha8Rng,Old,,,977782.0,ns,13275
distr_random_i8,ChaCha8Rng,Old,,,1196404.0,ns,15930
distr_random_i8,ChaCha8Rng,Old,,,1402532.0,ns,18585
distr_random_i8,ChaCha8Rng,Old,,,1578575.0,ns,21240
distr_random_i8,ChaCha8Rng,Old,,,1781457.0,ns,23895
distr_random_i8,ChaCha8Rng,Old,,,1982676.0,ns,26550
distr_random_i8,ChaCha8Rng,Old,,,2194705.0,ns,29205
distr_random_i8,ChaCha8Rng,Old,,,2381277.0,ns,31860
distr_random_i8,ChaCha8Rng,Old,,,2594409.0,ns,34515
distr_random_i8,ChaCha8Rng,Old,,,2774948.0,ns,37170
distr_random_i8,ChaCha8Rng,Old,,,2955819.0,ns,39825
distr_random_i8,ChaCha8Rng,Old,,,3131821.0,ns,42480
distr_random_i8,ChaCha8Rng,Old,,,3326328.0,ns,45135
distr_random_i8,ChaCha8Rng,Old,,,3545490.0,ns,47790
distr_random_i8,ChaCha8Rng,Old,,,3738364.0,ns,50445
distr_random_i8,ChaCha8Rng,Old,,,3932730.0,ns,53100
distr_random_i8,ChaCha8Rng,Old,,,4130934.0,ns,55755
distr_random_i8,ChaCha8Rng,Old,,,4330349.0,ns,58410
distr_random_i8,ChaCha8Rng,Old,,,4534364.0,ns,61065
distr_random_i8,ChaCha8Rng,Old,,,4733849.0,ns,63720
distr_random_i8,ChaCha8Rng,Old,,,4938154.0,ns,66375
distr_random_i8,ChaCha8Rng,Old,,,5146878.0,ns,69030
distr_random_i8,ChaCha8Rng,Old,,,5341043.0,ns,71685
distr_random_i8,ChaCha8Rng,Old,,,5551861.0,ns,74340
distr_random_i8,ChaCha8Rng,Old,,,5715980.0,ns,76995
distr_random_i8,ChaCha8Rng,Old,,,5908303.0,ns,79650
distr_random_i8,ChaCha8Rng,Old,,,6149698.0,ns,82305
distr_random_i8,ChaCha8Rng,Old,,,6309900.0,ns,84960
distr_random_i8,ChaCha8Rng,Old,,,6518923.0,ns,87615
distr_random_i8,ChaCha8Rng,Old,,,6708129.0,ns,90270
distr_random_i8,ChaCha8Rng,Old,,,6906794.0,ns,92925
distr_random_i8,ChaCha8Rng,Old,,,7113654.0,ns,95580
distr_random_i8,ChaCha8Rng,Old,,,7333528.0,ns,98235
distr_random_i8,ChaCha8Rng,Old,,,7506344.0,ns,100890
distr_random_i8,ChaCha8Rng,Old,,,7646217.0,ns,103545
distr_random_i8,ChaCha8Rng,Old,,,7875779.0,ns,106200
distr_random_i8,ChaCha8Rng,Old,,,8051942.0,ns,108855
distr_random_i8,ChaCha8Rng,Old,,,8237271.0,ns,111510
distr_random_i8,ChaCha8Rng,Old,,,8495888.0,ns,114165
distr_random_i8,ChaCha8Rng,Old,,,8683582.0,ns,116820
distr_random_i8,ChaCha8Rng,Old,,,8856317.0,ns,119475
distr_random_i8,ChaCha8Rng,Old,,,9049822.0,ns,122130
distr_random_i8,ChaCha8Rng,Old,,,9196809.0,ns,124785
distr_random_i8,ChaCha8Rng,Old,,,9390003.0,ns,127440
distr_random_i8,ChaCha8Rng,Old,,,9691721.0,ns,130095
distr_random_i8,ChaCha8Rng,Old,,,9870148.0,ns,132750
distr_random_i8,ChaCha8Rng,Old,,,10044415.0,ns,135405
distr_random_i8,ChaCha8Rng,Old,,,10213474.0,ns,138060
distr_random_i8,ChaCha8Rng,Old,,,10356604.0,ns,140715
distr_random_i8,ChaCha8Rng,Old,,,10535491.0,ns,143370
distr_random_i8,ChaCha8Rng,Old,,,10726942.0,ns,146025
distr_random_i8,ChaCha8Rng,Old,,,11057244.0,ns,148680
distr_random_i8,ChaCha8Rng,Old,,,11243294.0,ns,151335
distr_random_i8,ChaCha8Rng,Old,,,11452068.0,ns,153990
distr_random_i8,ChaCha8Rng,Old,,,11605597.0,ns,156645
distr_random_i8,ChaCha8Rng,Old,,,11854235.0,ns,159300
distr_random_i8,ChaCha8Rng,Old,,,12051618.0,ns,161955
distr_random_i8,ChaCha8Rng,Old,,,12269559.0,ns,164610
distr_random_i8,ChaCha8Rng,Old,,,12460367.0,ns,167265
distr_random_i8,ChaCha8Rng,Old,,,12625539.0,ns,169920
distr_random_i8,ChaCha8Rng,Old,,,12828752.0,ns,172575
distr_random_i8,ChaCha8Rng,Old,,,12871111.0,ns,175230
distr_random_i8,ChaCha8Rng,Old,,,13229577.0,ns,177885
distr_random_i8,ChaCha8Rng,Old,,,13321591.0,ns,180540
distr_random_i8,ChaCha8Rng,Old,,,13496040.0,ns,183195
distr_random_i8,ChaCha8Rng,Old,,,13633659.0,ns,185850
distr_random_i8,ChaCha8Rng,Old,,,13794622.0,ns,188505
distr_random_i8,ChaCha8Rng,Old,,,14000780.0,ns,191160
distr_random_i8,ChaCha8Rng,Old,,,14198733.0,ns,193815
distr_random_i8,ChaCha8Rng,Old,,,14364536.0,ns,196470
distr_random_i8,ChaCha8Rng,Old,,,14735485.0,ns,199125
distr_random_i8,ChaCha8Rng,Old,,,14935442.0,ns,201780
distr_random_i8,ChaCha8Rng,Old,,,15165535.0,ns,204435
distr_random_i8,ChaCha8Rng,Old,,,15382133.0,ns,207090
distr_random_i8,ChaCha8Rng,Old,,,15565980.0,ns,209745
distr_random_i8,ChaCha8Rng,Old,,,15770314.0,ns,212400
distr_random_i8,ChaCha8Rng,Old,,,15968318.0,ns,215055
distr_random_i8,ChaCha8Rng,Old,,,16178864.0,ns,217710
distr_random_i8,ChaCha8Rng,Old,,,16355868.0,ns,220365
distr_random_i8,ChaCha8Rng,Old,,,16543101.0,ns,223020
distr_random_i8,ChaCha8Rng,Old,,,17128573.0,ns,225675
distr_random_i8,ChaCha8Rng,Old,,,16838578.0,ns,228330
distr_random_i8,ChaCha8Rng,Old,,,17058141.0,ns,230985
distr_random_i8,ChaCha8Rng,Old,,,17260653.0,ns,233640
distr_random_i8,ChaCha8Rng,Old,,,17454779.0,ns,236295
distr_random_i8,ChaCha8Rng,Old,,,17649055.0,ns,238950
distr_random_i8,ChaCha8Rng,Old,,,17841437.0,ns,241605
distr_random_i8,ChaCha8Rng,Old,,,18030183.0,ns,244260
distr_random_i8,ChaCha8Rng,Old,,,18055070.0,ns,246915
distr_random_i8,ChaCha8Rng,Old,,,18307414.0,ns,249570
