group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,Pcg32,Canon32,,,197483.0,ns,4140
distr_random_i8,Pcg32,Canon32,,,396287.0,ns,8280
distr_random_i8,Pcg32,Canon32,,,592376.0,ns,12420
distr_random_i8,Pcg32,Canon32,,,791041.0,ns,16560
distr_random_i8,Pcg32,Canon32,,,988342.0,ns,20700
distr_random_i8,Pcg32,Canon32,,,1180725.0,ns,24840
distr_random_i8,Pcg32,Canon32,,,1383427.0,ns,28980
distr_random_i8,Pcg32,Canon32,,,1581640.0,ns,33120
distr_random_i8,Pcg32,Canon32,,,1774844.0,ns,37260
distr_random_i8,Pcg32,Canon32,,,1976784.0,ns,41400
distr_random_i8,Pcg32,Canon32,,,2174698.0,ns,45540
distr_random_i8,Pcg32,Canon32,,,2371809.0,ns,49680
distr_random_i8,Pcg32,Canon32,,,2565233.0,ns,53820
distr_random_i8,Pcg32,Canon32,,,2767825.0,ns,57960
distr_random_i8,Pcg32,Canon32,,,2960498.0,ns,62100
distr_random_i8,Pcg32,Canon32,,,3163020.0,ns,66240
distr_random_i8,Pcg32,Canon32,,,3354751.0,ns,70380
distr_random_i8,Pcg32,Canon32,,,3558245.0,ns,74520
distr_random_i8,Pcg32,Canon32,,,3754845.0,ns,78660
distr_random_i8,Pcg32,Canon32,,,3953319.0,ns,82800
distr_random_i8,Pcg32,Canon32,,,4152294.0,ns,86940
distr_random_i8,Pcg32,Canon32,,,4348103.0,ns,91080
distr_random_i8,Pcg32,Canon32,,,4532932.0,ns,95220
distr_random_i8,Pcg32,Canon32,,,4730603.0,ns,99360
distr_random_i8,Pcg32,Canon32,,,4931893.0,ns,103500
distr_random_i8,Pcg32,Canon32,,,5131630.0,ns,107640
distr_random_i8,Pcg32,Canon32,,,5326125.0,ns,111780
distr_random_i8,Pcg32,Canon32,,,5521333.0,ns,115920
distr_random_i8,Pcg32,Canon32,,,5717673.0,ns,120060
distr_random_i8,Pcg32,Canon32,,,5917159.0,ns,124200
distr_random_i8,Pcg32,Canon32,,,6115624.0,ns,128340
distr_random_i8,Pcg32,Canon32,,,6314778.0,ns,132480
distr_random_i8,Pcg32,Canon32,,,6508884.0,ns,136620
distr_random_i8,Pcg32,Canon32,,,6713249.0,ns,140760
distr_random_i8,Pcg32,Canon32,,,6904159.0,ns,144900
distr_random_i8,Pcg32,Canon32,,,7099547.0,ns,149040
distr_random_i8,Pcg32,Canon32,,,7295737.0,ns,153180
distr_random_i8,Pcg32,Canon32,,,7484553.0,ns,157320
