group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,SmallRng,Canon32,,,197843.0,ns,3512
distr_random_i8,SmallRng,Canon32,,,395645.0,ns,7024
distr_random_i8,SmallRng,Canon32,,,594740.0,ns,10536
distr_random_i8,SmallRng,Canon32,,,792363.0,ns,14048
distr_random_i8,SmallRng,Canon32,,,990106.0,ns,17560
distr_random_i8,SmallRng,Canon32,,,1187988.0,ns,21072
distr_random_i8,SmallRng,Canon32,,,1385872.0,ns,24584
distr_random_i8,SmallRng,Canon32,,,1585247.0,ns,28096
distr_random_i8,SmallRng,Canon32,,,1782539.0,ns,31608
distr_random_i8,SmallRng,Canon32,,,1980321.0,ns,35120
distr_random_i8,SmallRng,Canon32,,,2178405.0,ns,38632
distr_random_i8,SmallRng,Canon32,,,2376648.0,ns,42144
distr_random_i8,SmallRng,Canon32,,,2575122.0,ns,45656
distr_random_i8,SmallRng,Canon32,,,2771492.0,ns,49168
distr_random_i8,SmallRng,Canon32,,,2970367.0,ns,52680
distr_random_i8,SmallRng,Canon32,,,3169021.0,ns,56192
distr_random_i8,SmallRng,Canon32,,,3361664.0,ns,59704
distr_random_i8,SmallRng,Canon32,,,3565388.0,ns,63216
distr_random_i8,SmallRng,Canon32,,,3761638.0,ns,66728
distr_random_i8,SmallRng,Canon32,,,3960251.0,ns,70240
distr_random_i8,SmallRng,Canon32,,,4158485.0,ns,73752
distr_random_i8,SmallRng,Canon32,,,4357851.0,ns,77264
distr_random_i8,SmallRng,Canon32,,,4553971.0,ns,80776
distr_random_i8,SmallRng,Canon32,,,4752585.0,ns,84288
distr_random_i8,SmallRng,Canon32,,,4941240.0,ns,87800
distr_random_i8,SmallRng,Canon32,,,5139073.0,ns,91312
distr_random_i8,SmallRng,Canon32,,,5348047.0,ns,94824
distr_random_i8,SmallRng,Canon32,,,5545639.0,ns,98336
distr_random_i8,SmallRng,Canon32,,,5742760.0,ns,101848
distr_random_i8,SmallRng,Canon32,,,5940322.0,ns,105360
distr_random_i8,SmallRng,Canon32,,,6133978.0,ns,108872
distr_random_i8,SmallRng,Canon32,,,6336219.0,ns,112384
distr_random_i8,SmallRng,Canon32,,,6539041.0,ns,115896
distr_random_i8,SmallRng,Canon32,,,6731965.0,ns,119408
distr_random_i8,SmallRng,Canon32,,,6930489.0,ns,122920
distr_random_i8,SmallRng,Canon32,,,7130085.0,ns,126432
distr_random_i8,SmallRng,Canon32,,,7326585.0,ns,129944
distr_random_i8,SmallRng,Canon32,,,7524717.0,ns,133456
distr_random_i8,SmallRng,Canon32,,,7722922.0,ns,136968
distr_random_i8,SmallRng,Canon32,,,7916256.0,ns,140480
distr_random_i8,SmallRng,Canon32,,,8124598.0,ns,143992
distr_random_i8,SmallRng,Canon32,,,8312502.0,ns,147504
distr_random_i8,SmallRng,Canon32,,,8515084.0,ns,151016
distr_random_i8,SmallRng,Canon32,,,8713868.0,ns,154528
distr_random_i8,SmallRng,Canon32,,,8910790.0,ns,158040
distr_random_i8,SmallRng,Canon32,,,9108713.0,ns,161552
distr_random_i8,SmallRng,Canon32,,,9296166.0,ns,165064
distr_random_i8,SmallRng,Canon32,,,9505200.0,ns,168576
distr_random_i8,SmallRng,Canon32,,,9702081.0,ns,172088
distr_random_i8,SmallRng,Canon32,,,9896437.0,ns,175600
distr_random_i8,SmallRng,Canon32,,,10094650.0,ns,179112
distr_random_i8,SmallRng,Canon32,,,10297653.0,ns,182624
distr_random_i8,SmallRng,Canon32,,,10493893.0,ns,186136
distr_random_i8,SmallRng,Canon32,,,10693319.0,ns,189648
distr_random_i8,SmallRng,Canon32,,,10890991.0,ns,193160
distr_random_i8,SmallRng,Canon32,,,11083804.0,ns,196672
distr_random_i8,SmallRng,Canon32,,,11283851.0,ns,200184
distr_random_i8,SmallRng,Canon32,,,11481874.0,ns,203696
distr_random_i8,SmallRng,Canon32,,,11683073.0,ns,207208
distr_random_i8,SmallRng,Canon32,,,11876027.0,ns,210720
distr_random_i8,SmallRng,Canon32,,,12079030.0,ns,214232
distr_random_i8,SmallRng,Canon32,,,12278135.0,ns,217744
distr_random_i8,SmallRng,Canon32,,,12474956.0,ns,221256
distr_random_i8,SmallRng,Canon32,,,12674482.0,ns,224768
distr_random_i8,SmallRng,Canon32,,,12870741.0,ns,228280
distr_random_i8,SmallRng,Canon32,,,13078252.0,ns,231792
distr_random_i8,SmallRng,Canon32,,,13268640.0,ns,235304
distr_random_i8,SmallRng,Canon32,,,13459440.0,ns,238816
distr_random_i8,SmallRng,Canon32,,,13663234.0,ns,242328
distr_random_i8,SmallRng,Canon32,,,13856398.0,ns,245840
distr_random_i8,SmallRng,Canon32,,,14058499.0,ns,249352
distr_random_i8,SmallRng,Canon32,,,14257234.0,ns,252864
distr_random_i8,SmallRng,Canon32,,,14449947.0,ns,256376
distr_random_i8,SmallRng,Canon32,,,14653300.0,ns,259888
distr_random_i8,SmallRng,Canon32,,,14851193.0,ns,263400
distr_random_i8,SmallRng,Canon32,,,15050639.0,ns,266912
distr_random_i8,SmallRng,Canon32,,,15246488.0,ns,270424
distr_random_i8,SmallRng,Canon32,,,15454019.0,ns,273936
distr_random_i8,SmallRng,Canon32,,,15641591.0,ns,277448
distr_random_i8,SmallRng,Canon32,,,15837401.0,ns,280960
distr_random_i8,SmallRng,Canon32,,,16039882.0,ns,284472
distr_random_i8,SmallRng,Canon32,,,16244788.0,ns,287984
distr_random_i8,SmallRng,Canon32,,,16430278.0,ns,291496
distr_random_i8,SmallRng,Canon32,,,16634473.0,ns,295008
distr_random_i8,SmallRng,Canon32,,,16830692.0,ns,298520
distr_random_i8,SmallRng,Canon32,,,17024768.0,ns,302032
distr_random_i8,SmallRng,Canon32,,,17241888.0,ns,305544
distr_random_i8,SmallRng,Canon32,,,17425493.0,ns,309056
distr_random_i8,SmallRng,Canon32,,,17615031.0,ns,312568
distr_random_i8,SmallRng,Canon32,,,17828362.0,ns,316080
distr_random_i8,SmallRng,Canon32,,,18016687.0,ns,319592
distr_random_i8,SmallRng,Canon32,,,18216744.0,ns,323104
distr_random_i8,SmallRng,Canon32,,,18411041.0,ns,326616
distr_random_i8,SmallRng,Canon32,,,18600307.0,ns,330128
distr_random_i8,SmallRng,Canon32,,,18812447.0,ns,333640
distr_random_i8,SmallRng,Canon32,,,19008145.0,ns,337152
distr_random_i8,SmallRng,Canon32,,,19215035.0,ns,340664
distr_random_i8,SmallRng,Canon32,,,19385727.0,ns,344176
distr_random_i8,SmallRng,Canon32,,,19601834.0,ns,347688
distr_random_i8,SmallRng,Canon32,,,19797673.0,ns,351200
