group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,214955.0,ns,591
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,462401.0,ns,1182
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,875420.0,ns,1773
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,1073563.0,ns,2364
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,881622.0,ns,2955
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,1502822.0,ns,3546
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,1272317.0,ns,4137
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,1464390.0,ns,4728
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,2715407.0,ns,5319
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,3216240.0,ns,5910
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,3089451.0,ns,6501
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,3230717.0,ns,7092
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,3177848.0,ns,7683
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,3183218.0,ns,8274
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,5844803.0,ns,8865
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,6463148.0,ns,9456
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,4037077.0,ns,10047
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,5067348.0,ns,10638
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,7479453.0,ns,11229
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,8078261.0,ns,11820
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,8560369.0,ns,12411
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,7256463.0,ns,13002
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,6192849.0,ns,13593
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,5434209.0,ns,14184
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,4400101.0,ns,14775
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,8997313.0,ns,15366
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,8315729.0,ns,15957
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,5467001.0,ns,16548
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,7380857.0,ns,17139
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,8213536.0,ns,17730
single_random_i128,ChaCha8Rng,Canon-Unbiased,,,6039320.0,ns,18321
