group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,ChaCha8Rng,Canon,,,195518.0,ns,1703
single_random_i16,ChaCha8Rng,Canon,,,390536.0,ns,3406
single_random_i16,ChaCha8Rng,Canon,,,589862.0,ns,5109
single_random_i16,ChaCha8Rng,Canon,,,781212.0,ns,6812
single_random_i16,ChaCha8Rng,Canon,,,982181.0,ns,8515
single_random_i16,ChaCha8Rng,Canon,,,1176697.0,ns,10218
single_random_i16,ChaCha8Rng,Canon,,,1374710.0,ns,11921
single_random_i16,ChaCha8Rng,Canon,,,1572973.0,ns,13624
single_random_i16,ChaCha8Rng,Canon,,,1767420.0,ns,15327
single_random_i16,ChaCha8Rng,Canon,,,1961846.0,ns,17030
single_random_i16,ChaCha8Rng,Canon,,,2162965.0,ns,18733
single_random_i16,ChaCha8Rng,Canon,,,2363022.0,ns,20436
single_random_i16,ChaCha8Rng,Canon,,,2559582.0,ns,22139
single_random_i16,ChaCha8Rng,Canon,,,2759480.0,ns,23842
single_random_i16,ChaCha8Rng,Canon,,,2946482.0,ns,25545
single_random_i16,ChaCha8Rng,Canon,,,3147550.0,ns,27248
single_random_i16,ChaCha8Rng,Canon,,,3338199.0,ns,28951
single_random_i16,ChaCha8Rng,Canon,,,3524601.0,ns,30654
single_random_i16,ChaCha8Rng,Canon,,,3723966.0,ns,32357
single_random_i16,ChaCha8Rng,Canon,,,3924995.0,ns,34060
single_random_i16,ChaCha8Rng,Canon,,,4124641.0,ns,35763
single_random_i16,ChaCha8Rng,Canon,,,4306764.0,ns,37466
single_random_i16,ChaCha8Rng,Canon,,,4508384.0,ns,39169
single_random_i16,ChaCha8Rng,Canon,,,4715635.0,ns,40872
single_random_i16,ChaCha8Rng,Canon,,,4897858.0,ns,42575
single_random_i16,ChaCha8Rng,Canon,,,5096432.0,ns,44278
single_random_i16,ChaCha8Rng,Canon,,,5293784.0,ns,45981
single_random_i16,ChaCha8Rng,Canon,,,5489002.0,ns,47684
single_random_i16,ChaCha8Rng,Canon,,,5684520.0,ns,49387
single_random_i16,ChaCha8Rng,Canon,,,5882955.0,ns,51090
single_random_i16,ChaCha8Rng,Canon,,,6084504.0,ns,52793
single_random_i16,ChaCha8Rng,Canon,,,6271386.0,ns,54496
single_random_i16,ChaCha8Rng,Canon,,,6477916.0,ns,56199
single_random_i16,ChaCha8Rng,Canon,,,6685847.0,ns,57902
single_random_i16,ChaCha8Rng,Canon,,,6855698.0,ns,59605
single_random_i16,ChaCha8Rng,Canon,,,7056335.0,ns,61308
single_random_i16,ChaCha8Rng,Canon,,,7251743.0,ns,63011
single_random_i16,ChaCha8Rng,Canon,,,7443034.0,ns,64714
