group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,ChaCha8Rng,Canon32-2,,,198925.0,ns,2359
single_random_i16,ChaCha8Rng,Canon32-2,,,397890.0,ns,4718
single_random_i16,ChaCha8Rng,Canon32-2,,,591214.0,ns,7077
single_random_i16,ChaCha8Rng,Canon32-2,,,797984.0,ns,9436
single_random_i16,ChaCha8Rng,Canon32-2,,,988202.0,ns,11795
single_random_i16,ChaCha8Rng,Canon32-2,,,1177278.0,ns,14154
single_random_i16,ChaCha8Rng,Canon32-2,,,1383136.0,ns,16513
single_random_i16,ChaCha8Rng,Canon32-2,,,1584606.0,ns,18872
single_random_i16,ChaCha8Rng,Canon32-2,,,1784111.0,ns,21231
single_random_i16,ChaCha8Rng,Canon32-2,,,1976524.0,ns,23590
single_random_i16,ChaCha8Rng,Canon32-2,,,2173735.0,ns,25949
single_random_i16,ChaCha8Rng,Canon32-2,,,2374915.0,ns,28308
single_random_i16,ChaCha8Rng,Canon32-2,,,2569762.0,ns,30667
single_random_i16,ChaCha8Rng,Canon32-2,,,2768867.0,ns,33026
single_random_i16,ChaCha8Rng,Canon32-2,,,2964546.0,ns,35385
single_random_i16,ChaCha8Rng,Canon32-2,,,3173249.0,ns,37744
single_random_i16,ChaCha8Rng,Canon32-2,,,3364248.0,ns,40103
single_random_i16,ChaCha8Rng,Canon32-2,,,3559156.0,ns,42462
single_random_i16,ChaCha8Rng,Canon32-2,,,3757290.0,ns,44821
single_random_i16,ChaCha8Rng,Canon32-2,,,3951435.0,ns,47180
single_random_i16,ChaCha8Rng,Canon32-2,,,4149579.0,ns,49539
single_random_i16,ChaCha8Rng,Canon32-2,,,4346409.0,ns,51898
single_random_i16,ChaCha8Rng,Canon32-2,,,4546586.0,ns,54257
single_random_i16,ChaCha8Rng,Canon32-2,,,4743107.0,ns,56616
single_random_i16,ChaCha8Rng,Canon32-2,,,4941871.0,ns,58975
single_random_i16,ChaCha8Rng,Canon32-2,,,5136789.0,ns,61334
single_random_i16,ChaCha8Rng,Canon32-2,,,5332117.0,ns,63693
single_random_i16,ChaCha8Rng,Canon32-2,,,5513659.0,ns,66052
single_random_i16,ChaCha8Rng,Canon32-2,,,5718695.0,ns,68411
single_random_i16,ChaCha8Rng,Canon32-2,,,5918071.0,ns,70770
single_random_i16,ChaCha8Rng,Canon32-2,,,6119390.0,ns,73129
single_random_i16,ChaCha8Rng,Canon32-2,,,6306723.0,ns,75488
single_random_i16,ChaCha8Rng,Canon32-2,,,6502932.0,ns,77847
single_random_i16,ChaCha8Rng,Canon32-2,,,6691348.0,ns,80206
single_random_i16,ChaCha8Rng,Canon32-2,,,6895172.0,ns,82565
single_random_i16,ChaCha8Rng,Canon32-2,,,7092504.0,ns,84924
single_random_i16,ChaCha8Rng,Canon32-2,,,7276650.0,ns,87283
single_random_i16,ChaCha8Rng,Canon32-2,,,7472600.0,ns,89642
single_random_i16,ChaCha8Rng,Canon32-2,,,7671815.0,ns,92001
single_random_i16,ChaCha8Rng,Canon32-2,,,7870239.0,ns,94360
single_random_i16,ChaCha8Rng,Canon32-2,,,8069184.0,ns,96719
single_random_i16,ChaCha8Rng,Canon32-2,,,8268119.0,ns,99078
single_random_i16,ChaCha8Rng,Canon32-2,,,8466703.0,ns,101437
single_random_i16,ChaCha8Rng,Canon32-2,,,8658755.0,ns,103796
single_random_i16,ChaCha8Rng,Canon32-2,,,8827473.0,ns,106155
single_random_i16,ChaCha8Rng,Canon32-2,,,9043660.0,ns,108514
single_random_i16,ChaCha8Rng,Canon32-2,,,9234749.0,ns,110873
single_random_i16,ChaCha8Rng,Canon32-2,,,9392356.0,ns,113232
single_random_i16,ChaCha8Rng,Canon32-2,,,9602673.0,ns,115591
single_random_i16,ChaCha8Rng,Canon32-2,,,9795787.0,ns,117950
single_random_i16,ChaCha8Rng,Canon32-2,,,10006704.0,ns,120309
single_random_i16,ChaCha8Rng,Canon32-2,,,10185812.0,ns,122668
single_random_i16,ChaCha8Rng,Canon32-2,,,10463596.0,ns,125027
single_random_i16,ChaCha8Rng,Canon32-2,,,10662229.0,ns,127386
single_random_i16,ChaCha8Rng,Canon32-2,,,10779741.0,ns,129745
single_random_i16,ChaCha8Rng,Canon32-2,,,10924994.0,ns,132104
single_random_i16,ChaCha8Rng,Canon32-2,,,11131373.0,ns,134463
single_random_i16,ChaCha8Rng,Canon32-2,,,11334446.0,ns,136822
single_random_i16,ChaCha8Rng,Canon32-2,,,11526578.0,ns,139181
single_random_i16,ChaCha8Rng,Canon32-2,,,11707910.0,ns,141540
single_random_i16,ChaCha8Rng,Canon32-2,,,11910972.0,ns,143899
single_random_i16,ChaCha8Rng,Canon32-2,,,12103705.0,ns,146258
single_random_i16,ChaCha8Rng,Canon32-2,,,12338067.0,ns,148617
single_random_i16,ChaCha8Rng,Canon32-2,,,12547642.0,ns,150976
single_random_i16,ChaCha8Rng,Canon32-2,,,12730477.0,ns,153335
single_random_i16,ChaCha8Rng,Canon32-2,,,13014892.0,ns,155694
single_random_i16,ChaCha8Rng,Canon32-2,,,13135730.0,ns,158053
single_random_i16,ChaCha8Rng,Canon32-2,,,13403364.0,ns,160412
single_random_i16,ChaCha8Rng,Canon32-2,,,13647704.0,ns,162771
single_random_i16,ChaCha8Rng,Canon32-2,,,13802486.0,ns,165130
single_random_i16,ChaCha8Rng,Canon32-2,,,13889089.0,ns,167489
single_random_i16,ChaCha8Rng,Canon32-2,,,14093785.0,ns,169848
single_random_i16,ChaCha8Rng,Canon32-2,,,14403098.0,ns,172207
single_random_i16,ChaCha8Rng,Canon32-2,,,14527502.0,ns,174566
single_random_i16,ChaCha8Rng,Canon32-2,,,14741174.0,ns,176925
single_random_i16,ChaCha8Rng,Canon32-2,,,14923127.0,ns,179284
single_random_i16,ChaCha8Rng,Canon32-2,,,15090072.0,ns,181643
single_random_i16,ChaCha8Rng,Canon32-2,,,15380449.0,ns,184002
single_random_i16,ChaCha8Rng,Canon32-2,,,15509112.0,ns,186361
single_random_i16,ChaCha8Rng,Canon32-2,,,15679032.0,ns,188720
single_random_i16,ChaCha8Rng,Canon32-2,,,15881263.0,ns,191079
single_random_i16,ChaCha8Rng,Canon32-2,,,16084355.0,ns,193438
single_random_i16,ChaCha8Rng,Canon32-2,,,16276879.0,ns,195797
single_random_i16,ChaCha8Rng,Canon32-2,,,16471154.0,ns,198156
single_random_i16,ChaCha8Rng,Canon32-2,,,16631536.0,ns,200515
single_random_i16,ChaCha8Rng,Canon32-2,,,16852021.0,ns,202874
single_random_i16,ChaCha8Rng,Canon32-2,,,17108325.0,ns,205233
single_random_i16,ChaCha8Rng,Canon32-2,,,17337146.0,ns,207592
single_random_i16,ChaCha8Rng,Canon32-2,,,17498279.0,ns,209951
single_random_i16,ChaCha8Rng,Canon32-2,,,17685954.0,ns,212310
single_random_i16,ChaCha8Rng,Canon32-2,,,17848559.0,ns,214669
single_random_i16,ChaCha8Rng,Canon32-2,,,18006307.0,ns,217028
single_random_i16,ChaCha8Rng,Canon32-2,,,18226091.0,ns,219387
single_random_i16,ChaCha8Rng,Canon32-2,,,18413553.0,ns,221746
single_random_i16,ChaCha8Rng,Canon32-2,,,18587812.0,ns,224105
single_random_i16,ChaCha8Rng,Canon32-2,,,18789422.0,ns,226464
single_random_i16,ChaCha8Rng,Canon32-2,,,18925399.0,ns,228823
single_random_i16,ChaCha8Rng,Canon32-2,,,19164809.0,ns,231182
single_random_i16,ChaCha8Rng,Canon32-2,,,19319341.0,ns,233541
single_random_i16,ChaCha8Rng,Canon32-2,,,19511994.0,ns,235900
