group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,ChaCha8Rng,Canon32,,,199997.0,ns,2374
single_random_i16,ChaCha8Rng,Canon32,,,398110.0,ns,4748
single_random_i16,ChaCha8Rng,Canon32,,,590913.0,ns,7122
single_random_i16,ChaCha8Rng,Canon32,,,800528.0,ns,9496
single_random_i16,ChaCha8Rng,Canon32,,,987400.0,ns,11870
single_random_i16,ChaCha8Rng,Canon32,,,1187868.0,ns,14244
single_random_i16,ChaCha8Rng,Canon32,,,1391382.0,ns,16618
single_random_i16,ChaCha8Rng,Canon32,,,1583994.0,ns,18992
single_random_i16,ChaCha8Rng,Canon32,,,1779062.0,ns,21366
single_random_i16,ChaCha8Rng,Canon32,,,1981964.0,ns,23740
single_random_i16,ChaCha8Rng,Canon32,,,2170900.0,ns,26114
single_random_i16,ChaCha8Rng,Canon32,,,2370126.0,ns,28488
single_random_i16,ChaCha8Rng,Canon32,,,2582486.0,ns,30862
single_random_i16,ChaCha8Rng,Canon32,,,2776471.0,ns,33236
single_random_i16,ChaCha8Rng,Canon32,,,2995374.0,ns,35610
single_random_i16,ChaCha8Rng,Canon32,,,3182185.0,ns,37984
single_random_i16,ChaCha8Rng,Canon32,,,3380329.0,ns,40358
single_random_i16,ChaCha8Rng,Canon32,,,3579404.0,ns,42732
single_random_i16,ChaCha8Rng,Canon32,,,3776766.0,ns,45106
single_random_i16,ChaCha8Rng,Canon32,,,3973306.0,ns,47480
single_random_i16,ChaCha8Rng,Canon32,,,4174796.0,ns,49854
single_random_i16,ChaCha8Rng,Canon32,,,4372539.0,ns,52228
single_random_i16,ChaCha8Rng,Canon32,,,4564420.0,ns,54602
single_random_i16,ChaCha8Rng,Canon32,,,4766661.0,ns,56976
single_random_i16,ChaCha8Rng,Canon32,,,4969684.0,ns,59350
single_random_i16,ChaCha8Rng,Canon32,,,5164170.0,ns,61724
single_random_i16,ChaCha8Rng,Canon32,,,5364307.0,ns,64098
single_random_i16,ChaCha8Rng,Canon32,,,5551610.0,ns,66472
single_random_i16,ChaCha8Rng,Canon32,,,5736559.0,ns,68846
single_random_i16,ChaCha8Rng,Canon32,,,5940582.0,ns,71220
single_random_i16,ChaCha8Rng,Canon32,,,6135280.0,ns,73594
single_random_i16,ChaCha8Rng,Canon32,,,6335496.0,ns,75968
single_random_i16,ChaCha8Rng,Canon32,,,6533881.0,ns,78342
single_random_i16,ChaCha8Rng,Canon32,,,6730962.0,ns,80716
single_random_i16,ChaCha8Rng,Canon32,,,6927463.0,ns,83090
single_random_i16,ChaCha8Rng,Canon32,,,7125426.0,ns,85464
single_random_i16,ChaCha8Rng,Canon32,,,7320974.0,ns,87838
single_random_i16,ChaCha8Rng,Canon32,,,7519117.0,ns,90212
single_random_i16,ChaCha8Rng,Canon32,,,7713394.0,ns,92586
single_random_i16,ChaCha8Rng,Canon32,,,7911396.0,ns,94960
single_random_i16,ChaCha8Rng,Canon32,,,8103107.0,ns,97334
single_random_i16,ChaCha8Rng,Canon32,,,8307442.0,ns,99708
single_random_i16,ChaCha8Rng,Canon32,,,8501147.0,ns,102082
single_random_i16,ChaCha8Rng,Canon32,,,8706895.0,ns,104456
single_random_i16,ChaCha8Rng,Canon32,,,8896482.0,ns,106830
single_random_i16,ChaCha8Rng,Canon32,,,9092361.0,ns,109204
single_random_i16,ChaCha8Rng,Canon32,,,9289923.0,ns,111578
single_random_i16,ChaCha8Rng,Canon32,,,9490651.0,ns,113952
single_random_i16,ChaCha8Rng,Canon32,,,9690879.0,ns,116326
single_random_i16,ChaCha8Rng,Canon32,,,9879574.0,ns,118700
single_random_i16,ChaCha8Rng,Canon32,,,10080974.0,ns,121074
single_random_i16,ChaCha8Rng,Canon32,,,10289758.0,ns,123448
single_random_i16,ChaCha8Rng,Canon32,,,10445731.0,ns,125822
single_random_i16,ChaCha8Rng,Canon32,,,10611083.0,ns,128196
single_random_i16,ChaCha8Rng,Canon32,,,10810358.0,ns,130570
single_random_i16,ChaCha8Rng,Canon32,,,10988725.0,ns,132944
single_random_i16,ChaCha8Rng,Canon32,,,11311192.0,ns,135318
single_random_i16,ChaCha8Rng,Canon32,,,11534773.0,ns,137692
single_random_i16,ChaCha8Rng,Canon32,,,11758415.0,ns,140066
single_random_i16,ChaCha8Rng,Canon32,,,11889051.0,ns,142440
single_random_i16,ChaCha8Rng,Canon32,,,12094447.0,ns,144814
single_random_i16,ChaCha8Rng,Canon32,,,12278334.0,ns,147188
single_random_i16,ChaCha8Rng,Canon32,,,12465817.0,ns,149562
single_random_i16,ChaCha8Rng,Canon32,,,12652930.0,ns,151936
single_random_i16,ChaCha8Rng,Canon32,,,12863337.0,ns,154310
single_random_i16,ChaCha8Rng,Canon32,,,13070055.0,ns,156684
single_random_i16,ChaCha8Rng,Canon32,,,13237431.0,ns,159058
single_random_i16,ChaCha8Rng,Canon32,,,13455362.0,ns,161432
single_random_i16,ChaCha8Rng,Canon32,,,13637646.0,ns,163806
single_random_i16,ChaCha8Rng,Canon32,,,13859003.0,ns,166180
single_random_i16,ChaCha8Rng,Canon32,,,14025877.0,ns,168554
single_random_i16,ChaCha8Rng,Canon32,,,14226404.0,ns,170928
single_random_i16,ChaCha8Rng,Canon32,,,14389422.0,ns,173302
single_random_i16,ChaCha8Rng,Canon32,,,14615358.0,ns,175676
single_random_i16,ChaCha8Rng,Canon32,,,14750994.0,ns,178050
