group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg32,Canon,,,198294.0,ns,2017
single_random_i16,Pcg32,Canon,,,397809.0,ns,4034
single_random_i16,Pcg32,Canon,,,591865.0,ns,6051
single_random_i16,Pcg32,Canon,,,790009.0,ns,8068
single_random_i16,Pcg32,Canon,,,987671.0,ns,10085
single_random_i16,Pcg32,Canon,,,1185053.0,ns,12102
single_random_i16,Pcg32,Canon,,,1383156.0,ns,14119
single_random_i16,Pcg32,Canon,,,1584145.0,ns,16136
single_random_i16,Pcg32,Canon,,,1777900.0,ns,18153
single_random_i16,Pcg32,Canon,,,1974441.0,ns,20170
single_random_i16,Pcg32,Canon,,,2177633.0,ns,22187
single_random_i16,Pcg32,Canon,,,2375545.0,ns,24204
single_random_i16,Pcg32,Canon,,,2568740.0,ns,26221
single_random_i16,Pcg32,Canon,,,2768135.0,ns,28238
single_random_i16,Pcg32,Canon,,,2964956.0,ns,30255
single_random_i16,Pcg32,Canon,,,3168550.0,ns,32272
single_random_i16,Pcg32,Canon,,,3358568.0,ns,34289
single_random_i16,Pcg32,Canon,,,3557623.0,ns,36306
single_random_i16,Pcg32,Canon,,,3756649.0,ns,38323
single_random_i16,Pcg32,Canon,,,3955302.0,ns,40340
single_random_i16,Pcg32,Canon,,,4152123.0,ns,42357
single_random_i16,Pcg32,Canon,,,4348253.0,ns,44374
single_random_i16,Pcg32,Canon,,,4547408.0,ns,46391
single_random_i16,Pcg32,Canon,,,4743076.0,ns,48408
single_random_i16,Pcg32,Canon,,,4939677.0,ns,50425
single_random_i16,Pcg32,Canon,,,5141447.0,ns,52442
single_random_i16,Pcg32,Canon,,,5332757.0,ns,54459
single_random_i16,Pcg32,Canon,,,5533135.0,ns,56476
single_random_i16,Pcg32,Canon,,,5731219.0,ns,58493
single_random_i16,Pcg32,Canon,,,5935113.0,ns,60510
single_random_i16,Pcg32,Canon,,,6132304.0,ns,62527
single_random_i16,Pcg32,Canon,,,6324517.0,ns,64544
single_random_i16,Pcg32,Canon,,,6528701.0,ns,66561
single_random_i16,Pcg32,Canon,,,6732986.0,ns,68578
single_random_i16,Pcg32,Canon,,,6915800.0,ns,70595
single_random_i16,Pcg32,Canon,,,7123452.0,ns,72612
single_random_i16,Pcg32,Canon,,,7305405.0,ns,74629
single_random_i16,Pcg32,Canon,,,7923499.0,ns,76646
single_random_i16,Pcg32,Canon,,,7706611.0,ns,78663
single_random_i16,Pcg32,Canon,,,7903711.0,ns,80680
single_random_i16,Pcg32,Canon,,,8095333.0,ns,82697
single_random_i16,Pcg32,Canon,,,8295560.0,ns,84714
single_random_i16,Pcg32,Canon,,,8489515.0,ns,86731
single_random_i16,Pcg32,Canon,,,8681026.0,ns,88748
single_random_i16,Pcg32,Canon,,,8875573.0,ns,90765
single_random_i16,Pcg32,Canon,,,9076722.0,ns,92782
single_random_i16,Pcg32,Canon,,,9270047.0,ns,94799
single_random_i16,Pcg32,Canon,,,9467378.0,ns,96816
single_random_i16,Pcg32,Canon,,,9669919.0,ns,98833
single_random_i16,Pcg32,Canon,,,9866780.0,ns,100850
single_random_i16,Pcg32,Canon,,,10054654.0,ns,102867
single_random_i16,Pcg32,Canon,,,10249231.0,ns,104884
single_random_i16,Pcg32,Canon,,,10447385.0,ns,106901
single_random_i16,Pcg32,Canon,,,10645308.0,ns,108918
single_random_i16,Pcg32,Canon,,,10846797.0,ns,110935
single_random_i16,Pcg32,Canon,,,11032938.0,ns,112952
single_random_i16,Pcg32,Canon,,,11236140.0,ns,114969
single_random_i16,Pcg32,Canon,,,11432701.0,ns,116986
single_random_i16,Pcg32,Canon,,,11618822.0,ns,119003
single_random_i16,Pcg32,Canon,,,11824660.0,ns,121020
single_random_i16,Pcg32,Canon,,,12013265.0,ns,123037
single_random_i16,Pcg32,Canon,,,12208632.0,ns,125054
single_random_i16,Pcg32,Canon,,,12412677.0,ns,127071
single_random_i16,Pcg32,Canon,,,12604398.0,ns,129088
single_random_i16,Pcg32,Canon,,,12809515.0,ns,131105
single_random_i16,Pcg32,Canon,,,12998902.0,ns,133122
single_random_i16,Pcg32,Canon,,,13199309.0,ns,135139
single_random_i16,Pcg32,Canon,,,13454760.0,ns,137156
single_random_i16,Pcg32,Canon,,,13588463.0,ns,139173
single_random_i16,Pcg32,Canon,,,13777088.0,ns,141190
single_random_i16,Pcg32,Canon,,,13981423.0,ns,143207
single_random_i16,Pcg32,Canon,,,14176120.0,ns,145224
single_random_i16,Pcg32,Canon,,,14368092.0,ns,147241
single_random_i16,Pcg32,Canon,,,14559462.0,ns,149258
single_random_i16,Pcg32,Canon,,,14768807.0,ns,151275
single_random_i16,Pcg32,Canon,,,14959176.0,ns,153292
single_random_i16,Pcg32,Canon,,,15279088.0,ns,155309
single_random_i16,Pcg32,Canon,,,15356774.0,ns,157326
single_random_i16,Pcg32,Canon,,,15543306.0,ns,159343
single_random_i16,Pcg32,Canon,,,15738804.0,ns,161360
single_random_i16,Pcg32,Canon,,,16186407.0,ns,163377
single_random_i16,Pcg32,Canon,,,16146903.0,ns,165394
single_random_i16,Pcg32,Canon,,,16347912.0,ns,167411
single_random_i16,Pcg32,Canon,,,16538450.0,ns,169428
single_random_i16,Pcg32,Canon,,,16723580.0,ns,171445
single_random_i16,Pcg32,Canon,,,16923156.0,ns,173462
single_random_i16,Pcg32,Canon,,,17113304.0,ns,175479
