group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg32,ONeill,,,197933.0,ns,3022
single_random_i16,Pcg32,ONeill,,,395876.0,ns,6044
single_random_i16,Pcg32,ONeill,,,595722.0,ns,9066
single_random_i16,Pcg32,ONeill,,,794005.0,ns,12088
single_random_i16,Pcg32,ONeill,,,990827.0,ns,15110
single_random_i16,Pcg32,ONeill,,,1188549.0,ns,18132
single_random_i16,Pcg32,ONeill,,,1381603.0,ns,21154
single_random_i16,Pcg32,ONeill,,,1582562.0,ns,24176
single_random_i16,Pcg32,ONeill,,,1780876.0,ns,27198
single_random_i16,Pcg32,ONeill,,,1974892.0,ns,30220
single_random_i16,Pcg32,ONeill,,,2179647.0,ns,33242
single_random_i16,Pcg32,ONeill,,,2373222.0,ns,36264
single_random_i16,Pcg32,ONeill,,,2570263.0,ns,39286
single_random_i16,Pcg32,ONeill,,,2772814.0,ns,42308
single_random_i16,Pcg32,ONeill,,,3058963.0,ns,45330
single_random_i16,Pcg32,ONeill,,,3168470.0,ns,48352
single_random_i16,Pcg32,ONeill,,,3360883.0,ns,51374
single_random_i16,Pcg32,ONeill,,,3560519.0,ns,54396
single_random_i16,Pcg32,ONeill,,,3836589.0,ns,57418
single_random_i16,Pcg32,ONeill,,,3960632.0,ns,60440
single_random_i16,Pcg32,ONeill,,,4163696.0,ns,63462
single_random_i16,Pcg32,ONeill,,,4348063.0,ns,66484
single_random_i16,Pcg32,ONeill,,,4635885.0,ns,69506
single_random_i16,Pcg32,ONeill,,,4742957.0,ns,72528
single_random_i16,Pcg32,ONeill,,,4951349.0,ns,75550
single_random_i16,Pcg32,ONeill,,,5141548.0,ns,78572
single_random_i16,Pcg32,ONeill,,,5340352.0,ns,81594
single_random_i16,Pcg32,ONeill,,,5550808.0,ns,84616
single_random_i16,Pcg32,ONeill,,,5742089.0,ns,87638
single_random_i16,Pcg32,ONeill,,,5942186.0,ns,90660
single_random_i16,Pcg32,ONeill,,,6136882.0,ns,93682
single_random_i16,Pcg32,ONeill,,,6324186.0,ns,96704
