group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg64,Canon-Lemire,,,197932.0,ns,2031
single_random_i16,Pcg64,Canon-Lemire,,,395836.0,ns,4062
single_random_i16,Pcg64,Canon-Lemire,,,595162.0,ns,6093
single_random_i16,Pcg64,Canon-Lemire,,,806610.0,ns,8124
single_random_i16,Pcg64,Canon-Lemire,,,990716.0,ns,10155
single_random_i16,Pcg64,Canon-Lemire,,,1188509.0,ns,12186
single_random_i16,Pcg64,Canon-Lemire,,,1386672.0,ns,14217
single_random_i16,Pcg64,Canon-Lemire,,,1586259.0,ns,16248
single_random_i16,Pcg64,Canon-Lemire,,,1783260.0,ns,18279
single_random_i16,Pcg64,Canon-Lemire,,,2015858.0,ns,20310
single_random_i16,Pcg64,Canon-Lemire,,,2180198.0,ns,22341
single_random_i16,Pcg64,Canon-Lemire,,,2379834.0,ns,24372
single_random_i16,Pcg64,Canon-Lemire,,,2577106.0,ns,26403
single_random_i16,Pcg64,Canon-Lemire,,,2773987.0,ns,28434
single_random_i16,Pcg64,Canon-Lemire,,,2972510.0,ns,30465
single_random_i16,Pcg64,Canon-Lemire,,,3169712.0,ns,32496
single_random_i16,Pcg64,Canon-Lemire,,,3367926.0,ns,34527
single_random_i16,Pcg64,Canon-Lemire,,,3561740.0,ns,36558
single_random_i16,Pcg64,Canon-Lemire,,,3758231.0,ns,38589
single_random_i16,Pcg64,Canon-Lemire,,,3962666.0,ns,40620
single_random_i16,Pcg64,Canon-Lemire,,,4161301.0,ns,42651
single_random_i16,Pcg64,Canon-Lemire,,,4358262.0,ns,44682
single_random_i16,Pcg64,Canon-Lemire,,,4545794.0,ns,46713
single_random_i16,Pcg64,Canon-Lemire,,,4833908.0,ns,48744
single_random_i16,Pcg64,Canon-Lemire,,,4944477.0,ns,50775
single_random_i16,Pcg64,Canon-Lemire,,,5239522.0,ns,52806
single_random_i16,Pcg64,Canon-Lemire,,,5352535.0,ns,54837
single_random_i16,Pcg64,Canon-Lemire,,,5553032.0,ns,56868
single_random_i16,Pcg64,Canon-Lemire,,,5743471.0,ns,58899
single_random_i16,Pcg64,Canon-Lemire,,,6033598.0,ns,60930
single_random_i16,Pcg64,Canon-Lemire,,,6136792.0,ns,62961
single_random_i16,Pcg64,Canon-Lemire,,,6334705.0,ns,64992
single_random_i16,Pcg64,Canon-Lemire,,,6535724.0,ns,67023
single_random_i16,Pcg64,Canon-Lemire,,,6726383.0,ns,69054
single_random_i16,Pcg64,Canon-Lemire,,,6926300.0,ns,71085
single_random_i16,Pcg64,Canon-Lemire,,,7123442.0,ns,73116
single_random_i16,Pcg64,Canon-Lemire,,,7320863.0,ns,75147
single_random_i16,Pcg64,Canon-Lemire,,,7506563.0,ns,77178
single_random_i16,Pcg64,Canon-Lemire,,,7712862.0,ns,79209
single_random_i16,Pcg64,Canon-Lemire,,,7911256.0,ns,81240
single_random_i16,Pcg64,Canon-Lemire,,,8110692.0,ns,83271
single_random_i16,Pcg64,Canon-Lemire,,,8431827.0,ns,85302
single_random_i16,Pcg64,Canon-Lemire,,,8494795.0,ns,87333
single_random_i16,Pcg64,Canon-Lemire,,,8820278.0,ns,89364
single_random_i16,Pcg64,Canon-Lemire,,,8883638.0,ns,91395
single_random_i16,Pcg64,Canon-Lemire,,,9072884.0,ns,93426
single_random_i16,Pcg64,Canon-Lemire,,,9264846.0,ns,95457
single_random_i16,Pcg64,Canon-Lemire,,,9463470.0,ns,97488
single_random_i16,Pcg64,Canon-Lemire,,,9659570.0,ns,99519
single_random_i16,Pcg64,Canon-Lemire,,,9853396.0,ns,101550
single_random_i16,Pcg64,Canon-Lemire,,,10049786.0,ns,103581
single_random_i16,Pcg64,Canon-Lemire,,,10248640.0,ns,105612
single_random_i16,Pcg64,Canon-Lemire,,,10444560.0,ns,107643
single_random_i16,Pcg64,Canon-Lemire,,,10633926.0,ns,109674
single_random_i16,Pcg64,Canon-Lemire,,,10830537.0,ns,111705
single_random_i16,Pcg64,Canon-Lemire,,,11032056.0,ns,113736
single_random_i16,Pcg64,Canon-Lemire,,,11239297.0,ns,115767
single_random_i16,Pcg64,Canon-Lemire,,,11430917.0,ns,117798
single_random_i16,Pcg64,Canon-Lemire,,,11624923.0,ns,119829
single_random_i16,Pcg64,Canon-Lemire,,,11817255.0,ns,121860
single_random_i16,Pcg64,Canon-Lemire,,,12018043.0,ns,123891
single_random_i16,Pcg64,Canon-Lemire,,,12220114.0,ns,125922
single_random_i16,Pcg64,Canon-Lemire,,,12415963.0,ns,127953
single_random_i16,Pcg64,Canon-Lemire,,,12618976.0,ns,129984
single_random_i16,Pcg64,Canon-Lemire,,,12805136.0,ns,132015
single_random_i16,Pcg64,Canon-Lemire,,,13007548.0,ns,134046
single_random_i16,Pcg64,Canon-Lemire,,,13205531.0,ns,136077
single_random_i16,Pcg64,Canon-Lemire,,,13392414.0,ns,138108
single_random_i16,Pcg64,Canon-Lemire,,,13580878.0,ns,140139
single_random_i16,Pcg64,Canon-Lemire,,,13790844.0,ns,142170
single_random_i16,Pcg64,Canon-Lemire,,,13977396.0,ns,144201
single_random_i16,Pcg64,Canon-Lemire,,,14175689.0,ns,146232
single_random_i16,Pcg64,Canon-Lemire,,,14373452.0,ns,148263
single_random_i16,Pcg64,Canon-Lemire,,,14577086.0,ns,150294
single_random_i16,Pcg64,Canon-Lemire,,,14754791.0,ns,152325
single_random_i16,Pcg64,Canon-Lemire,,,14962411.0,ns,154356
single_random_i16,Pcg64,Canon-Lemire,,,15150325.0,ns,156387
single_random_i16,Pcg64,Canon-Lemire,,,15355011.0,ns,158418
single_random_i16,Pcg64,Canon-Lemire,,,15558745.0,ns,160449
single_random_i16,Pcg64,Canon-Lemire,,,15766256.0,ns,162480
single_random_i16,Pcg64,Canon-Lemire,,,15943791.0,ns,164511
single_random_i16,Pcg64,Canon-Lemire,,,16151301.0,ns,166542
single_random_i16,Pcg64,Canon-Lemire,,,16369111.0,ns,168573
single_random_i16,Pcg64,Canon-Lemire,,,16553148.0,ns,170604
single_random_i16,Pcg64,Canon-Lemire,,,17031340.0,ns,172635
single_random_i16,Pcg64,Canon-Lemire,,,16925790.0,ns,174666
single_random_i16,Pcg64,Canon-Lemire,,,17133332.0,ns,176697
single_random_i16,Pcg64,Canon-Lemire,,,17313572.0,ns,178728
single_random_i16,Pcg64,Canon-Lemire,,,17523707.0,ns,180759
single_random_i16,Pcg64,Canon-Lemire,,,17715148.0,ns,182790
single_random_i16,Pcg64,Canon-Lemire,,,17914603.0,ns,184821
single_random_i16,Pcg64,Canon-Lemire,,,18105884.0,ns,186852
single_random_i16,Pcg64,Canon-Lemire,,,18308616.0,ns,188883
single_random_i16,Pcg64,Canon-Lemire,,,18508954.0,ns,190914
single_random_i16,Pcg64,Canon-Lemire,,,18701717.0,ns,192945
single_random_i16,Pcg64,Canon-Lemire,,,18884331.0,ns,194976
single_random_i16,Pcg64,Canon-Lemire,,,20933111.0,ns,197007
single_random_i16,Pcg64,Canon-Lemire,,,19246262.0,ns,199038
single_random_i16,Pcg64,Canon-Lemire,,,19471848.0,ns,201069
single_random_i16,Pcg64,Canon-Lemire,,,19662317.0,ns,203100
