group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,Pcg64,Canon32-2,,,197653.0,ns,2306
single_random_i16,Pcg64,Canon32-2,,,395245.0,ns,4612
single_random_i16,Pcg64,Canon32-2,,,594210.0,ns,6918
single_random_i16,Pcg64,Canon32-2,,,791651.0,ns,9224
single_random_i16,Pcg64,Canon32-2,,,989204.0,ns,11530
single_random_i16,Pcg64,Canon32-2,,,1196044.0,ns,13836
single_random_i16,Pcg64,Canon32-2,,,1379730.0,ns,16142
single_random_i16,Pcg64,Canon32-2,,,1583243.0,ns,18448
single_random_i16,Pcg64,Canon32-2,,,1776487.0,ns,20754
single_random_i16,Pcg64,Canon32-2,,,2106068.0,ns,23060
single_random_i16,Pcg64,Canon32-2,,,2171662.0,ns,25366
single_random_i16,Pcg64,Canon32-2,,,2373623.0,ns,27672
single_random_i16,Pcg64,Canon32-2,,,2568730.0,ns,29978
single_random_i16,Pcg64,Canon32-2,,,2778334.0,ns,32284
single_random_i16,Pcg64,Canon32-2,,,2961019.0,ns,34590
single_random_i16,Pcg64,Canon32-2,,,3157319.0,ns,36896
single_random_i16,Pcg64,Canon32-2,,,3359059.0,ns,39202
single_random_i16,Pcg64,Canon32-2,,,3558364.0,ns,41508
single_random_i16,Pcg64,Canon32-2,,,3775473.0,ns,43814
single_random_i16,Pcg64,Canon32-2,,,3957236.0,ns,46120
single_random_i16,Pcg64,Canon32-2,,,4145039.0,ns,48426
single_random_i16,Pcg64,Canon32-2,,,4347982.0,ns,50732
single_random_i16,Pcg64,Canon32-2,,,4546706.0,ns,53038
single_random_i16,Pcg64,Canon32-2,,,4738057.0,ns,55344
single_random_i16,Pcg64,Canon32-2,,,4934858.0,ns,57650
single_random_i16,Pcg64,Canon32-2,,,5122843.0,ns,59956
single_random_i16,Pcg64,Canon32-2,,,5328249.0,ns,62262
single_random_i16,Pcg64,Canon32-2,,,5520742.0,ns,64568
single_random_i16,Pcg64,Canon32-2,,,5724386.0,ns,66874
single_random_i16,Pcg64,Canon32-2,,,5919823.0,ns,69180
single_random_i16,Pcg64,Canon32-2,,,6118458.0,ns,71486
single_random_i16,Pcg64,Canon32-2,,,6312463.0,ns,73792
single_random_i16,Pcg64,Canon32-2,,,6506258.0,ns,76098
single_random_i16,Pcg64,Canon32-2,,,6701206.0,ns,78404
single_random_i16,Pcg64,Canon32-2,,,7020638.0,ns,80710
single_random_i16,Pcg64,Canon32-2,,,7089448.0,ns,83016
single_random_i16,Pcg64,Canon32-2,,,7313720.0,ns,85322
single_random_i16,Pcg64,Canon32-2,,,7477108.0,ns,87628
single_random_i16,Pcg64,Canon32-2,,,7685120.0,ns,89934
single_random_i16,Pcg64,Canon32-2,,,7876791.0,ns,92240
single_random_i16,Pcg64,Canon32-2,,,8078081.0,ns,94546
single_random_i16,Pcg64,Canon32-2,,,8264372.0,ns,96852
single_random_i16,Pcg64,Canon32-2,,,8484686.0,ns,99158
single_random_i16,Pcg64,Canon32-2,,,8653034.0,ns,101464
single_random_i16,Pcg64,Canon32-2,,,8859743.0,ns,103770
single_random_i16,Pcg64,Canon32-2,,,9046745.0,ns,106076
single_random_i16,Pcg64,Canon32-2,,,9246542.0,ns,108382
single_random_i16,Pcg64,Canon32-2,,,9443102.0,ns,110688
single_random_i16,Pcg64,Canon32-2,,,9643460.0,ns,112994
single_random_i16,Pcg64,Canon32-2,,,9828117.0,ns,115300
single_random_i16,Pcg64,Canon32-2,,,10034276.0,ns,117606
single_random_i16,Pcg64,Canon32-2,,,10233562.0,ns,119912
single_random_i16,Pcg64,Canon32-2,,,10425003.0,ns,122218
single_random_i16,Pcg64,Canon32-2,,,10639877.0,ns,124524
single_random_i16,Pcg64,Canon32-2,,,10814246.0,ns,126830
single_random_i16,Pcg64,Canon32-2,,,11005737.0,ns,129136
single_random_i16,Pcg64,Canon32-2,,,11208970.0,ns,131442
single_random_i16,Pcg64,Canon32-2,,,11411611.0,ns,133748
single_random_i16,Pcg64,Canon32-2,,,11593073.0,ns,136054
single_random_i16,Pcg64,Canon32-2,,,11810903.0,ns,138360
single_random_i16,Pcg64,Canon32-2,,,11987837.0,ns,140666
single_random_i16,Pcg64,Canon32-2,,,12179888.0,ns,142972
single_random_i16,Pcg64,Canon32-2,,,12395515.0,ns,145278
single_random_i16,Pcg64,Canon32-2,,,12578360.0,ns,147584
single_random_i16,Pcg64,Canon32-2,,,12776674.0,ns,149890
single_random_i16,Pcg64,Canon32-2,,,12977772.0,ns,152196
single_random_i16,Pcg64,Canon32-2,,,13180163.0,ns,154502
single_random_i16,Pcg64,Canon32-2,,,13360092.0,ns,156808
single_random_i16,Pcg64,Canon32-2,,,13555661.0,ns,159114
single_random_i16,Pcg64,Canon32-2,,,13769404.0,ns,161420
single_random_i16,Pcg64,Canon32-2,,,13952859.0,ns,163726
single_random_i16,Pcg64,Canon32-2,,,14248686.0,ns,166032
single_random_i16,Pcg64,Canon32-2,,,14361920.0,ns,168338
