group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,SmallRng,Canon32-2,,,199937.0,ns,2749
single_random_i16,SmallRng,Canon32-2,,,397098.0,ns,5498
single_random_i16,SmallRng,Canon32-2,,,597306.0,ns,8247
single_random_i16,SmallRng,Canon32-2,,,793455.0,ns,10996
single_random_i16,SmallRng,Canon32-2,,,988723.0,ns,13745
single_random_i16,SmallRng,Canon32-2,,,1187127.0,ns,16494
single_random_i16,SmallRng,Canon32-2,,,1383537.0,ns,19243
single_random_i16,SmallRng,Canon32-2,,,1583553.0,ns,21992
single_random_i16,SmallRng,Canon32-2,,,1787658.0,ns,24741
single_random_i16,SmallRng,Canon32-2,,,1977586.0,ns,27490
single_random_i16,SmallRng,Canon32-2,,,2177953.0,ns,30239
single_random_i16,SmallRng,Canon32-2,,,2381757.0,ns,32988
single_random_i16,SmallRng,Canon32-2,,,2571114.0,ns,35737
single_random_i16,SmallRng,Canon32-2,,,2767043.0,ns,38486
single_random_i16,SmallRng,Canon32-2,,,2965457.0,ns,41235
single_random_i16,SmallRng,Canon32-2,,,3174000.0,ns,43984
single_random_i16,SmallRng,Canon32-2,,,3367474.0,ns,46733
single_random_i16,SmallRng,Canon32-2,,,3559477.0,ns,49482
single_random_i16,SmallRng,Canon32-2,,,3757770.0,ns,52231
single_random_i16,SmallRng,Canon32-2,,,3964109.0,ns,54980
single_random_i16,SmallRng,Canon32-2,,,4159838.0,ns,57729
single_random_i16,SmallRng,Canon32-2,,,4350987.0,ns,60478
single_random_i16,SmallRng,Canon32-2,,,4556295.0,ns,63227
single_random_i16,SmallRng,Canon32-2,,,4745451.0,ns,65976
single_random_i16,SmallRng,Canon32-2,,,4943314.0,ns,68725
single_random_i16,SmallRng,Canon32-2,,,5156496.0,ns,71474
single_random_i16,SmallRng,Canon32-2,,,5337726.0,ns,74223
single_random_i16,SmallRng,Canon32-2,,,5552702.0,ns,76972
single_random_i16,SmallRng,Canon32-2,,,5733402.0,ns,79721
