group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,ChaCha8Rng,Canon32,,,118112.0,ns,1241
single_random_i32,ChaCha8Rng,Canon32,,,561708.0,ns,2482
single_random_i32,ChaCha8Rng,Canon32,,,782484.0,ns,3723
single_random_i32,ChaCha8Rng,Canon32,,,1303075.0,ns,4964
single_random_i32,ChaCha8Rng,Canon32,,,1221852.0,ns,6205
single_random_i32,ChaCha8Rng,Canon32,,,763399.0,ns,7446
single_random_i32,ChaCha8Rng,Canon32,,,2111449.0,ns,8687
single_random_i32,ChaCha8Rng,Canon32,,,1368879.0,ns,9928
single_random_i32,ChaCha8Rng,Canon32,,,1619862.0,ns,11169
single_random_i32,ChaCha8Rng,Canon32,,,1276615.0,ns,12410
single_random_i32,ChaCha8Rng,Canon32,,,1992073.0,ns,13651
single_random_i32,ChaCha8Rng,Canon32,,,3173148.0,ns,14892
single_random_i32,ChaCha8Rng,Canon32,,,2749851.0,ns,16133
single_random_i32,ChaCha8Rng,Canon32,,,4689165.0,ns,17374
single_random_i32,ChaCha8Rng,Canon32,,,1850918.0,ns,18615
single_random_i32,ChaCha8Rng,Canon32,,,5355371.0,ns,19856
single_random_i32,ChaCha8Rng,Canon32,,,2495932.0,ns,21097
single_random_i32,ChaCha8Rng,Canon32,,,4759988.0,ns,22338
single_random_i32,ChaCha8Rng,Canon32,,,3186353.0,ns,23579
single_random_i32,ChaCha8Rng,Canon32,,,6341048.0,ns,24820
single_random_i32,ChaCha8Rng,Canon32,,,3218454.0,ns,26061
single_random_i32,ChaCha8Rng,Canon32,,,4831824.0,ns,27302
single_random_i32,ChaCha8Rng,Canon32,,,7614016.0,ns,28543
single_random_i32,ChaCha8Rng,Canon32,,,3365310.0,ns,29784
single_random_i32,ChaCha8Rng,Canon32,,,3333961.0,ns,31025
single_random_i32,ChaCha8Rng,Canon32,,,4793491.0,ns,32266
single_random_i32,ChaCha8Rng,Canon32,,,3468646.0,ns,33507
single_random_i32,ChaCha8Rng,Canon32,,,9412514.0,ns,34748
single_random_i32,ChaCha8Rng,Canon32,,,8895200.0,ns,35989
single_random_i32,ChaCha8Rng,Canon32,,,10290518.0,ns,37230
single_random_i32,ChaCha8Rng,Canon32,,,6774414.0,ns,38471
single_random_i32,ChaCha8Rng,Canon32,,,7413588.0,ns,39712
single_random_i32,ChaCha8Rng,Canon32,,,4564100.0,ns,40953
single_random_i32,ChaCha8Rng,Canon32,,,4408597.0,ns,42194
single_random_i32,ChaCha8Rng,Canon32,,,5650346.0,ns,43435
single_random_i32,ChaCha8Rng,Canon32,,,11751893.0,ns,44676
single_random_i32,ChaCha8Rng,Canon32,,,5901218.0,ns,45917
single_random_i32,ChaCha8Rng,Canon32,,,9656054.0,ns,47158
single_random_i32,ChaCha8Rng,Canon32,,,9421732.0,ns,48399
single_random_i32,ChaCha8Rng,Canon32,,,10348428.0,ns,49640
single_random_i32,ChaCha8Rng,Canon32,,,10180551.0,ns,50881
single_random_i32,ChaCha8Rng,Canon32,,,13395559.0,ns,52122
single_random_i32,ChaCha8Rng,Canon32,,,6582623.0,ns,53363
single_random_i32,ChaCha8Rng,Canon32,,,8182287.0,ns,54604
single_random_i32,ChaCha8Rng,Canon32,,,5363896.0,ns,55845
single_random_i32,ChaCha8Rng,Canon32,,,12527834.0,ns,57086
single_random_i32,ChaCha8Rng,Canon32,,,6944915.0,ns,58327
single_random_i32,ChaCha8Rng,Canon32,,,15845134.0,ns,59568
single_random_i32,ChaCha8Rng,Canon32,,,6998446.0,ns,60809
single_random_i32,ChaCha8Rng,Canon32,,,13985611.0,ns,62050
single_random_i32,ChaCha8Rng,Canon32,,,6906242.0,ns,63291
single_random_i32,ChaCha8Rng,Canon32,,,6974460.0,ns,64532
single_random_i32,ChaCha8Rng,Canon32,,,7327176.0,ns,65773
single_random_i32,ChaCha8Rng,Canon32,,,12411245.0,ns,67014
single_random_i32,ChaCha8Rng,Canon32,,,12010009.0,ns,68255
single_random_i32,ChaCha8Rng,Canon32,,,15743763.0,ns,69496
single_random_i32,ChaCha8Rng,Canon32,,,6864974.0,ns,70737
single_random_i32,ChaCha8Rng,Canon32,,,13772149.0,ns,71978
single_random_i32,ChaCha8Rng,Canon32,,,14711589.0,ns,73219
single_random_i32,ChaCha8Rng,Canon32,,,11701637.0,ns,74460
single_random_i32,ChaCha8Rng,Canon32,,,12081042.0,ns,75701
single_random_i32,ChaCha8Rng,Canon32,,,8149275.0,ns,76942
single_random_i32,ChaCha8Rng,Canon32,,,8488845.0,ns,78183
single_random_i32,ChaCha8Rng,Canon32,,,20616625.0,ns,79424
single_random_i32,ChaCha8Rng,Canon32,,,15640899.0,ns,80665
single_random_i32,ChaCha8Rng,Canon32,,,8183299.0,ns,81906
single_random_i32,ChaCha8Rng,Canon32,,,12960049.0,ns,83147
single_random_i32,ChaCha8Rng,Canon32,,,14697322.0,ns,84388
single_random_i32,ChaCha8Rng,Canon32,,,8394747.0,ns,85629
single_random_i32,ChaCha8Rng,Canon32,,,13044208.0,ns,86870
single_random_i32,ChaCha8Rng,Canon32,,,10864440.0,ns,88111
single_random_i32,ChaCha8Rng,Canon32,,,10706292.0,ns,89352
single_random_i32,ChaCha8Rng,Canon32,,,10274097.0,ns,90593
single_random_i32,ChaCha8Rng,Canon32,,,15330425.0,ns,91834
single_random_i32,ChaCha8Rng,Canon32,,,9246992.0,ns,93075
single_random_i32,ChaCha8Rng,Canon32,,,9897809.0,ns,94316
single_random_i32,ChaCha8Rng,Canon32,,,16489850.0,ns,95557
single_random_i32,ChaCha8Rng,Canon32,,,20266335.0,ns,96798
single_random_i32,ChaCha8Rng,Canon32,,,15712334.0,ns,98039
single_random_i32,ChaCha8Rng,Canon32,,,17246975.0,ns,99280
single_random_i32,ChaCha8Rng,Canon32,,,26925993.0,ns,100521
single_random_i32,ChaCha8Rng,Canon32,,,27237970.0,ns,101762
single_random_i32,ChaCha8Rng,Canon32,,,14409830.0,ns,103003
single_random_i32,ChaCha8Rng,Canon32,,,28135942.0,ns,104244
single_random_i32,ChaCha8Rng,Canon32,,,25666500.0,ns,105485
single_random_i32,ChaCha8Rng,Canon32,,,20813305.0,ns,106726
single_random_i32,ChaCha8Rng,Canon32,,,17597025.0,ns,107967
single_random_i32,ChaCha8Rng,Canon32,,,19126898.0,ns,109208
single_random_i32,ChaCha8Rng,Canon32,,,18321841.0,ns,110449
single_random_i32,ChaCha8Rng,Canon32,,,17115748.0,ns,111690
single_random_i32,ChaCha8Rng,Canon32,,,26523895.0,ns,112931
single_random_i32,ChaCha8Rng,Canon32,,,21305582.0,ns,114172
single_random_i32,ChaCha8Rng,Canon32,,,15065436.0,ns,115413
single_random_i32,ChaCha8Rng,Canon32,,,21248806.0,ns,116654
single_random_i32,ChaCha8Rng,Canon32,,,16094193.0,ns,117895
single_random_i32,ChaCha8Rng,Canon32,,,18545252.0,ns,119136
single_random_i32,ChaCha8Rng,Canon32,,,29268977.0,ns,120377
single_random_i32,ChaCha8Rng,Canon32,,,26811968.0,ns,121618
single_random_i32,ChaCha8Rng,Canon32,,,19619706.0,ns,122859
single_random_i32,ChaCha8Rng,Canon32,,,19186500.0,ns,124100
