group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,ChaCha8Rng,Old,,,324110.0,ns,915
single_random_i32,ChaCha8Rng,Old,,,639755.0,ns,1830
single_random_i32,ChaCha8Rng,Old,,,502347.0,ns,2745
single_random_i32,ChaCha8Rng,Old,,,770031.0,ns,3660
single_random_i32,ChaCha8Rng,Old,,,1185464.0,ns,4575
single_random_i32,ChaCha8Rng,Old,,,1491370.0,ns,5490
single_random_i32,ChaCha8Rng,Old,,,2225504.0,ns,6405
single_random_i32,ChaCha8Rng,Old,,,3096905.0,ns,7320
single_random_i32,ChaCha8Rng,Old,,,1613941.0,ns,8235
single_random_i32,ChaCha8Rng,Old,,,2752125.0,ns,9150
single_random_i32,ChaCha8Rng,Old,,,2566115.0,ns,10065
single_random_i32,ChaCha8Rng,Old,,,2236674.0,ns,10980
single_random_i32,ChaCha8Rng,Old,,,2679279.0,ns,11895
single_random_i32,ChaCha8Rng,Old,,,2214653.0,ns,12810
single_random_i32,ChaCha8Rng,Old,,,4200434.0,ns,13725
single_random_i32,ChaCha8Rng,Old,,,4944567.0,ns,14640
single_random_i32,ChaCha8Rng,Old,,,3270723.0,ns,15555
single_random_i32,ChaCha8Rng,Old,,,4498065.0,ns,16470
single_random_i32,ChaCha8Rng,Old,,,7466298.0,ns,17385
single_random_i32,ChaCha8Rng,Old,,,6260436.0,ns,18300
single_random_i32,ChaCha8Rng,Old,,,7184266.0,ns,19215
single_random_i32,ChaCha8Rng,Old,,,5736228.0,ns,20130
single_random_i32,ChaCha8Rng,Old,,,2737788.0,ns,21045
single_random_i32,ChaCha8Rng,Old,,,8740578.0,ns,21960
single_random_i32,ChaCha8Rng,Old,,,5200438.0,ns,22875
single_random_i32,ChaCha8Rng,Old,,,10947376.0,ns,23790
single_random_i32,ChaCha8Rng,Old,,,10361883.0,ns,24705
single_random_i32,ChaCha8Rng,Old,,,8543437.0,ns,25620
single_random_i32,ChaCha8Rng,Old,,,4992146.0,ns,26535
single_random_i32,ChaCha8Rng,Old,,,9605398.0,ns,27450
single_random_i32,ChaCha8Rng,Old,,,7734292.0,ns,28365
single_random_i32,ChaCha8Rng,Old,,,5879628.0,ns,29280
single_random_i32,ChaCha8Rng,Old,,,13844856.0,ns,30195
single_random_i32,ChaCha8Rng,Old,,,9651665.0,ns,31110
single_random_i32,ChaCha8Rng,Old,,,9585531.0,ns,32025
single_random_i32,ChaCha8Rng,Old,,,4008603.0,ns,32940
single_random_i32,ChaCha8Rng,Old,,,8797635.0,ns,33855
single_random_i32,ChaCha8Rng,Old,,,8687458.0,ns,34770
single_random_i32,ChaCha8Rng,Old,,,5805037.0,ns,35685
single_random_i32,ChaCha8Rng,Old,,,9744090.0,ns,36600
single_random_i32,ChaCha8Rng,Old,,,7335181.0,ns,37515
single_random_i32,ChaCha8Rng,Old,,,5119586.0,ns,38430
single_random_i32,ChaCha8Rng,Old,,,11248333.0,ns,39345
single_random_i32,ChaCha8Rng,Old,,,15116973.0,ns,40260
single_random_i32,ChaCha8Rng,Old,,,6419615.0,ns,41175
single_random_i32,ChaCha8Rng,Old,,,5653191.0,ns,42090
single_random_i32,ChaCha8Rng,Old,,,10473894.0,ns,43005
single_random_i32,ChaCha8Rng,Old,,,11248373.0,ns,43920
single_random_i32,ChaCha8Rng,Old,,,12938679.0,ns,44835
single_random_i32,ChaCha8Rng,Old,,,6832564.0,ns,45750
single_random_i32,ChaCha8Rng,Old,,,21009605.0,ns,46665
single_random_i32,ChaCha8Rng,Old,,,10891852.0,ns,47580
single_random_i32,ChaCha8Rng,Old,,,13565720.0,ns,48495
single_random_i32,ChaCha8Rng,Old,,,12050815.0,ns,49410
single_random_i32,ChaCha8Rng,Old,,,16363672.0,ns,50325
single_random_i32,ChaCha8Rng,Old,,,14228037.0,ns,51240
single_random_i32,ChaCha8Rng,Old,,,12253147.0,ns,52155
single_random_i32,ChaCha8Rng,Old,,,20570608.0,ns,53070
single_random_i32,ChaCha8Rng,Old,,,15788167.0,ns,53985
single_random_i32,ChaCha8Rng,Old,,,23166980.0,ns,54900
single_random_i32,ChaCha8Rng,Old,,,9890054.0,ns,55815
single_random_i32,ChaCha8Rng,Old,,,10780612.0,ns,56730
single_random_i32,ChaCha8Rng,Old,,,19462951.0,ns,57645
single_random_i32,ChaCha8Rng,Old,,,11448972.0,ns,58560
single_random_i32,ChaCha8Rng,Old,,,11650852.0,ns,59475
single_random_i32,ChaCha8Rng,Old,,,21729722.0,ns,60390
single_random_i32,ChaCha8Rng,Old,,,19798724.0,ns,61305
single_random_i32,ChaCha8Rng,Old,,,14038040.0,ns,62220
single_random_i32,ChaCha8Rng,Old,,,8959952.0,ns,63135
single_random_i32,ChaCha8Rng,Old,,,8419704.0,ns,64050
single_random_i32,ChaCha8Rng,Old,,,8542926.0,ns,64965
single_random_i32,ChaCha8Rng,Old,,,9939116.0,ns,65880
single_random_i32,ChaCha8Rng,Old,,,19259929.0,ns,66795
single_random_i32,ChaCha8Rng,Old,,,25535814.0,ns,67710
single_random_i32,ChaCha8Rng,Old,,,21315031.0,ns,68625
single_random_i32,ChaCha8Rng,Old,,,15030510.0,ns,69540
single_random_i32,ChaCha8Rng,Old,,,18657303.0,ns,70455
single_random_i32,ChaCha8Rng,Old,,,24842067.0,ns,71370
single_random_i32,ChaCha8Rng,Old,,,17139444.0,ns,72285
single_random_i32,ChaCha8Rng,Old,,,25075145.0,ns,73200
single_random_i32,ChaCha8Rng,Old,,,11123849.0,ns,74115
single_random_i32,ChaCha8Rng,Old,,,21949175.0,ns,75030
single_random_i32,ChaCha8Rng,Old,,,9987248.0,ns,75945
single_random_i32,ChaCha8Rng,Old,,,21055552.0,ns,76860
single_random_i32,ChaCha8Rng,Old,,,11734720.0,ns,77775
single_random_i32,ChaCha8Rng,Old,,,13457636.0,ns,78690
single_random_i32,ChaCha8Rng,Old,,,32848111.0,ns,79605
single_random_i32,ChaCha8Rng,Old,,,10169731.0,ns,80520
single_random_i32,ChaCha8Rng,Old,,,19558521.0,ns,81435
single_random_i32,ChaCha8Rng,Old,,,27233632.0,ns,82350
single_random_i32,ChaCha8Rng,Old,,,27816711.0,ns,83265
single_random_i32,ChaCha8Rng,Old,,,28745310.0,ns,84180
single_random_i32,ChaCha8Rng,Old,,,23133497.0,ns,85095
single_random_i32,ChaCha8Rng,Old,,,39153801.0,ns,86010
single_random_i32,ChaCha8Rng,Old,,,35473798.0,ns,86925
single_random_i32,ChaCha8Rng,Old,,,25981443.0,ns,87840
single_random_i32,ChaCha8Rng,Old,,,16111186.0,ns,88755
single_random_i32,ChaCha8Rng,Old,,,29741267.0,ns,89670
single_random_i32,ChaCha8Rng,Old,,,17016461.0,ns,90585
single_random_i32,ChaCha8Rng,Old,,,13566471.0,ns,91500
