group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg32,Canon-Unbiased,,,196871.0,ns,1787
single_random_i32,Pcg32,Canon-Unbiased,,,393712.0,ns,3574
single_random_i32,Pcg32,Canon-Unbiased,,,591946.0,ns,5361
single_random_i32,Pcg32,Canon-Unbiased,,,791301.0,ns,7148
single_random_i32,Pcg32,Canon-Unbiased,,,987921.0,ns,8935
single_random_i32,Pcg32,Canon-Unbiased,,,1182308.0,ns,10722
single_random_i32,Pcg32,Canon-Unbiased,,,1384338.0,ns,12509
single_random_i32,Pcg32,Canon-Unbiased,,,1576831.0,ns,14296
single_random_i32,Pcg32,Canon-Unbiased,,,1780375.0,ns,16083
single_random_i32,Pcg32,Canon-Unbiased,,,1970753.0,ns,17870
single_random_i32,Pcg32,Canon-Unbiased,,,2173345.0,ns,19657
single_random_i32,Pcg32,Canon-Unbiased,,,2369875.0,ns,21444
single_random_i32,Pcg32,Canon-Unbiased,,,2567898.0,ns,23231
single_random_i32,Pcg32,Canon-Unbiased,,,2764469.0,ns,25018
single_random_i32,Pcg32,Canon-Unbiased,,,2961340.0,ns,26805
single_random_i32,Pcg32,Canon-Unbiased,,,3158521.0,ns,28592
single_random_i32,Pcg32,Canon-Unbiased,,,3353329.0,ns,30379
single_random_i32,Pcg32,Canon-Unbiased,,,3559477.0,ns,32166
single_random_i32,Pcg32,Canon-Unbiased,,,3743403.0,ns,33953
single_random_i32,Pcg32,Canon-Unbiased,,,3941747.0,ns,35740
single_random_i32,Pcg32,Canon-Unbiased,,,4162122.0,ns,37527
single_random_i32,Pcg32,Canon-Unbiased,,,4346409.0,ns,39314
single_random_i32,Pcg32,Canon-Unbiased,,,4531849.0,ns,41101
single_random_i32,Pcg32,Canon-Unbiased,,,4730072.0,ns,42888
single_random_i32,Pcg32,Canon-Unbiased,,,4931832.0,ns,44675
single_random_i32,Pcg32,Canon-Unbiased,,,5123062.0,ns,46462
single_random_i32,Pcg32,Canon-Unbiased,,,5321025.0,ns,48249
