group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg32,ONeill,,,185871.0,ns,1149
single_random_i32,Pcg32,ONeill,,,152227.0,ns,2298
single_random_i32,Pcg32,ONeill,,,373694.0,ns,3447
single_random_i32,Pcg32,ONeill,,,720658.0,ns,4596
single_random_i32,Pcg32,ONeill,,,1244064.0,ns,5745
single_random_i32,Pcg32,ONeill,,,1382124.0,ns,6894
single_random_i32,Pcg32,ONeill,,,1271135.0,ns,8043
single_random_i32,Pcg32,ONeill,,,1099422.0,ns,9192
single_random_i32,Pcg32,ONeill,,,2036978.0,ns,10341
single_random_i32,Pcg32,ONeill,,,2314711.0,ns,11490
single_random_i32,Pcg32,ONeill,,,767506.0,ns,12639
single_random_i32,Pcg32,ONeill,,,914473.0,ns,13788
single_random_i32,Pcg32,ONeill,,,1210771.0,ns,14937
single_random_i32,Pcg32,ONeill,,,1319817.0,ns,16086
single_random_i32,Pcg32,ONeill,,,2030326.0,ns,17235
single_random_i32,Pcg32,ONeill,,,1766429.0,ns,18384
single_random_i32,Pcg32,ONeill,,,5173798.0,ns,19533
single_random_i32,Pcg32,ONeill,,,3560849.0,ns,20682
single_random_i32,Pcg32,ONeill,,,3020260.0,ns,21831
single_random_i32,Pcg32,ONeill,,,3798988.0,ns,22980
single_random_i32,Pcg32,ONeill,,,4666933.0,ns,24129
single_random_i32,Pcg32,ONeill,,,2782292.0,ns,25278
single_random_i32,Pcg32,ONeill,,,9730944.0,ns,26427
single_random_i32,Pcg32,ONeill,,,5297191.0,ns,27576
single_random_i32,Pcg32,ONeill,,,6356837.0,ns,28725
single_random_i32,Pcg32,ONeill,,,3576539.0,ns,29874
single_random_i32,Pcg32,ONeill,,,2768066.0,ns,31023
single_random_i32,Pcg32,ONeill,,,8704501.0,ns,32172
single_random_i32,Pcg32,ONeill,,,7502005.0,ns,33321
single_random_i32,Pcg32,ONeill,,,2896357.0,ns,34470
single_random_i32,Pcg32,ONeill,,,2974374.0,ns,35619
single_random_i32,Pcg32,ONeill,,,9654611.0,ns,36768
single_random_i32,Pcg32,ONeill,,,3086085.0,ns,37917
single_random_i32,Pcg32,ONeill,,,3641400.0,ns,39066
single_random_i32,Pcg32,ONeill,,,9809262.0,ns,40215
single_random_i32,Pcg32,ONeill,,,9049631.0,ns,41364
single_random_i32,Pcg32,ONeill,,,11325849.0,ns,42513
single_random_i32,Pcg32,ONeill,,,4267751.0,ns,43662
single_random_i32,Pcg32,ONeill,,,12344509.0,ns,44811
single_random_i32,Pcg32,ONeill,,,12253597.0,ns,45960
single_random_i32,Pcg32,ONeill,,,7003336.0,ns,47109
single_random_i32,Pcg32,ONeill,,,9332574.0,ns,48258
single_random_i32,Pcg32,ONeill,,,15733234.0,ns,49407
single_random_i32,Pcg32,ONeill,,,12883404.0,ns,50556
single_random_i32,Pcg32,ONeill,,,13164153.0,ns,51705
single_random_i32,Pcg32,ONeill,,,4259395.0,ns,52854
single_random_i32,Pcg32,ONeill,,,14497636.0,ns,54003
single_random_i32,Pcg32,ONeill,,,8591046.0,ns,55152
single_random_i32,Pcg32,ONeill,,,3412419.0,ns,56301
single_random_i32,Pcg32,ONeill,,,6572263.0,ns,57450
single_random_i32,Pcg32,ONeill,,,8869401.0,ns,58599
single_random_i32,Pcg32,ONeill,,,15621403.0,ns,59748
single_random_i32,Pcg32,ONeill,,,19990645.0,ns,60897
single_random_i32,Pcg32,ONeill,,,5083418.0,ns,62046
single_random_i32,Pcg32,ONeill,,,4241071.0,ns,63195
single_random_i32,Pcg32,ONeill,,,4710816.0,ns,64344
single_random_i32,Pcg32,ONeill,,,9953664.0,ns,65493
single_random_i32,Pcg32,ONeill,,,6225490.0,ns,66642
single_random_i32,Pcg32,ONeill,,,4493166.0,ns,67791
single_random_i32,Pcg32,ONeill,,,5442253.0,ns,68940
single_random_i32,Pcg32,ONeill,,,13446515.0,ns,70089
single_random_i32,Pcg32,ONeill,,,20264291.0,ns,71238
single_random_i32,Pcg32,ONeill,,,13415457.0,ns,72387
single_random_i32,Pcg32,ONeill,,,15359059.0,ns,73536
single_random_i32,Pcg32,ONeill,,,26701599.0,ns,74685
single_random_i32,Pcg32,ONeill,,,8860023.0,ns,75834
single_random_i32,Pcg32,ONeill,,,9981557.0,ns,76983
single_random_i32,Pcg32,ONeill,,,20461082.0,ns,78132
single_random_i32,Pcg32,ONeill,,,20390779.0,ns,79281
single_random_i32,Pcg32,ONeill,,,17808334.0,ns,80430
single_random_i32,Pcg32,ONeill,,,13469689.0,ns,81579
single_random_i32,Pcg32,ONeill,,,16901184.0,ns,82728
single_random_i32,Pcg32,ONeill,,,5913612.0,ns,83877
single_random_i32,Pcg32,ONeill,,,10563574.0,ns,85026
single_random_i32,Pcg32,ONeill,,,5989224.0,ns,86175
single_random_i32,Pcg32,ONeill,,,18249435.0,ns,87324
single_random_i32,Pcg32,ONeill,,,10716973.0,ns,88473
single_random_i32,Pcg32,ONeill,,,5981570.0,ns,89622
single_random_i32,Pcg32,ONeill,,,12258847.0,ns,90771
single_random_i32,Pcg32,ONeill,,,7688125.0,ns,91920
single_random_i32,Pcg32,ONeill,,,20184671.0,ns,93069
single_random_i32,Pcg32,ONeill,,,8144865.0,ns,94218
single_random_i32,Pcg32,ONeill,,,8686497.0,ns,95367
single_random_i32,Pcg32,ONeill,,,12283573.0,ns,96516
single_random_i32,Pcg32,ONeill,,,6518883.0,ns,97665
single_random_i32,Pcg32,ONeill,,,20697026.0,ns,98814
single_random_i32,Pcg32,ONeill,,,21171791.0,ns,99963
single_random_i32,Pcg32,ONeill,,,6436047.0,ns,101112
single_random_i32,Pcg32,ONeill,,,7170430.0,ns,102261
single_random_i32,Pcg32,ONeill,,,14607372.0,ns,103410
single_random_i32,Pcg32,ONeill,,,10594291.0,ns,104559
single_random_i32,Pcg32,ONeill,,,8793848.0,ns,105708
single_random_i32,Pcg32,ONeill,,,36255701.0,ns,106857
single_random_i32,Pcg32,ONeill,,,27625149.0,ns,108006
single_random_i32,Pcg32,ONeill,,,15059504.0,ns,109155
single_random_i32,Pcg32,ONeill,,,10337728.0,ns,110304
single_random_i32,Pcg32,ONeill,,,10337447.0,ns,111453
single_random_i32,Pcg32,ONeill,,,9948003.0,ns,112602
single_random_i32,Pcg32,ONeill,,,14300825.0,ns,113751
single_random_i32,Pcg32,ONeill,,,23478076.0,ns,114900
