group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg32,Old,,,295056.0,ns,962
single_random_i32,Pcg32,Old,,,352935.0,ns,1924
single_random_i32,Pcg32,Old,,,687064.0,ns,2886
single_random_i32,Pcg32,Old,,,938969.0,ns,3848
single_random_i32,Pcg32,Old,,,510852.0,ns,4810
single_random_i32,Pcg32,Old,,,980197.0,ns,5772
single_random_i32,Pcg32,Old,,,1639559.0,ns,6734
single_random_i32,Pcg32,Old,,,1949593.0,ns,7696
single_random_i32,Pcg32,Old,,,2477548.0,ns,8658
single_random_i32,Pcg32,Old,,,1704943.0,ns,9620
single_random_i32,Pcg32,Old,,,1531856.0,ns,10582
single_random_i32,Pcg32,Old,,,3866154.0,ns,11544
single_random_i32,Pcg32,Old,,,2296297.0,ns,12506
single_random_i32,Pcg32,Old,,,1289730.0,ns,13468
single_random_i32,Pcg32,Old,,,3073431.0,ns,14430
single_random_i32,Pcg32,Old,,,1473587.0,ns,15392
single_random_i32,Pcg32,Old,,,5541040.0,ns,16354
single_random_i32,Pcg32,Old,,,5362213.0,ns,17316
single_random_i32,Pcg32,Old,,,3925817.0,ns,18278
single_random_i32,Pcg32,Old,,,6837092.0,ns,19240
single_random_i32,Pcg32,Old,,,5174700.0,ns,20202
single_random_i32,Pcg32,Old,,,3604963.0,ns,21164
single_random_i32,Pcg32,Old,,,2974785.0,ns,22126
single_random_i32,Pcg32,Old,,,5369948.0,ns,23088
single_random_i32,Pcg32,Old,,,8294859.0,ns,24050
single_random_i32,Pcg32,Old,,,3625151.0,ns,25012
single_random_i32,Pcg32,Old,,,7958114.0,ns,25974
single_random_i32,Pcg32,Old,,,4889302.0,ns,26936
single_random_i32,Pcg32,Old,,,7776712.0,ns,27898
single_random_i32,Pcg32,Old,,,7043892.0,ns,28860
single_random_i32,Pcg32,Old,,,11186818.0,ns,29822
single_random_i32,Pcg32,Old,,,6366946.0,ns,30784
single_random_i32,Pcg32,Old,,,7243628.0,ns,31746
single_random_i32,Pcg32,Old,,,3433569.0,ns,32708
single_random_i32,Pcg32,Old,,,6249936.0,ns,33670
single_random_i32,Pcg32,Old,,,6984920.0,ns,34632
single_random_i32,Pcg32,Old,,,11244115.0,ns,35594
single_random_i32,Pcg32,Old,,,6457367.0,ns,36556
single_random_i32,Pcg32,Old,,,13164554.0,ns,37518
single_random_i32,Pcg32,Old,,,5862686.0,ns,38480
single_random_i32,Pcg32,Old,,,10030118.0,ns,39442
single_random_i32,Pcg32,Old,,,8855576.0,ns,40404
single_random_i32,Pcg32,Old,,,15566039.0,ns,41366
single_random_i32,Pcg32,Old,,,11895012.0,ns,42328
single_random_i32,Pcg32,Old,,,11402734.0,ns,43290
single_random_i32,Pcg32,Old,,,12844240.0,ns,44252
single_random_i32,Pcg32,Old,,,7814583.0,ns,45214
single_random_i32,Pcg32,Old,,,13469248.0,ns,46176
single_random_i32,Pcg32,Old,,,6044628.0,ns,47138
single_random_i32,Pcg32,Old,,,9120505.0,ns,48100
single_random_i32,Pcg32,Old,,,11964613.0,ns,49062
single_random_i32,Pcg32,Old,,,12436542.0,ns,50024
single_random_i32,Pcg32,Old,,,9259826.0,ns,50986
single_random_i32,Pcg32,Old,,,8996160.0,ns,51948
single_random_i32,Pcg32,Old,,,16694015.0,ns,52910
single_random_i32,Pcg32,Old,,,10666758.0,ns,53872
single_random_i32,Pcg32,Old,,,20610714.0,ns,54834
single_random_i32,Pcg32,Old,,,9664719.0,ns,55796
single_random_i32,Pcg32,Old,,,12009377.0,ns,56758
single_random_i32,Pcg32,Old,,,13509043.0,ns,57720
