group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i32,Pcg64,Canon32-2,,,134915.0,ns,977
single_random_i32,Pcg64,Canon32-2,,,705930.0,ns,1954
single_random_i32,Pcg64,Canon32-2,,,1009662.0,ns,2931
single_random_i32,Pcg64,Canon32-2,,,590743.0,ns,3908
single_random_i32,Pcg64,Canon32-2,,,849471.0,ns,4885
single_random_i32,Pcg64,Canon32-2,,,510842.0,ns,5862
single_random_i32,Pcg64,Canon32-2,,,2392307.0,ns,6839
single_random_i32,Pcg64,Canon32-2,,,832219.0,ns,7816
single_random_i32,Pcg64,Canon32-2,,,3050568.0,ns,8793
single_random_i32,Pcg64,Canon32-2,,,1010323.0,ns,9770
single_random_i32,Pcg64,Canon32-2,,,1578153.0,ns,10747
single_random_i32,Pcg64,Canon32-2,,,980297.0,ns,11724
single_random_i32,Pcg64,Canon32-2,,,1639750.0,ns,12701
single_random_i32,Pcg64,Canon32-2,,,4819932.0,ns,13678
single_random_i32,Pcg64,Canon32-2,,,1513522.0,ns,14655
single_random_i32,Pcg64,Canon32-2,,,5414020.0,ns,15632
single_random_i32,Pcg64,Canon32-2,,,1705924.0,ns,16609
single_random_i32,Pcg64,Canon32-2,,,3960973.0,ns,17586
single_random_i32,Pcg64,Canon32-2,,,5860402.0,ns,18563
single_random_i32,Pcg64,Canon32-2,,,2835071.0,ns,19540
single_random_i32,Pcg64,Canon32-2,,,1741051.0,ns,20517
single_random_i32,Pcg64,Canon32-2,,,2332244.0,ns,21494
single_random_i32,Pcg64,Canon32-2,,,1895782.0,ns,22471
single_random_i32,Pcg64,Canon32-2,,,2367521.0,ns,23448
single_random_i32,Pcg64,Canon32-2,,,6401180.0,ns,24425
single_random_i32,Pcg64,Canon32-2,,,8404385.0,ns,25402
single_random_i32,Pcg64,Canon32-2,,,9172722.0,ns,26379
single_random_i32,Pcg64,Canon32-2,,,9654951.0,ns,27356
single_random_i32,Pcg64,Canon32-2,,,8906481.0,ns,28333
single_random_i32,Pcg64,Canon32-2,,,7872142.0,ns,29310
single_random_i32,Pcg64,Canon32-2,,,4779044.0,ns,30287
single_random_i32,Pcg64,Canon32-2,,,7110648.0,ns,31264
single_random_i32,Pcg64,Canon32-2,,,2530068.0,ns,32241
single_random_i32,Pcg64,Canon32-2,,,7489962.0,ns,33218
single_random_i32,Pcg64,Canon32-2,,,3096264.0,ns,34195
single_random_i32,Pcg64,Canon32-2,,,6723628.0,ns,35172
single_random_i32,Pcg64,Canon32-2,,,10697325.0,ns,36149
single_random_i32,Pcg64,Canon32-2,,,3634909.0,ns,37126
single_random_i32,Pcg64,Canon32-2,,,3095112.0,ns,38103
single_random_i32,Pcg64,Canon32-2,,,12258757.0,ns,39080
single_random_i32,Pcg64,Canon32-2,,,3160114.0,ns,40057
single_random_i32,Pcg64,Canon32-2,,,3341877.0,ns,41034
single_random_i32,Pcg64,Canon32-2,,,7875759.0,ns,42011
single_random_i32,Pcg64,Canon32-2,,,5989605.0,ns,42988
single_random_i32,Pcg64,Canon32-2,,,4185746.0,ns,43965
single_random_i32,Pcg64,Canon32-2,,,8076858.0,ns,44942
single_random_i32,Pcg64,Canon32-2,,,6508142.0,ns,45919
single_random_i32,Pcg64,Canon32-2,,,9808611.0,ns,46896
single_random_i32,Pcg64,Canon32-2,,,5175020.0,ns,47873
single_random_i32,Pcg64,Canon32-2,,,15905788.0,ns,48850
single_random_i32,Pcg64,Canon32-2,,,5700380.0,ns,49827
single_random_i32,Pcg64,Canon32-2,,,12109486.0,ns,50804
single_random_i32,Pcg64,Canon32-2,,,18491711.0,ns,51781
single_random_i32,Pcg64,Canon32-2,,,18807256.0,ns,52758
single_random_i32,Pcg64,Canon32-2,,,4642277.0,ns,53735
single_random_i32,Pcg64,Canon32-2,,,17670744.0,ns,54712
single_random_i32,Pcg64,Canon32-2,,,7573470.0,ns,55689
single_random_i32,Pcg64,Canon32-2,,,6677552.0,ns,56666
single_random_i32,Pcg64,Canon32-2,,,4964645.0,ns,57643
single_random_i32,Pcg64,Canon32-2,,,20500917.0,ns,58620
single_random_i32,Pcg64,Canon32-2,,,21130503.0,ns,59597
single_random_i32,Pcg64,Canon32-2,,,21553670.0,ns,60574
single_random_i32,Pcg64,Canon32-2,,,20912452.0,ns,61551
single_random_i32,Pcg64,Canon32-2,,,20968708.0,ns,62528
single_random_i32,Pcg64,Canon32-2,,,9137537.0,ns,63505
single_random_i32,Pcg64,Canon32-2,,,22593199.0,ns,64482
single_random_i32,Pcg64,Canon32-2,,,20961414.0,ns,65459
single_random_i32,Pcg64,Canon32-2,,,22338119.0,ns,66436
single_random_i32,Pcg64,Canon32-2,,,23957730.0,ns,67413
single_random_i32,Pcg64,Canon32-2,,,10201651.0,ns,68390
single_random_i32,Pcg64,Canon32-2,,,8852129.0,ns,69367
single_random_i32,Pcg64,Canon32-2,,,6193990.0,ns,70344
single_random_i32,Pcg64,Canon32-2,,,21097060.0,ns,71321
single_random_i32,Pcg64,Canon32-2,,,24903381.0,ns,72298
single_random_i32,Pcg64,Canon32-2,,,19219773.0,ns,73275
single_random_i32,Pcg64,Canon32-2,,,7372892.0,ns,74252
single_random_i32,Pcg64,Canon32-2,,,26590340.0,ns,75229
single_random_i32,Pcg64,Canon32-2,,,12479132.0,ns,76206
single_random_i32,Pcg64,Canon32-2,,,13130540.0,ns,77183
single_random_i32,Pcg64,Canon32-2,,,12449696.0,ns,78160
single_random_i32,Pcg64,Canon32-2,,,27670836.0,ns,79137
single_random_i32,Pcg64,Canon32-2,,,12273596.0,ns,80114
single_random_i32,Pcg64,Canon32-2,,,8292965.0,ns,81091
single_random_i32,Pcg64,Canon32-2,,,12378583.0,ns,82068
single_random_i32,Pcg64,Canon32-2,,,29523045.0,ns,83045
single_random_i32,Pcg64,Canon32-2,,,29911467.0,ns,84022
single_random_i32,Pcg64,Canon32-2,,,28114091.0,ns,84999
single_random_i32,Pcg64,Canon32-2,,,8842841.0,ns,85976
single_random_i32,Pcg64,Canon32-2,,,13385240.0,ns,86953
single_random_i32,Pcg64,Canon32-2,,,23625224.0,ns,87930
single_random_i32,Pcg64,Canon32-2,,,7778114.0,ns,88907
single_random_i32,Pcg64,Canon32-2,,,17050516.0,ns,89884
single_random_i32,Pcg64,Canon32-2,,,32354391.0,ns,90861
single_random_i32,Pcg64,Canon32-2,,,20655639.0,ns,91838
single_random_i32,Pcg64,Canon32-2,,,22989896.0,ns,92815
single_random_i32,Pcg64,Canon32-2,,,13856277.0,ns,93792
single_random_i32,Pcg64,Canon32-2,,,27225577.0,ns,94769
single_random_i32,Pcg64,Canon32-2,,,23643708.0,ns,95746
single_random_i32,Pcg64,Canon32-2,,,13902274.0,ns,96723
single_random_i32,Pcg64,Canon32-2,,,24456299.0,ns,97700
