group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,131658.0,ns,545
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,160372.0,ns,1090
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,374666.0,ns,1635
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,865401.0,ns,2180
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1072510.0,ns,2725
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1246288.0,ns,3270
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1434553.0,ns,3815
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,775622.0,ns,4360
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,729915.0,ns,4905
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,743942.0,ns,5450
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2294273.0,ns,5995
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1133496.0,ns,6540
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2774358.0,ns,7085
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1022427.0,ns,7630
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2033341.0,ns,8175
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2485434.0,ns,8720
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1884842.0,ns,9265
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1235929.0,ns,9810
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3305528.0,ns,10355
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1447177.0,ns,10900
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,1435324.0,ns,11445
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2122590.0,ns,11990
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2301176.0,ns,12535
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3207674.0,ns,13080
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4565201.0,ns,13625
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,5696483.0,ns,14170
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,5958978.0,ns,14715
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6064346.0,ns,15260
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6398686.0,ns,15805
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,5330914.0,ns,16350
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2494460.0,ns,16895
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3853240.0,ns,17440
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7273915.0,ns,17985
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7507295.0,ns,18530
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4819982.0,ns,19075
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3956856.0,ns,19620
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,2974644.0,ns,20165
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,5008607.0,ns,20710
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3206952.0,ns,21255
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,5178027.0,ns,21800
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4512112.0,ns,22345
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,7777704.0,ns,22890
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6240579.0,ns,23435
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,9420460.0,ns,23980
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,3153963.0,ns,24525
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4735994.0,ns,25070
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,6307284.0,ns,25615
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4241713.0,ns,26160
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,5439269.0,ns,26705
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4333645.0,ns,27250
single_random_i64,ChaCha8Rng,Canon-Unbiased,,,4651514.0,ns,27795
