group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,Pcg32,Canon,,,247918.0,ns,1379
single_random_i64,Pcg32,Canon,,,772666.0,ns,2758
single_random_i64,Pcg32,Canon,,,956361.0,ns,4137
single_random_i64,Pcg32,Canon,,,611472.0,ns,5516
single_random_i64,Pcg32,Canon,,,1408744.0,ns,6895
single_random_i64,Pcg32,Canon,,,1274611.0,ns,8274
single_random_i64,Pcg32,Canon,,,2127278.0,ns,9653
single_random_i64,Pcg32,Canon,,,3433159.0,ns,11032
single_random_i64,Pcg32,Canon,,,2379002.0,ns,12411
single_random_i64,Pcg32,Canon,,,3362335.0,ns,13790
single_random_i64,Pcg32,Canon,,,4802799.0,ns,15169
single_random_i64,Pcg32,Canon,,,2487266.0,ns,16548
single_random_i64,Pcg32,Canon,,,4775117.0,ns,17927
single_random_i64,Pcg32,Canon,,,3580065.0,ns,19306
single_random_i64,Pcg32,Canon,,,2521050.0,ns,20685
single_random_i64,Pcg32,Canon,,,2682114.0,ns,22064
single_random_i64,Pcg32,Canon,,,3691756.0,ns,23443
single_random_i64,Pcg32,Canon,,,5745196.0,ns,24822
single_random_i64,Pcg32,Canon,,,7995736.0,ns,26201
single_random_i64,Pcg32,Canon,,,8964622.0,ns,27580
single_random_i64,Pcg32,Canon,,,5779550.0,ns,28959
single_random_i64,Pcg32,Canon,,,3564657.0,ns,30338
single_random_i64,Pcg32,Canon,,,3979920.0,ns,31717
single_random_i64,Pcg32,Canon,,,4640724.0,ns,33096
single_random_i64,Pcg32,Canon,,,5790661.0,ns,34475
single_random_i64,Pcg32,Canon,,,9165820.0,ns,35854
single_random_i64,Pcg32,Canon,,,11115454.0,ns,37233
single_random_i64,Pcg32,Canon,,,5320325.0,ns,38612
single_random_i64,Pcg32,Canon,,,7358104.0,ns,39991
single_random_i64,Pcg32,Canon,,,5557772.0,ns,41370
single_random_i64,Pcg32,Canon,,,6140179.0,ns,42749
single_random_i64,Pcg32,Canon,,,11401634.0,ns,44128
single_random_i64,Pcg32,Canon,,,6397294.0,ns,45507
single_random_i64,Pcg32,Canon,,,13980583.0,ns,46886
single_random_i64,Pcg32,Canon,,,16053729.0,ns,48265
single_random_i64,Pcg32,Canon,,,8031153.0,ns,49644
single_random_i64,Pcg32,Canon,,,12453435.0,ns,51023
single_random_i64,Pcg32,Canon,,,6778071.0,ns,52402
single_random_i64,Pcg32,Canon,,,14748549.0,ns,53781
single_random_i64,Pcg32,Canon,,,10240957.0,ns,55160
single_random_i64,Pcg32,Canon,,,7383382.0,ns,56539
single_random_i64,Pcg32,Canon,,,14566337.0,ns,57918
single_random_i64,Pcg32,Canon,,,9398658.0,ns,59297
single_random_i64,Pcg32,Canon,,,13515987.0,ns,60676
single_random_i64,Pcg32,Canon,,,7438456.0,ns,62055
single_random_i64,Pcg32,Canon,,,20647655.0,ns,63434
single_random_i64,Pcg32,Canon,,,13066751.0,ns,64813
single_random_i64,Pcg32,Canon,,,9845430.0,ns,66192
single_random_i64,Pcg32,Canon,,,11096368.0,ns,67571
single_random_i64,Pcg32,Canon,,,22885120.0,ns,68950
single_random_i64,Pcg32,Canon,,,17060435.0,ns,70329
single_random_i64,Pcg32,Canon,,,10722223.0,ns,71708
single_random_i64,Pcg32,Canon,,,24102444.0,ns,73087
single_random_i64,Pcg32,Canon,,,13328674.0,ns,74466
single_random_i64,Pcg32,Canon,,,13819388.0,ns,75845
single_random_i64,Pcg32,Canon,,,10821239.0,ns,77224
single_random_i64,Pcg32,Canon,,,11038999.0,ns,78603
