group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i64,SmallRng,Canon32,,,85812.0,ns,1300
single_random_i64,SmallRng,Canon32,,,351543.0,ns,2600
single_random_i64,SmallRng,Canon32,,,571447.0,ns,3900
single_random_i64,SmallRng,Canon32,,,856824.0,ns,5200
single_random_i64,SmallRng,Canon32,,,1055619.0,ns,6500
single_random_i64,SmallRng,Canon32,,,600381.0,ns,7800
single_random_i64,SmallRng,Canon32,,,2034464.0,ns,9100
single_random_i64,SmallRng,Canon32,,,2006190.0,ns,10400
single_random_i64,SmallRng,Canon32,,,2737347.0,ns,11700
single_random_i64,SmallRng,Canon32,,,1178190.0,ns,13000
single_random_i64,SmallRng,Canon32,,,1797486.0,ns,14300
single_random_i64,SmallRng,Canon32,,,1864904.0,ns,15600
single_random_i64,SmallRng,Canon32,,,3344322.0,ns,16900
single_random_i64,SmallRng,Canon32,,,4202218.0,ns,18200
single_random_i64,SmallRng,Canon32,,,4209622.0,ns,19500
single_random_i64,SmallRng,Canon32,,,1998045.0,ns,20800
single_random_i64,SmallRng,Canon32,,,1673864.0,ns,22100
single_random_i64,SmallRng,Canon32,,,3519281.0,ns,23400
single_random_i64,SmallRng,Canon32,,,1708009.0,ns,24700
single_random_i64,SmallRng,Canon32,,,2394111.0,ns,26000
single_random_i64,SmallRng,Canon32,,,6446135.0,ns,27300
single_random_i64,SmallRng,Canon32,,,6475371.0,ns,28600
single_random_i64,SmallRng,Canon32,,,2550355.0,ns,29900
single_random_i64,SmallRng,Canon32,,,6164194.0,ns,31200
single_random_i64,SmallRng,Canon32,,,7121228.0,ns,32500
single_random_i64,SmallRng,Canon32,,,5437175.0,ns,33800
single_random_i64,SmallRng,Canon32,,,2791000.0,ns,35100
single_random_i64,SmallRng,Canon32,,,4287989.0,ns,36400
single_random_i64,SmallRng,Canon32,,,3431646.0,ns,37700
single_random_i64,SmallRng,Canon32,,,9189605.0,ns,39000
single_random_i64,SmallRng,Canon32,,,3510214.0,ns,40300
single_random_i64,SmallRng,Canon32,,,4376196.0,ns,41600
single_random_i64,SmallRng,Canon32,,,3238532.0,ns,42900
single_random_i64,SmallRng,Canon32,,,9401033.0,ns,44200
single_random_i64,SmallRng,Canon32,,,3055908.0,ns,45500
single_random_i64,SmallRng,Canon32,,,4749309.0,ns,46800
single_random_i64,SmallRng,Canon32,,,6008861.0,ns,48100
single_random_i64,SmallRng,Canon32,,,10131079.0,ns,49400
single_random_i64,SmallRng,Canon32,,,8629140.0,ns,50700
single_random_i64,SmallRng,Canon32,,,6341559.0,ns,52000
single_random_i64,SmallRng,Canon32,,,4331271.0,ns,53300
