group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,ChaCha8Rng,Canon-reduced,,,197503.0,ns,2069
single_random_i8,ChaCha8Rng,Canon-reduced,,,393392.0,ns,4138
single_random_i8,ChaCha8Rng,Canon-reduced,,,594871.0,ns,6207
single_random_i8,ChaCha8Rng,Canon-reduced,,,790158.0,ns,8276
single_random_i8,ChaCha8Rng,Canon-reduced,,,983393.0,ns,10345
single_random_i8,ChaCha8Rng,Canon-reduced,,,1189621.0,ns,12414
single_random_i8,ChaCha8Rng,Canon-reduced,,,1377907.0,ns,14483
single_random_i8,ChaCha8Rng,Canon-reduced,,,1578094.0,ns,16552
single_random_i8,ChaCha8Rng,Canon-reduced,,,1779704.0,ns,18621
single_random_i8,ChaCha8Rng,Canon-reduced,,,1964892.0,ns,20690
single_random_i8,ChaCha8Rng,Canon-reduced,,,2170450.0,ns,22759
single_random_i8,ChaCha8Rng,Canon-reduced,,,2378412.0,ns,24828
single_random_i8,ChaCha8Rng,Canon-reduced,,,2586213.0,ns,26897
single_random_i8,ChaCha8Rng,Canon-reduced,,,2771743.0,ns,28966
single_random_i8,ChaCha8Rng,Canon-reduced,,,2970687.0,ns,31035
single_random_i8,ChaCha8Rng,Canon-reduced,,,3162499.0,ns,33104
single_random_i8,ChaCha8Rng,Canon-reduced,,,3378405.0,ns,35173
single_random_i8,ChaCha8Rng,Canon-reduced,,,3548736.0,ns,37242
single_random_i8,ChaCha8Rng,Canon-reduced,,,3764162.0,ns,39311
single_random_i8,ChaCha8Rng,Canon-reduced,,,3945513.0,ns,41380
single_random_i8,ChaCha8Rng,Canon-reduced,,,4126355.0,ns,43449
single_random_i8,ChaCha8Rng,Canon-reduced,,,4398597.0,ns,45518
single_random_i8,ChaCha8Rng,Canon-reduced,,,4515227.0,ns,47587
single_random_i8,ChaCha8Rng,Canon-reduced,,,4746052.0,ns,49656
single_random_i8,ChaCha8Rng,Canon-reduced,,,4924488.0,ns,51725
single_random_i8,ChaCha8Rng,Canon-reduced,,,5171193.0,ns,53794
single_random_i8,ChaCha8Rng,Canon-reduced,,,5449818.0,ns,55863
single_random_i8,ChaCha8Rng,Canon-reduced,,,5545789.0,ns,57932
single_random_i8,ChaCha8Rng,Canon-reduced,,,5749793.0,ns,60001
single_random_i8,ChaCha8Rng,Canon-reduced,,,5989756.0,ns,62070
single_random_i8,ChaCha8Rng,Canon-reduced,,,6135431.0,ns,64139
single_random_i8,ChaCha8Rng,Canon-reduced,,,6313075.0,ns,66208
single_random_i8,ChaCha8Rng,Canon-reduced,,,6507681.0,ns,68277
single_random_i8,ChaCha8Rng,Canon-reduced,,,6716274.0,ns,70346
single_random_i8,ChaCha8Rng,Canon-reduced,,,6883830.0,ns,72415
