group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,Pcg64,Canon-reduced,,,223511.0,ns,2608
single_random_i8,Pcg64,Canon-reduced,,,444517.0,ns,5216
single_random_i8,Pcg64,Canon-reduced,,,579191.0,ns,7824
single_random_i8,Pcg64,Canon-reduced,,,771554.0,ns,10432
single_random_i8,Pcg64,Canon-reduced,,,967854.0,ns,13040
single_random_i8,Pcg64,Canon-reduced,,,1158733.0,ns,15648
single_random_i8,Pcg64,Canon-reduced,,,1349783.0,ns,18256
single_random_i8,Pcg64,Canon-reduced,,,1543127.0,ns,20864
single_random_i8,Pcg64,Canon-reduced,,,1738235.0,ns,23472
single_random_i8,Pcg64,Canon-reduced,,,1937360.0,ns,26080
single_random_i8,Pcg64,Canon-reduced,,,2126006.0,ns,28688
single_random_i8,Pcg64,Canon-reduced,,,2323708.0,ns,31296
single_random_i8,Pcg64,Canon-reduced,,,2509348.0,ns,33904
single_random_i8,Pcg64,Canon-reduced,,,2709185.0,ns,36512
single_random_i8,Pcg64,Canon-reduced,,,2898591.0,ns,39120
single_random_i8,Pcg64,Canon-reduced,,,3089250.0,ns,41728
single_random_i8,Pcg64,Canon-reduced,,,3289228.0,ns,44336
single_random_i8,Pcg64,Canon-reduced,,,3477252.0,ns,46944
single_random_i8,Pcg64,Canon-reduced,,,3675495.0,ns,49552
single_random_i8,Pcg64,Canon-reduced,,,3991781.0,ns,52160
single_random_i8,Pcg64,Canon-reduced,,,4052285.0,ns,54768
single_random_i8,Pcg64,Canon-reduced,,,4300403.0,ns,57376
single_random_i8,Pcg64,Canon-reduced,,,4439716.0,ns,59984
single_random_i8,Pcg64,Canon-reduced,,,4647737.0,ns,62592
single_random_i8,Pcg64,Canon-reduced,,,5026250.0,ns,65200
single_random_i8,Pcg64,Canon-reduced,,,5023075.0,ns,67808
single_random_i8,Pcg64,Canon-reduced,,,5482099.0,ns,70416
single_random_i8,Pcg64,Canon-reduced,,,5401898.0,ns,73024
single_random_i8,Pcg64,Canon-reduced,,,5591957.0,ns,75632
single_random_i8,Pcg64,Canon-reduced,,,5787645.0,ns,78240
single_random_i8,Pcg64,Canon-reduced,,,6243464.0,ns,80848
single_random_i8,Pcg64,Canon-reduced,,,6169845.0,ns,83456
single_random_i8,Pcg64,Canon-reduced,,,6451355.0,ns,86064
single_random_i8,Pcg64,Canon-reduced,,,6556003.0,ns,88672
single_random_i8,Pcg64,Canon-reduced,,,6881226.0,ns,91280
single_random_i8,Pcg64,Canon-reduced,,,7075381.0,ns,93888
single_random_i8,Pcg64,Canon-reduced,,,7124253.0,ns,96496
single_random_i8,Pcg64,Canon-reduced,,,7326824.0,ns,99104
single_random_i8,Pcg64,Canon-reduced,,,7520119.0,ns,101712
single_random_i8,Pcg64,Canon-reduced,,,7712702.0,ns,104320
single_random_i8,Pcg64,Canon-reduced,,,8033746.0,ns,106928
single_random_i8,Pcg64,Canon-reduced,,,8093389.0,ns,109536
single_random_i8,Pcg64,Canon-reduced,,,8416778.0,ns,112144
single_random_i8,Pcg64,Canon-reduced,,,8552514.0,ns,114752
single_random_i8,Pcg64,Canon-reduced,,,9056914.0,ns,117360
single_random_i8,Pcg64,Canon-reduced,,,8977685.0,ns,119968
single_random_i8,Pcg64,Canon-reduced,,,9186950.0,ns,122576
single_random_i8,Pcg64,Canon-reduced,,,9251140.0,ns,125184
single_random_i8,Pcg64,Canon-reduced,,,9432642.0,ns,127792
single_random_i8,Pcg64,Canon-reduced,,,9641897.0,ns,130400
single_random_i8,Pcg64,Canon-reduced,,,10074161.0,ns,133008
single_random_i8,Pcg64,Canon-reduced,,,10002927.0,ns,135616
single_random_i8,Pcg64,Canon-reduced,,,10328351.0,ns,138224
single_random_i8,Pcg64,Canon-reduced,,,10393994.0,ns,140832
single_random_i8,Pcg64,Canon-reduced,,,10584613.0,ns,143440
single_random_i8,Pcg64,Canon-reduced,,,10786543.0,ns,146048
single_random_i8,Pcg64,Canon-reduced,,,11224799.0,ns,148656
single_random_i8,Pcg64,Canon-reduced,,,11292377.0,ns,151264
