group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,SmallRng,ONeill,,,197131.0,ns,2536
single_random_i8,SmallRng,ONeill,,,397609.0,ns,5072
single_random_i8,SmallRng,ONeill,,,594400.0,ns,7608
single_random_i8,SmallRng,ONeill,,,789628.0,ns,10144
single_random_i8,SmallRng,ONeill,,,990557.0,ns,12680
single_random_i8,SmallRng,ONeill,,,1185253.0,ns,15216
single_random_i8,SmallRng,ONeill,,,1383437.0,ns,17752
single_random_i8,SmallRng,ONeill,,,1581380.0,ns,20288
single_random_i8,SmallRng,ONeill,,,1781206.0,ns,22824
single_random_i8,SmallRng,ONeill,,,1983407.0,ns,25360
single_random_i8,SmallRng,ONeill,,,2183124.0,ns,27896
single_random_i8,SmallRng,ONeill,,,2375706.0,ns,30432
single_random_i8,SmallRng,ONeill,,,2564662.0,ns,32968
single_random_i8,SmallRng,ONeill,,,2771432.0,ns,35504
single_random_i8,SmallRng,ONeill,,,2963434.0,ns,38040
single_random_i8,SmallRng,ONeill,,,3161487.0,ns,40576
single_random_i8,SmallRng,ONeill,,,3363707.0,ns,43112
single_random_i8,SmallRng,ONeill,,,3555910.0,ns,45648
single_random_i8,SmallRng,ONeill,,,3759283.0,ns,48184
single_random_i8,SmallRng,ONeill,,,3956414.0,ns,50720
single_random_i8,SmallRng,ONeill,,,4142926.0,ns,53256
single_random_i8,SmallRng,ONeill,,,4351409.0,ns,55792
single_random_i8,SmallRng,ONeill,,,4550273.0,ns,58328
single_random_i8,SmallRng,ONeill,,,4744340.0,ns,60864
single_random_i8,SmallRng,ONeill,,,4938395.0,ns,63400
single_random_i8,SmallRng,ONeill,,,5140025.0,ns,65936
single_random_i8,SmallRng,ONeill,,,5339030.0,ns,68472
single_random_i8,SmallRng,ONeill,,,5533336.0,ns,71008
single_random_i8,SmallRng,ONeill,,,5732441.0,ns,73544
single_random_i8,SmallRng,ONeill,,,5924442.0,ns,76080
single_random_i8,SmallRng,ONeill,,,6116234.0,ns,78616
single_random_i8,SmallRng,ONeill,,,6350496.0,ns,81152
single_random_i8,SmallRng,ONeill,,,6517029.0,ns,83688
single_random_i8,SmallRng,ONeill,,,6727676.0,ns,86224
single_random_i8,SmallRng,ONeill,,,6896153.0,ns,88760
single_random_i8,SmallRng,ONeill,,,7103614.0,ns,91296
single_random_i8,SmallRng,ONeill,,,7293883.0,ns,93832
single_random_i8,SmallRng,ONeill,,,7491926.0,ns,96368
single_random_i8,SmallRng,ONeill,,,7699116.0,ns,98904
single_random_i8,SmallRng,ONeill,,,7884425.0,ns,101440
