group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i8,SmallRng,Old,,,198254.0,ns,2542
single_random_i8,SmallRng,Old,,,402328.0,ns,5084
single_random_i8,SmallRng,Old,,,591564.0,ns,7626
single_random_i8,SmallRng,Old,,,793475.0,ns,10168
single_random_i8,SmallRng,Old,,,989595.0,ns,12710
single_random_i8,SmallRng,Old,,,1189261.0,ns,15252
single_random_i8,SmallRng,Old,,,1387664.0,ns,17794
single_random_i8,SmallRng,Old,,,1579185.0,ns,20336
single_random_i8,SmallRng,Old,,,1788870.0,ns,22878
single_random_i8,SmallRng,Old,,,2042999.0,ns,25420
single_random_i8,SmallRng,Old,,,2251382.0,ns,27962
single_random_i8,SmallRng,Old,,,2379964.0,ns,30504
single_random_i8,SmallRng,Old,,,2594309.0,ns,33046
single_random_i8,SmallRng,Old,,,2776842.0,ns,35588
single_random_i8,SmallRng,Old,,,2970907.0,ns,38130
single_random_i8,SmallRng,Old,,,3160124.0,ns,40672
single_random_i8,SmallRng,Old,,,3387672.0,ns,43214
single_random_i8,SmallRng,Old,,,3700041.0,ns,45756
single_random_i8,SmallRng,Old,,,3751499.0,ns,48298
single_random_i8,SmallRng,Old,,,3959421.0,ns,50840
single_random_i8,SmallRng,Old,,,4157774.0,ns,53382
single_random_i8,SmallRng,Old,,,4372288.0,ns,55924
single_random_i8,SmallRng,Old,,,4551165.0,ns,58466
single_random_i8,SmallRng,Old,,,4743026.0,ns,61008
single_random_i8,SmallRng,Old,,,4963281.0,ns,63550
single_random_i8,SmallRng,Old,,,5173638.0,ns,66092
single_random_i8,SmallRng,Old,,,5334742.0,ns,68634
single_random_i8,SmallRng,Old,,,5536893.0,ns,71176
single_random_i8,SmallRng,Old,,,5765623.0,ns,73718
single_random_i8,SmallRng,Old,,,5942176.0,ns,76260
single_random_i8,SmallRng,Old,,,6149457.0,ns,78802
single_random_i8,SmallRng,Old,,,6341849.0,ns,81344
single_random_i8,SmallRng,Old,,,6524874.0,ns,83886
single_random_i8,SmallRng,Old,,,6763043.0,ns,86428
single_random_i8,SmallRng,Old,,,6944153.0,ns,88970
single_random_i8,SmallRng,Old,,,7124964.0,ns,91512
single_random_i8,SmallRng,Old,,,7390625.0,ns,94054
single_random_i8,SmallRng,Old,,,7533043.0,ns,96596
single_random_i8,SmallRng,Old,,,7750513.0,ns,99138
single_random_i8,SmallRng,Old,,,7936374.0,ns,101680
single_random_i8,SmallRng,Old,,,8120400.0,ns,104222
single_random_i8,SmallRng,Old,,,8327480.0,ns,106764
single_random_i8,SmallRng,Old,,,8553346.0,ns,109306
single_random_i8,SmallRng,Old,,,8705372.0,ns,111848
single_random_i8,SmallRng,Old,,,8950454.0,ns,114390
single_random_i8,SmallRng,Old,,,9135032.0,ns,116932
single_random_i8,SmallRng,Old,,,9460936.0,ns,119474
single_random_i8,SmallRng,Old,,,9531960.0,ns,122016
single_random_i8,SmallRng,Old,,,9731906.0,ns,124558
single_random_i8,SmallRng,Old,,,9932825.0,ns,127100
single_random_i8,SmallRng,Old,,,10087897.0,ns,129642
single_random_i8,SmallRng,Old,,,10295739.0,ns,132184
single_random_i8,SmallRng,Old,,,10535240.0,ns,134726
single_random_i8,SmallRng,Old,,,10688118.0,ns,137268
single_random_i8,SmallRng,Old,,,10946404.0,ns,139810
single_random_i8,SmallRng,Old,,,11127376.0,ns,142352
single_random_i8,SmallRng,Old,,,11330949.0,ns,144894
single_random_i8,SmallRng,Old,,,11491862.0,ns,147436
single_random_i8,SmallRng,Old,,,11728067.0,ns,149978
single_random_i8,SmallRng,Old,,,11882739.0,ns,152520
single_random_i8,SmallRng,Old,,,12125356.0,ns,155062
single_random_i8,SmallRng,Old,,,12329580.0,ns,157604
single_random_i8,SmallRng,Old,,,12524608.0,ns,160146
single_random_i8,SmallRng,Old,,,12713704.0,ns,162688
single_random_i8,SmallRng,Old,,,12870169.0,ns,165230
single_random_i8,SmallRng,Old,,,13120310.0,ns,167772
single_random_i8,SmallRng,Old,,,13291213.0,ns,170314
single_random_i8,SmallRng,Old,,,13510897.0,ns,172856
single_random_i8,SmallRng,Old,,,13717486.0,ns,175398
single_random_i8,SmallRng,Old,,,13916079.0,ns,177940
single_random_i8,SmallRng,Old,,,14112780.0,ns,180482
single_random_i8,SmallRng,Old,,,14305604.0,ns,183024
single_random_i8,SmallRng,Old,,,14520649.0,ns,185566
single_random_i8,SmallRng,Old,,,14660122.0,ns,188108
single_random_i8,SmallRng,Old,,,14854848.0,ns,190650
single_random_i8,SmallRng,Old,,,15051209.0,ns,193192
single_random_i8,SmallRng,Old,,,15316279.0,ns,195734
single_random_i8,SmallRng,Old,,,15451693.0,ns,198276
