group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,233008.0,ns,579
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,263596.0,ns,1158
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,1041441.0,ns,1737
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,681844.0,ns,2316
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,878324.0,ns,2895
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,2393318.0,ns,3474
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,1086156.0,ns,4053
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,3329100.0,ns,4632
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,3325522.0,ns,5211
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,3754040.0,ns,5790
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,1595094.0,ns,6369
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,1925185.0,ns,6948
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,4160315.0,ns,7527
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,2889933.0,ns,8106
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,4813075.0,ns,8685
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,2455023.0,ns,9264
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,5624572.0,ns,9843
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,7577821.0,ns,10422
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,4605594.0,ns,11001
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,4294437.0,ns,11580
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,3059912.0,ns,12159
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,8679214.0,ns,12738
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,3753038.0,ns,13317
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,8373179.0,ns,13896
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,4618808.0,ns,14475
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,7676215.0,ns,15054
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,11151741.0,ns,15633
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,7002147.0,ns,16212
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,4524902.0,ns,16791
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,10332578.0,ns,17370
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,4485006.0,ns,17949
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,4556832.0,ns,18528
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,5753996.0,ns,19107
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,7943469.0,ns,19686
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,11721323.0,ns,20265
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,7002968.0,ns,20844
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,8347861.0,ns,21423
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,16395667.0,ns,22002
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,7272426.0,ns,22581
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,9269626.0,ns,23160
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,12249248.0,ns,23739
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,5465002.0,ns,24318
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,8136293.0,ns,24897
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,11943943.0,ns,25476
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,8462948.0,ns,26055
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,10119077.0,ns,26634
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,11984219.0,ns,27213
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,10587178.0,ns,27792
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,7308112.0,ns,28371
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,9608124.0,ns,28950
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,10617214.0,ns,29529
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,13815648.0,ns,30108
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,19716039.0,ns,30687
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,12120866.0,ns,31266
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,20486410.0,ns,31845
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,21892388.0,ns,32424
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,9380896.0,ns,33003
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,7962174.0,ns,33582
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,17489667.0,ns,34161
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,16964648.0,ns,34740
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,23120050.0,ns,35319
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,18179837.0,ns,35898
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,16214696.0,ns,36477
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,23845466.0,ns,37056
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,24899882.0,ns,37635
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,9911345.0,ns,38214
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,10874028.0,ns,38793
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,15134502.0,ns,39372
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,10468364.0,ns,39951
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,17919367.0,ns,40530
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,10024689.0,ns,41109
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,26147031.0,ns,41688
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,26459980.0,ns,42267
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,19123684.0,ns,42846
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,10121601.0,ns,43425
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,13573031.0,ns,44004
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,30734029.0,ns,44583
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,17600135.0,ns,45162
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,13224094.0,ns,45741
distr_random_i128,ChaCha8Rng,Canon-Red-Un,,,10386720.0,ns,46320
