group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,ChaCha8Rng,Canon-Un,,,106581.0,ns,355
distr_random_i128,ChaCha8Rng,Canon-Un,,,389994.0,ns,710
distr_random_i128,ChaCha8Rng,Canon-Un,,,512625.0,ns,1065
distr_random_i128,ChaCha8Rng,Canon-Un,,,327116.0,ns,1420
distr_random_i128,ChaCha8Rng,Canon-Un,,,1087067.0,ns,1775
distr_random_i128,ChaCha8Rng,Canon-Un,,,1236409.0,ns,2130
distr_random_i128,ChaCha8Rng,Canon-Un,,,674991.0,ns,2485
distr_random_i128,ChaCha8Rng,Canon-Un,,,1752671.0,ns,2840
distr_random_i128,ChaCha8Rng,Canon-Un,,,1869701.0,ns,3195
distr_random_i128,ChaCha8Rng,Canon-Un,,,1769321.0,ns,3550
distr_random_i128,ChaCha8Rng,Canon-Un,,,2443923.0,ns,3905
distr_random_i128,ChaCha8Rng,Canon-Un,,,1115140.0,ns,4260
distr_random_i128,ChaCha8Rng,Canon-Un,,,1371593.0,ns,4615
distr_random_i128,ChaCha8Rng,Canon-Un,,,1940203.0,ns,4970
distr_random_i128,ChaCha8Rng,Canon-Un,,,2795895.0,ns,5325
distr_random_i128,ChaCha8Rng,Canon-Un,,,1487451.0,ns,5680
distr_random_i128,ChaCha8Rng,Canon-Un,,,3468391.0,ns,6035
distr_random_i128,ChaCha8Rng,Canon-Un,,,1664264.0,ns,6390
distr_random_i128,ChaCha8Rng,Canon-Un,,,1590025.0,ns,6745
distr_random_i128,ChaCha8Rng,Canon-Un,,,1811792.0,ns,7100
distr_random_i128,ChaCha8Rng,Canon-Un,,,4536453.0,ns,7455
distr_random_i128,ChaCha8Rng,Canon-Un,,,1946666.0,ns,7810
distr_random_i128,ChaCha8Rng,Canon-Un,,,2621898.0,ns,8165
distr_random_i128,ChaCha8Rng,Canon-Un,,,2310692.0,ns,8520
distr_random_i128,ChaCha8Rng,Canon-Un,,,2376396.0,ns,8875
distr_random_i128,ChaCha8Rng,Canon-Un,,,3417617.0,ns,9230
distr_random_i128,ChaCha8Rng,Canon-Un,,,3291379.0,ns,9585
distr_random_i128,ChaCha8Rng,Canon-Un,,,5994349.0,ns,9940
distr_random_i128,ChaCha8Rng,Canon-Un,,,6320452.0,ns,10295
distr_random_i128,ChaCha8Rng,Canon-Un,,,5667052.0,ns,10650
distr_random_i128,ChaCha8Rng,Canon-Un,,,6717991.0,ns,11005
distr_random_i128,ChaCha8Rng,Canon-Un,,,3226576.0,ns,11360
distr_random_i128,ChaCha8Rng,Canon-Un,,,7049616.0,ns,11715
distr_random_i128,ChaCha8Rng,Canon-Un,,,6577427.0,ns,12070
distr_random_i128,ChaCha8Rng,Canon-Un,,,3737879.0,ns,12425
distr_random_i128,ChaCha8Rng,Canon-Un,,,7973055.0,ns,12780
distr_random_i128,ChaCha8Rng,Canon-Un,,,4268498.0,ns,13135
distr_random_i128,ChaCha8Rng,Canon-Un,,,7935074.0,ns,13490
distr_random_i128,ChaCha8Rng,Canon-Un,,,6123292.0,ns,13845
distr_random_i128,ChaCha8Rng,Canon-Un,,,4015853.0,ns,14200
distr_random_i128,ChaCha8Rng,Canon-Un,,,4604040.0,ns,14555
distr_random_i128,ChaCha8Rng,Canon-Un,,,4997220.0,ns,14910
distr_random_i128,ChaCha8Rng,Canon-Un,,,7788337.0,ns,15265
distr_random_i128,ChaCha8Rng,Canon-Un,,,4651429.0,ns,15620
distr_random_i128,ChaCha8Rng,Canon-Un,,,5045091.0,ns,15975
distr_random_i128,ChaCha8Rng,Canon-Un,,,7080364.0,ns,16330
distr_random_i128,ChaCha8Rng,Canon-Un,,,10231308.0,ns,16685
distr_random_i128,ChaCha8Rng,Canon-Un,,,5498485.0,ns,17040
distr_random_i128,ChaCha8Rng,Canon-Un,,,5883831.0,ns,17395
distr_random_i128,ChaCha8Rng,Canon-Un,,,8718609.0,ns,17750
distr_random_i128,ChaCha8Rng,Canon-Un,,,10694540.0,ns,18105
distr_random_i128,ChaCha8Rng,Canon-Un,,,4930796.0,ns,18460
distr_random_i128,ChaCha8Rng,Canon-Un,,,6268906.0,ns,18815
distr_random_i128,ChaCha8Rng,Canon-Un,,,7420815.0,ns,19170
distr_random_i128,ChaCha8Rng,Canon-Un,,,10932539.0,ns,19525
distr_random_i128,ChaCha8Rng,Canon-Un,,,6941413.0,ns,19880
distr_random_i128,ChaCha8Rng,Canon-Un,,,9478900.0,ns,20235
distr_random_i128,ChaCha8Rng,Canon-Un,,,8054488.0,ns,20590
distr_random_i128,ChaCha8Rng,Canon-Un,,,6537351.0,ns,20945
distr_random_i128,ChaCha8Rng,Canon-Un,,,13149473.0,ns,21300
distr_random_i128,ChaCha8Rng,Canon-Un,,,5495590.0,ns,21655
distr_random_i128,ChaCha8Rng,Canon-Un,,,7838863.0,ns,22010
distr_random_i128,ChaCha8Rng,Canon-Un,,,7570838.0,ns,22365
distr_random_i128,ChaCha8Rng,Canon-Un,,,5619312.0,ns,22720
distr_random_i128,ChaCha8Rng,Canon-Un,,,10315335.0,ns,23075
distr_random_i128,ChaCha8Rng,Canon-Un,,,11453540.0,ns,23430
distr_random_i128,ChaCha8Rng,Canon-Un,,,7724056.0,ns,23785
distr_random_i128,ChaCha8Rng,Canon-Un,,,8213338.0,ns,24140
distr_random_i128,ChaCha8Rng,Canon-Un,,,12698093.0,ns,24495
distr_random_i128,ChaCha8Rng,Canon-Un,,,11485089.0,ns,24850
distr_random_i128,ChaCha8Rng,Canon-Un,,,6524567.0,ns,25205
distr_random_i128,ChaCha8Rng,Canon-Un,,,6516392.0,ns,25560
distr_random_i128,ChaCha8Rng,Canon-Un,,,12377991.0,ns,25915
distr_random_i128,ChaCha8Rng,Canon-Un,,,9694387.0,ns,26270
distr_random_i128,ChaCha8Rng,Canon-Un,,,6283353.0,ns,26625
distr_random_i128,ChaCha8Rng,Canon-Un,,,11429725.0,ns,26980
distr_random_i128,ChaCha8Rng,Canon-Un,,,10355151.0,ns,27335
distr_random_i128,ChaCha8Rng,Canon-Un,,,16571167.0,ns,27690
distr_random_i128,ChaCha8Rng,Canon-Un,,,6846904.0,ns,28045
distr_random_i128,ChaCha8Rng,Canon-Un,,,10178097.0,ns,28400
distr_random_i128,ChaCha8Rng,Canon-Un,,,10393473.0,ns,28755
distr_random_i128,ChaCha8Rng,Canon-Un,,,7335223.0,ns,29110
distr_random_i128,ChaCha8Rng,Canon-Un,,,10948959.0,ns,29465
distr_random_i128,ChaCha8Rng,Canon-Un,,,8027437.0,ns,29820
distr_random_i128,ChaCha8Rng,Canon-Un,,,14927392.0,ns,30175
distr_random_i128,ChaCha8Rng,Canon-Un,,,10450471.0,ns,30530
distr_random_i128,ChaCha8Rng,Canon-Un,,,7597688.0,ns,30885
distr_random_i128,ChaCha8Rng,Canon-Un,,,19110199.0,ns,31240
distr_random_i128,ChaCha8Rng,Canon-Un,,,19291910.0,ns,31595
distr_random_i128,ChaCha8Rng,Canon-Un,,,8322212.0,ns,31950
distr_random_i128,ChaCha8Rng,Canon-Un,,,9575343.0,ns,32305
distr_random_i128,ChaCha8Rng,Canon-Un,,,18040555.0,ns,32660
distr_random_i128,ChaCha8Rng,Canon-Un,,,10814226.0,ns,33015
distr_random_i128,ChaCha8Rng,Canon-Un,,,9003415.0,ns,33370
distr_random_i128,ChaCha8Rng,Canon-Un,,,11664987.0,ns,33725
distr_random_i128,ChaCha8Rng,Canon-Un,,,11470882.0,ns,34080
distr_random_i128,ChaCha8Rng,Canon-Un,,,12079118.0,ns,34435
distr_random_i128,ChaCha8Rng,Canon-Un,,,8049569.0,ns,34790
distr_random_i128,ChaCha8Rng,Canon-Un,,,21721677.0,ns,35145
distr_random_i128,ChaCha8Rng,Canon-Un,,,8759155.0,ns,35500
