group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,Pcg32,Canon-Unbiased,,,266311.0,ns,433
distr_random_i128,Pcg32,Canon-Unbiased,,,359597.0,ns,866
distr_random_i128,Pcg32,Canon-Unbiased,,,569453.0,ns,1299
distr_random_i128,Pcg32,Canon-Unbiased,,,875790.0,ns,1732
distr_random_i128,Pcg32,Canon-Unbiased,,,700340.0,ns,2165
distr_random_i128,Pcg32,Canon-Unbiased,,,759781.0,ns,2598
distr_random_i128,Pcg32,Canon-Unbiased,,,748760.0,ns,3031
distr_random_i128,Pcg32,Canon-Unbiased,,,1350014.0,ns,3464
distr_random_i128,Pcg32,Canon-Unbiased,,,1302444.0,ns,3897
distr_random_i128,Pcg32,Canon-Unbiased,,,1380121.0,ns,4330
distr_random_i128,Pcg32,Canon-Unbiased,,,1546374.0,ns,4763
distr_random_i128,Pcg32,Canon-Unbiased,,,1307243.0,ns,5196
distr_random_i128,Pcg32,Canon-Unbiased,,,3412670.0,ns,5629
distr_random_i128,Pcg32,Canon-Unbiased,,,2688947.0,ns,6062
distr_random_i128,Pcg32,Canon-Unbiased,,,2566747.0,ns,6495
distr_random_i128,Pcg32,Canon-Unbiased,,,2883664.0,ns,6928
distr_random_i128,Pcg32,Canon-Unbiased,,,1819869.0,ns,7361
distr_random_i128,Pcg32,Canon-Unbiased,,,2210145.0,ns,7794
distr_random_i128,Pcg32,Canon-Unbiased,,,3103988.0,ns,8227
distr_random_i128,Pcg32,Canon-Unbiased,,,2439707.0,ns,8660
distr_random_i128,Pcg32,Canon-Unbiased,,,2260880.0,ns,9093
distr_random_i128,Pcg32,Canon-Unbiased,,,5564765.0,ns,9526
distr_random_i128,Pcg32,Canon-Unbiased,,,3508270.0,ns,9959
distr_random_i128,Pcg32,Canon-Unbiased,,,2956871.0,ns,10392
distr_random_i128,Pcg32,Canon-Unbiased,,,6528592.0,ns,10825
distr_random_i128,Pcg32,Canon-Unbiased,,,4332754.0,ns,11258
distr_random_i128,Pcg32,Canon-Unbiased,,,3425234.0,ns,11691
distr_random_i128,Pcg32,Canon-Unbiased,,,4665751.0,ns,12124
distr_random_i128,Pcg32,Canon-Unbiased,,,6477345.0,ns,12557
distr_random_i128,Pcg32,Canon-Unbiased,,,5948408.0,ns,12990
distr_random_i128,Pcg32,Canon-Unbiased,,,8092848.0,ns,13423
distr_random_i128,Pcg32,Canon-Unbiased,,,8338060.0,ns,13856
distr_random_i128,Pcg32,Canon-Unbiased,,,6715263.0,ns,14289
distr_random_i128,Pcg32,Canon-Unbiased,,,3944332.0,ns,14722
distr_random_i128,Pcg32,Canon-Unbiased,,,4585430.0,ns,15155
distr_random_i128,Pcg32,Canon-Unbiased,,,6419716.0,ns,15588
distr_random_i128,Pcg32,Canon-Unbiased,,,6740661.0,ns,16021
distr_random_i128,Pcg32,Canon-Unbiased,,,5687907.0,ns,16454
distr_random_i128,Pcg32,Canon-Unbiased,,,8416749.0,ns,16887
distr_random_i128,Pcg32,Canon-Unbiased,,,10344782.0,ns,17320
distr_random_i128,Pcg32,Canon-Unbiased,,,9778785.0,ns,17753
distr_random_i128,Pcg32,Canon-Unbiased,,,5059262.0,ns,18186
distr_random_i128,Pcg32,Canon-Unbiased,,,5845684.0,ns,18619
distr_random_i128,Pcg32,Canon-Unbiased,,,9615658.0,ns,19052
distr_random_i128,Pcg32,Canon-Unbiased,,,11623420.0,ns,19485
distr_random_i128,Pcg32,Canon-Unbiased,,,11098953.0,ns,19918
distr_random_i128,Pcg32,Canon-Unbiased,,,8433841.0,ns,20351
distr_random_i128,Pcg32,Canon-Unbiased,,,9074127.0,ns,20784
distr_random_i128,Pcg32,Canon-Unbiased,,,9773766.0,ns,21217
distr_random_i128,Pcg32,Canon-Unbiased,,,6408345.0,ns,21650
distr_random_i128,Pcg32,Canon-Unbiased,,,13493063.0,ns,22083
distr_random_i128,Pcg32,Canon-Unbiased,,,13502201.0,ns,22516
distr_random_i128,Pcg32,Canon-Unbiased,,,5610722.0,ns,22949
distr_random_i128,Pcg32,Canon-Unbiased,,,5786593.0,ns,23382
distr_random_i128,Pcg32,Canon-Unbiased,,,11389611.0,ns,23815
distr_random_i128,Pcg32,Canon-Unbiased,,,7814885.0,ns,24248
distr_random_i128,Pcg32,Canon-Unbiased,,,11384310.0,ns,24681
distr_random_i128,Pcg32,Canon-Unbiased,,,13882968.0,ns,25114
distr_random_i128,Pcg32,Canon-Unbiased,,,6527769.0,ns,25547
distr_random_i128,Pcg32,Canon-Unbiased,,,6882057.0,ns,25980
distr_random_i128,Pcg32,Canon-Unbiased,,,6534963.0,ns,26413
distr_random_i128,Pcg32,Canon-Unbiased,,,6828616.0,ns,26846
distr_random_i128,Pcg32,Canon-Unbiased,,,15427709.0,ns,27279
distr_random_i128,Pcg32,Canon-Unbiased,,,12594461.0,ns,27712
distr_random_i128,Pcg32,Canon-Unbiased,,,7342474.0,ns,28145
distr_random_i128,Pcg32,Canon-Unbiased,,,7135435.0,ns,28578
distr_random_i128,Pcg32,Canon-Unbiased,,,7613786.0,ns,29011
distr_random_i128,Pcg32,Canon-Unbiased,,,7623113.0,ns,29444
distr_random_i128,Pcg32,Canon-Unbiased,,,7674631.0,ns,29877
distr_random_i128,Pcg32,Canon-Unbiased,,,17749674.0,ns,30310
distr_random_i128,Pcg32,Canon-Unbiased,,,7480145.0,ns,30743
distr_random_i128,Pcg32,Canon-Unbiased,,,12473473.0,ns,31176
distr_random_i128,Pcg32,Canon-Unbiased,,,11053556.0,ns,31609
distr_random_i128,Pcg32,Canon-Unbiased,,,15146109.0,ns,32042
distr_random_i128,Pcg32,Canon-Unbiased,,,10822272.0,ns,32475
distr_random_i128,Pcg32,Canon-Unbiased,,,12105339.0,ns,32908
distr_random_i128,Pcg32,Canon-Unbiased,,,11048497.0,ns,33341
distr_random_i128,Pcg32,Canon-Unbiased,,,9749891.0,ns,33774
distr_random_i128,Pcg32,Canon-Unbiased,,,9863505.0,ns,34207
distr_random_i128,Pcg32,Canon-Unbiased,,,8868670.0,ns,34640
distr_random_i128,Pcg32,Canon-Unbiased,,,13299759.0,ns,35073
distr_random_i128,Pcg32,Canon-Unbiased,,,20011295.0,ns,35506
distr_random_i128,Pcg32,Canon-Unbiased,,,16306364.0,ns,35939
distr_random_i128,Pcg32,Canon-Unbiased,,,10484695.0,ns,36372
distr_random_i128,Pcg32,Canon-Unbiased,,,9784526.0,ns,36805
distr_random_i128,Pcg32,Canon-Unbiased,,,9200445.0,ns,37238
distr_random_i128,Pcg32,Canon-Unbiased,,,10336406.0,ns,37671
distr_random_i128,Pcg32,Canon-Unbiased,,,11097240.0,ns,38104
distr_random_i128,Pcg32,Canon-Unbiased,,,11535375.0,ns,38537
distr_random_i128,Pcg32,Canon-Unbiased,,,11470443.0,ns,38970
distr_random_i128,Pcg32,Canon-Unbiased,,,10989527.0,ns,39403
distr_random_i128,Pcg32,Canon-Unbiased,,,21643952.0,ns,39836
distr_random_i128,Pcg32,Canon-Unbiased,,,20892176.0,ns,40269
distr_random_i128,Pcg32,Canon-Unbiased,,,23142916.0,ns,40702
distr_random_i128,Pcg32,Canon-Unbiased,,,10129356.0,ns,41135
distr_random_i128,Pcg32,Canon-Unbiased,,,12608006.0,ns,41568
distr_random_i128,Pcg32,Canon-Unbiased,,,10607757.0,ns,42001
distr_random_i128,Pcg32,Canon-Unbiased,,,15346546.0,ns,42434
distr_random_i128,Pcg32,Canon-Unbiased,,,12575755.0,ns,42867
distr_random_i128,Pcg32,Canon-Unbiased,,,17020170.0,ns,43300
