group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,Pcg64,Canon-Red-Un,,,295276.0,ns,753
distr_random_i128,Pcg64,Canon-Red-Un,,,330232.0,ns,1506
distr_random_i128,Pcg64,Canon-Red-Un,,,626210.0,ns,2259
distr_random_i128,Pcg64,Canon-Red-Un,,,736357.0,ns,3012
distr_random_i128,Pcg64,Canon-Red-Un,,,1531764.0,ns,3765
distr_random_i128,Pcg64,Canon-Red-Un,,,2773262.0,ns,4518
distr_random_i128,Pcg64,Canon-Red-Un,,,1528609.0,ns,5271
distr_random_i128,Pcg64,Canon-Red-Un,,,1872616.0,ns,6024
distr_random_i128,Pcg64,Canon-Red-Un,,,1591236.0,ns,6777
distr_random_i128,Pcg64,Canon-Red-Un,,,1523649.0,ns,7530
distr_random_i128,Pcg64,Canon-Red-Un,,,2109933.0,ns,8283
distr_random_i128,Pcg64,Canon-Red-Un,,,3060694.0,ns,9036
distr_random_i128,Pcg64,Canon-Red-Un,,,4286803.0,ns,9789
distr_random_i128,Pcg64,Canon-Red-Un,,,3651898.0,ns,10542
distr_random_i128,Pcg64,Canon-Red-Un,,,6110397.0,ns,11295
distr_random_i128,Pcg64,Canon-Red-Un,,,5518322.0,ns,12048
distr_random_i128,Pcg64,Canon-Red-Un,,,2900252.0,ns,12801
distr_random_i128,Pcg64,Canon-Red-Un,,,3879186.0,ns,13554
distr_random_i128,Pcg64,Canon-Red-Un,,,3223341.0,ns,14307
distr_random_i128,Pcg64,Canon-Red-Un,,,3507816.0,ns,15060
distr_random_i128,Pcg64,Canon-Red-Un,,,3443706.0,ns,15813
distr_random_i128,Pcg64,Canon-Red-Un,,,4298676.0,ns,16566
distr_random_i128,Pcg64,Canon-Red-Un,,,3722671.0,ns,17319
distr_random_i128,Pcg64,Canon-Red-Un,,,8180436.0,ns,18072
distr_random_i128,Pcg64,Canon-Red-Un,,,4543426.0,ns,18825
distr_random_i128,Pcg64,Canon-Red-Un,,,7297984.0,ns,19578
distr_random_i128,Pcg64,Canon-Red-Un,,,4669213.0,ns,20331
distr_random_i128,Pcg64,Canon-Red-Un,,,5228156.0,ns,21084
distr_random_i128,Pcg64,Canon-Red-Un,,,6032590.0,ns,21837
distr_random_i128,Pcg64,Canon-Red-Un,,,8268662.0,ns,22590
distr_random_i128,Pcg64,Canon-Red-Un,,,7312982.0,ns,23343
distr_random_i128,Pcg64,Canon-Red-Un,,,5610726.0,ns,24096
distr_random_i128,Pcg64,Canon-Red-Un,,,10933891.0,ns,24849
distr_random_i128,Pcg64,Canon-Red-Un,,,7968546.0,ns,25602
distr_random_i128,Pcg64,Canon-Red-Un,,,13048533.0,ns,26355
distr_random_i128,Pcg64,Canon-Red-Un,,,6204625.0,ns,27108
distr_random_i128,Pcg64,Canon-Red-Un,,,11112558.0,ns,27861
distr_random_i128,Pcg64,Canon-Red-Un,,,15198432.0,ns,28614
distr_random_i128,Pcg64,Canon-Red-Un,,,6688806.0,ns,29367
distr_random_i128,Pcg64,Canon-Red-Un,,,17123968.0,ns,30120
distr_random_i128,Pcg64,Canon-Red-Un,,,8918024.0,ns,30873
distr_random_i128,Pcg64,Canon-Red-Un,,,12103413.0,ns,31626
distr_random_i128,Pcg64,Canon-Red-Un,,,11448059.0,ns,32379
distr_random_i128,Pcg64,Canon-Red-Un,,,11062002.0,ns,33132
distr_random_i128,Pcg64,Canon-Red-Un,,,8327473.0,ns,33885
