group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,SmallRng,Canon-Lemire,,,185780.0,ns,1207
distr_random_i128,SmallRng,Canon-Lemire,,,587477.0,ns,2414
distr_random_i128,SmallRng,Canon-Lemire,,,668319.0,ns,3621
distr_random_i128,SmallRng,Canon-Lemire,,,1434753.0,ns,4828
distr_random_i128,SmallRng,Canon-Lemire,,,919282.0,ns,6035
distr_random_i128,SmallRng,Canon-Lemire,,,2154690.0,ns,7242
distr_random_i128,SmallRng,Canon-Lemire,,,1355013.0,ns,8449
distr_random_i128,SmallRng,Canon-Lemire,,,1576430.0,ns,9656
distr_random_i128,SmallRng,Canon-Lemire,,,2042860.0,ns,10863
distr_random_i128,SmallRng,Canon-Lemire,,,2542361.0,ns,12070
distr_random_i128,SmallRng,Canon-Lemire,,,2026198.0,ns,13277
distr_random_i128,SmallRng,Canon-Lemire,,,2286519.0,ns,14484
distr_random_i128,SmallRng,Canon-Lemire,,,2896819.0,ns,15691
distr_random_i128,SmallRng,Canon-Lemire,,,3045939.0,ns,16898
distr_random_i128,SmallRng,Canon-Lemire,,,5475397.0,ns,18105
distr_random_i128,SmallRng,Canon-Lemire,,,5753852.0,ns,19312
distr_random_i128,SmallRng,Canon-Lemire,,,3295179.0,ns,20519
distr_random_i128,SmallRng,Canon-Lemire,,,4118470.0,ns,21726
distr_random_i128,SmallRng,Canon-Lemire,,,5090642.0,ns,22933
distr_random_i128,SmallRng,Canon-Lemire,,,4036054.0,ns,24140
distr_random_i128,SmallRng,Canon-Lemire,,,4400371.0,ns,25347
distr_random_i128,SmallRng,Canon-Lemire,,,4238977.0,ns,26554
distr_random_i128,SmallRng,Canon-Lemire,,,4237965.0,ns,27761
distr_random_i128,SmallRng,Canon-Lemire,,,5718405.0,ns,28968
distr_random_i128,SmallRng,Canon-Lemire,,,7792012.0,ns,30175
distr_random_i128,SmallRng,Canon-Lemire,,,5162818.0,ns,31382
distr_random_i128,SmallRng,Canon-Lemire,,,9663979.0,ns,32589
distr_random_i128,SmallRng,Canon-Lemire,,,5951785.0,ns,33796
distr_random_i128,SmallRng,Canon-Lemire,,,5388694.0,ns,35003
distr_random_i128,SmallRng,Canon-Lemire,,,5751698.0,ns,36210
distr_random_i128,SmallRng,Canon-Lemire,,,5908082.0,ns,37417
distr_random_i128,SmallRng,Canon-Lemire,,,6124800.0,ns,38624
distr_random_i128,SmallRng,Canon-Lemire,,,9691681.0,ns,39831
distr_random_i128,SmallRng,Canon-Lemire,,,6423323.0,ns,41038
distr_random_i128,SmallRng,Canon-Lemire,,,12106070.0,ns,42245
distr_random_i128,SmallRng,Canon-Lemire,,,13296593.0,ns,43452
distr_random_i128,SmallRng,Canon-Lemire,,,7218752.0,ns,44659
distr_random_i128,SmallRng,Canon-Lemire,,,7212089.0,ns,45866
distr_random_i128,SmallRng,Canon-Lemire,,,8045028.0,ns,47073
distr_random_i128,SmallRng,Canon-Lemire,,,10743854.0,ns,48280
distr_random_i128,SmallRng,Canon-Lemire,,,12854992.0,ns,49487
distr_random_i128,SmallRng,Canon-Lemire,,,9450296.0,ns,50694
distr_random_i128,SmallRng,Canon-Lemire,,,15940435.0,ns,51901
distr_random_i128,SmallRng,Canon-Lemire,,,16325510.0,ns,53108
distr_random_i128,SmallRng,Canon-Lemire,,,9285015.0,ns,54315
distr_random_i128,SmallRng,Canon-Lemire,,,8349422.0,ns,55522
distr_random_i128,SmallRng,Canon-Lemire,,,9850240.0,ns,56729
distr_random_i128,SmallRng,Canon-Lemire,,,8800352.0,ns,57936
distr_random_i128,SmallRng,Canon-Lemire,,,8910358.0,ns,59143
distr_random_i128,SmallRng,Canon-Lemire,,,13809219.0,ns,60350
distr_random_i128,SmallRng,Canon-Lemire,,,9486444.0,ns,61557
distr_random_i128,SmallRng,Canon-Lemire,,,19251764.0,ns,62764
distr_random_i128,SmallRng,Canon-Lemire,,,11525276.0,ns,63971
distr_random_i128,SmallRng,Canon-Lemire,,,16860568.0,ns,65178
distr_random_i128,SmallRng,Canon-Lemire,,,10077909.0,ns,66385
distr_random_i128,SmallRng,Canon-Lemire,,,10496458.0,ns,67592
distr_random_i128,SmallRng,Canon-Lemire,,,13792518.0,ns,68799
distr_random_i128,SmallRng,Canon-Lemire,,,13082971.0,ns,70006
distr_random_i128,SmallRng,Canon-Lemire,,,14422165.0,ns,71213
distr_random_i128,SmallRng,Canon-Lemire,,,16867833.0,ns,72420
distr_random_i128,SmallRng,Canon-Lemire,,,15769082.0,ns,73627
distr_random_i128,SmallRng,Canon-Lemire,,,15203356.0,ns,74834
distr_random_i128,SmallRng,Canon-Lemire,,,12029687.0,ns,76041
distr_random_i128,SmallRng,Canon-Lemire,,,15239695.0,ns,77248
distr_random_i128,SmallRng,Canon-Lemire,,,24136388.0,ns,78455
distr_random_i128,SmallRng,Canon-Lemire,,,13578565.0,ns,79662
distr_random_i128,SmallRng,Canon-Lemire,,,13136853.0,ns,80869
distr_random_i128,SmallRng,Canon-Lemire,,,14450849.0,ns,82076
distr_random_i128,SmallRng,Canon-Lemire,,,13027566.0,ns,83283
distr_random_i128,SmallRng,Canon-Lemire,,,13940657.0,ns,84490
distr_random_i128,SmallRng,Canon-Lemire,,,17922300.0,ns,85697
