group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,SmallRng,Canon-reduced,,,198584.0,ns,751
distr_random_i128,SmallRng,Canon-reduced,,,292581.0,ns,1502
distr_random_i128,SmallRng,Canon-reduced,,,587147.0,ns,2253
distr_random_i128,SmallRng,Canon-reduced,,,738913.0,ns,3004
distr_random_i128,SmallRng,Canon-reduced,,,637241.0,ns,3755
distr_random_i128,SmallRng,Canon-reduced,,,963916.0,ns,4506
distr_random_i128,SmallRng,Canon-reduced,,,1529802.0,ns,5257
distr_random_i128,SmallRng,Canon-reduced,,,1040510.0,ns,6008
distr_random_i128,SmallRng,Canon-reduced,,,1260615.0,ns,6759
distr_random_i128,SmallRng,Canon-reduced,,,1384729.0,ns,7510
distr_random_i128,SmallRng,Canon-reduced,,,1482032.0,ns,8261
distr_random_i128,SmallRng,Canon-reduced,,,2621880.0,ns,9012
distr_random_i128,SmallRng,Canon-reduced,,,2235903.0,ns,9763
distr_random_i128,SmallRng,Canon-reduced,,,2970076.0,ns,10514
distr_random_i128,SmallRng,Canon-reduced,,,3058252.0,ns,11265
distr_random_i128,SmallRng,Canon-reduced,,,2177623.0,ns,12016
distr_random_i128,SmallRng,Canon-reduced,,,2149541.0,ns,12767
distr_random_i128,SmallRng,Canon-reduced,,,2599438.0,ns,13518
distr_random_i128,SmallRng,Canon-reduced,,,2659300.0,ns,14269
distr_random_i128,SmallRng,Canon-reduced,,,3935625.0,ns,15020
distr_random_i128,SmallRng,Canon-reduced,,,3175744.0,ns,15771
distr_random_i128,SmallRng,Canon-reduced,,,4753857.0,ns,16522
distr_random_i128,SmallRng,Canon-reduced,,,5019828.0,ns,17273
distr_random_i128,SmallRng,Canon-reduced,,,3331006.0,ns,18024
distr_random_i128,SmallRng,Canon-reduced,,,4519746.0,ns,18775
distr_random_i128,SmallRng,Canon-reduced,,,5139164.0,ns,19526
distr_random_i128,SmallRng,Canon-reduced,,,4246822.0,ns,20277
distr_random_i128,SmallRng,Canon-reduced,,,3711894.0,ns,21028
distr_random_i128,SmallRng,Canon-reduced,,,5673270.0,ns,21779
distr_random_i128,SmallRng,Canon-reduced,,,3967846.0,ns,22530
distr_random_i128,SmallRng,Canon-reduced,,,5095050.0,ns,23281
distr_random_i128,SmallRng,Canon-reduced,,,7021780.0,ns,24032
distr_random_i128,SmallRng,Canon-reduced,,,5428739.0,ns,24783
distr_random_i128,SmallRng,Canon-reduced,,,4575751.0,ns,25534
distr_random_i128,SmallRng,Canon-reduced,,,7421714.0,ns,26285
distr_random_i128,SmallRng,Canon-reduced,,,4809242.0,ns,27036
distr_random_i128,SmallRng,Canon-reduced,,,5291530.0,ns,27787
distr_random_i128,SmallRng,Canon-reduced,,,5898234.0,ns,28538
distr_random_i128,SmallRng,Canon-reduced,,,7806979.0,ns,29289
distr_random_i128,SmallRng,Canon-reduced,,,6147724.0,ns,30040
distr_random_i128,SmallRng,Canon-reduced,,,6078904.0,ns,30791
distr_random_i128,SmallRng,Canon-reduced,,,6970864.0,ns,31542
distr_random_i128,SmallRng,Canon-reduced,,,5462282.0,ns,32293
distr_random_i128,SmallRng,Canon-reduced,,,7091581.0,ns,33044
distr_random_i128,SmallRng,Canon-reduced,,,8751099.0,ns,33795
distr_random_i128,SmallRng,Canon-reduced,,,7507996.0,ns,34546
distr_random_i128,SmallRng,Canon-reduced,,,5911268.0,ns,35297
distr_random_i128,SmallRng,Canon-reduced,,,7081053.0,ns,36048
distr_random_i128,SmallRng,Canon-reduced,,,6156771.0,ns,36799
distr_random_i128,SmallRng,Canon-reduced,,,10907663.0,ns,37550
distr_random_i128,SmallRng,Canon-reduced,,,7977862.0,ns,38301
distr_random_i128,SmallRng,Canon-reduced,,,8991862.0,ns,39052
distr_random_i128,SmallRng,Canon-reduced,,,10004921.0,ns,39803
distr_random_i128,SmallRng,Canon-reduced,,,8467614.0,ns,40554
distr_random_i128,SmallRng,Canon-reduced,,,11986074.0,ns,41305
distr_random_i128,SmallRng,Canon-reduced,,,7364175.0,ns,42056
distr_random_i128,SmallRng,Canon-reduced,,,8583333.0,ns,42807
distr_random_i128,SmallRng,Canon-reduced,,,9434306.0,ns,43558
distr_random_i128,SmallRng,Canon-reduced,,,8356836.0,ns,44309
distr_random_i128,SmallRng,Canon-reduced,,,8271234.0,ns,45060
distr_random_i128,SmallRng,Canon-reduced,,,12537974.0,ns,45811
distr_random_i128,SmallRng,Canon-reduced,,,9500981.0,ns,46562
