group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i128,SmallRng,Old,,,168057.0,ns,1151
distr_random_i128,SmallRng,Old,,,383292.0,ns,2302
distr_random_i128,SmallRng,Old,,,530129.0,ns,3453
distr_random_i128,SmallRng,Old,,,845363.0,ns,4604
distr_random_i128,SmallRng,Old,,,949439.0,ns,5755
distr_random_i128,SmallRng,Old,,,1545241.0,ns,6906
distr_random_i128,SmallRng,Old,,,1299969.0,ns,8057
distr_random_i128,SmallRng,Old,,,2073928.0,ns,9208
distr_random_i128,SmallRng,Old,,,1694393.0,ns,10359
distr_random_i128,SmallRng,Old,,,1838054.0,ns,11510
distr_random_i128,SmallRng,Old,,,2989703.0,ns,12661
distr_random_i128,SmallRng,Old,,,2024855.0,ns,13812
distr_random_i128,SmallRng,Old,,,2350388.0,ns,14963
distr_random_i128,SmallRng,Old,,,3564947.0,ns,16114
distr_random_i128,SmallRng,Old,,,3206622.0,ns,17265
distr_random_i128,SmallRng,Old,,,2757977.0,ns,18416
distr_random_i128,SmallRng,Old,,,9060142.0,ns,19567
distr_random_i128,SmallRng,Old,,,4556526.0,ns,20718
distr_random_i128,SmallRng,Old,,,5989255.0,ns,21869
distr_random_i128,SmallRng,Old,,,6226311.0,ns,23020
distr_random_i128,SmallRng,Old,,,3975561.0,ns,24171
distr_random_i128,SmallRng,Old,,,3653474.0,ns,25322
distr_random_i128,SmallRng,Old,,,4039571.0,ns,26473
distr_random_i128,SmallRng,Old,,,4290975.0,ns,27624
distr_random_i128,SmallRng,Old,,,7963625.0,ns,28775
distr_random_i128,SmallRng,Old,,,4419628.0,ns,29926
distr_random_i128,SmallRng,Old,,,7607184.0,ns,31077
distr_random_i128,SmallRng,Old,,,5545369.0,ns,32228
distr_random_i128,SmallRng,Old,,,14318900.0,ns,33379
distr_random_i128,SmallRng,Old,,,5569344.0,ns,34530
distr_random_i128,SmallRng,Old,,,14989083.0,ns,35681
distr_random_i128,SmallRng,Old,,,7518596.0,ns,36832
distr_random_i128,SmallRng,Old,,,7354838.0,ns,37983
distr_random_i128,SmallRng,Old,,,5976822.0,ns,39134
distr_random_i128,SmallRng,Old,,,13829628.0,ns,40285
distr_random_i128,SmallRng,Old,,,6863703.0,ns,41436
distr_random_i128,SmallRng,Old,,,6378599.0,ns,42587
distr_random_i128,SmallRng,Old,,,14523956.0,ns,43738
distr_random_i128,SmallRng,Old,,,8032155.0,ns,44889
distr_random_i128,SmallRng,Old,,,6733127.0,ns,46040
distr_random_i128,SmallRng,Old,,,7586284.0,ns,47191
distr_random_i128,SmallRng,Old,,,8057732.0,ns,48342
distr_random_i128,SmallRng,Old,,,9609646.0,ns,49493
distr_random_i128,SmallRng,Old,,,8370712.0,ns,50644
distr_random_i128,SmallRng,Old,,,10729306.0,ns,51795
distr_random_i128,SmallRng,Old,,,8459058.0,ns,52946
distr_random_i128,SmallRng,Old,,,8979910.0,ns,54097
distr_random_i128,SmallRng,Old,,,21837256.0,ns,55248
distr_random_i128,SmallRng,Old,,,14783986.0,ns,56399
distr_random_i128,SmallRng,Old,,,8831451.0,ns,57550
distr_random_i128,SmallRng,Old,,,9104164.0,ns,58701
distr_random_i128,SmallRng,Old,,,10370580.0,ns,59852
distr_random_i128,SmallRng,Old,,,12796321.0,ns,61003
distr_random_i128,SmallRng,Old,,,8923153.0,ns,62154
distr_random_i128,SmallRng,Old,,,19930703.0,ns,63305
distr_random_i128,SmallRng,Old,,,9284274.0,ns,64456
distr_random_i128,SmallRng,Old,,,19771173.0,ns,65607
distr_random_i128,SmallRng,Old,,,10117132.0,ns,66758
distr_random_i128,SmallRng,Old,,,11981055.0,ns,67909
distr_random_i128,SmallRng,Old,,,12553142.0,ns,69060
distr_random_i128,SmallRng,Old,,,10125027.0,ns,70211
distr_random_i128,SmallRng,Old,,,11083083.0,ns,71362
distr_random_i128,SmallRng,Old,,,12326235.0,ns,72513
distr_random_i128,SmallRng,Old,,,11558147.0,ns,73664
distr_random_i128,SmallRng,Old,,,11121235.0,ns,74815
distr_random_i128,SmallRng,Old,,,15059135.0,ns,75966
distr_random_i128,SmallRng,Old,,,15752110.0,ns,77117
distr_random_i128,SmallRng,Old,,,15857469.0,ns,78268
distr_random_i128,SmallRng,Old,,,22674814.0,ns,79419
distr_random_i128,SmallRng,Old,,,12264609.0,ns,80570
distr_random_i128,SmallRng,Old,,,13137934.0,ns,81721
distr_random_i128,SmallRng,Old,,,14278985.0,ns,82872
distr_random_i128,SmallRng,Old,,,15567813.0,ns,84023
distr_random_i128,SmallRng,Old,,,12921367.0,ns,85174
distr_random_i128,SmallRng,Old,,,40659541.0,ns,86325
distr_random_i128,SmallRng,Old,,,13360514.0,ns,87476
distr_random_i128,SmallRng,Old,,,25234487.0,ns,88627
distr_random_i128,SmallRng,Old,,,13842071.0,ns,89778
distr_random_i128,SmallRng,Old,,,15344412.0,ns,90929
distr_random_i128,SmallRng,Old,,,13392694.0,ns,92080
distr_random_i128,SmallRng,Old,,,13604424.0,ns,93231
distr_random_i128,SmallRng,Old,,,13559649.0,ns,94382
distr_random_i128,SmallRng,Old,,,13890853.0,ns,95533
distr_random_i128,SmallRng,Old,,,13945276.0,ns,96684
distr_random_i128,SmallRng,Old,,,14845823.0,ns,97835
distr_random_i128,SmallRng,Old,,,15298465.0,ns,98986
distr_random_i128,SmallRng,Old,,,14404521.0,ns,100137
distr_random_i128,SmallRng,Old,,,18176599.0,ns,101288
distr_random_i128,SmallRng,Old,,,19683859.0,ns,102439
distr_random_i128,SmallRng,Old,,,30590960.0,ns,103590
distr_random_i128,SmallRng,Old,,,15326598.0,ns,104741
distr_random_i128,SmallRng,Old,,,26796641.0,ns,105892
distr_random_i128,SmallRng,Old,,,15773761.0,ns,107043
distr_random_i128,SmallRng,Old,,,20158042.0,ns,108194
distr_random_i128,SmallRng,Old,,,18957140.0,ns,109345
distr_random_i128,SmallRng,Old,,,25927703.0,ns,110496
