group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,Pcg32,Canon-reduced,,,197812.0,ns,1811
distr_random_i16,Pcg32,Canon-reduced,,,395105.0,ns,3622
distr_random_i16,Pcg32,Canon-reduced,,,589250.0,ns,5433
distr_random_i16,Pcg32,Canon-reduced,,,791441.0,ns,7244
distr_random_i16,Pcg32,Canon-reduced,,,989254.0,ns,9055
distr_random_i16,Pcg32,Canon-reduced,,,1182318.0,ns,10866
distr_random_i16,Pcg32,Canon-reduced,,,1379049.0,ns,12677
distr_random_i16,Pcg32,Canon-reduced,,,1573635.0,ns,14488
distr_random_i16,Pcg32,Canon-reduced,,,1780906.0,ns,16299
distr_random_i16,Pcg32,Canon-reduced,,,1979240.0,ns,18110
distr_random_i16,Pcg32,Canon-reduced,,,2177653.0,ns,19921
distr_random_i16,Pcg32,Canon-reduced,,,2376488.0,ns,21732
distr_random_i16,Pcg32,Canon-reduced,,,2571986.0,ns,23543
distr_random_i16,Pcg32,Canon-reduced,,,2771442.0,ns,25354
distr_random_i16,Pcg32,Canon-reduced,,,2968804.0,ns,27165
distr_random_i16,Pcg32,Canon-reduced,,,3164813.0,ns,28976
distr_random_i16,Pcg32,Canon-reduced,,,3359550.0,ns,30787
distr_random_i16,Pcg32,Canon-reduced,,,3558866.0,ns,32598
distr_random_i16,Pcg32,Canon-reduced,,,3754544.0,ns,34409
distr_random_i16,Pcg32,Canon-reduced,,,3938301.0,ns,36220
distr_random_i16,Pcg32,Canon-reduced,,,4135613.0,ns,38031
distr_random_i16,Pcg32,Canon-reduced,,,4330249.0,ns,39842
distr_random_i16,Pcg32,Canon-reduced,,,4530376.0,ns,41653
distr_random_i16,Pcg32,Canon-reduced,,,4725484.0,ns,43464
distr_random_i16,Pcg32,Canon-reduced,,,4929979.0,ns,45275
distr_random_i16,Pcg32,Canon-reduced,,,5125807.0,ns,47086
distr_random_i16,Pcg32,Canon-reduced,,,5323110.0,ns,48897
distr_random_i16,Pcg32,Canon-reduced,,,5519550.0,ns,50708
