group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,Pcg32,Old,,,212781.0,ns,3058
distr_random_i16,Pcg32,Old,,,425542.0,ns,6116
distr_random_i16,Pcg32,Old,,,637020.0,ns,9174
distr_random_i16,Pcg32,Old,,,847817.0,ns,12232
distr_random_i16,Pcg32,Old,,,1059426.0,ns,15290
distr_random_i16,Pcg32,Old,,,1271136.0,ns,18348
distr_random_i16,Pcg32,Old,,,1476782.0,ns,21406
distr_random_i16,Pcg32,Old,,,1638407.0,ns,24464
distr_random_i16,Pcg32,Old,,,1908346.0,ns,27522
distr_random_i16,Pcg32,Old,,,1941819.0,ns,30580
distr_random_i16,Pcg32,Old,,,2194584.0,ns,33638
distr_random_i16,Pcg32,Old,,,2418998.0,ns,36696
distr_random_i16,Pcg32,Old,,,2747276.0,ns,39754
distr_random_i16,Pcg32,Old,,,2845341.0,ns,42812
distr_random_i16,Pcg32,Old,,,2866671.0,ns,45870
distr_random_i16,Pcg32,Old,,,3100873.0,ns,48928
distr_random_i16,Pcg32,Old,,,3461051.0,ns,51986
distr_random_i16,Pcg32,Old,,,3701975.0,ns,55044
distr_random_i16,Pcg32,Old,,,3774703.0,ns,58102
distr_random_i16,Pcg32,Old,,,4168194.0,ns,61160
distr_random_i16,Pcg32,Old,,,4371517.0,ns,64218
distr_random_i16,Pcg32,Old,,,4465935.0,ns,67276
distr_random_i16,Pcg32,Old,,,4585771.0,ns,70334
distr_random_i16,Pcg32,Old,,,4878643.0,ns,73392
distr_random_i16,Pcg32,Old,,,4841341.0,ns,76450
distr_random_i16,Pcg32,Old,,,5326817.0,ns,79508
distr_random_i16,Pcg32,Old,,,5220015.0,ns,82566
distr_random_i16,Pcg32,Old,,,5667699.0,ns,85624
distr_random_i16,Pcg32,Old,,,5734275.0,ns,88682
distr_random_i16,Pcg32,Old,,,5818123.0,ns,91740
distr_random_i16,Pcg32,Old,,,5985989.0,ns,94798
distr_random_i16,Pcg32,Old,,,6326751.0,ns,97856
distr_random_i16,Pcg32,Old,,,6593824.0,ns,100914
distr_random_i16,Pcg32,Old,,,6887888.0,ns,103972
distr_random_i16,Pcg32,Old,,,6934426.0,ns,107030
distr_random_i16,Pcg32,Old,,,7200968.0,ns,110088
distr_random_i16,Pcg32,Old,,,7248187.0,ns,113146
distr_random_i16,Pcg32,Old,,,7797562.0,ns,116204
