group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,SmallRng,Biased64,,,197442.0,ns,4021
distr_random_i16,SmallRng,Biased64,,,396176.0,ns,8042
distr_random_i16,SmallRng,Biased64,,,592256.0,ns,12063
distr_random_i16,SmallRng,Biased64,,,790769.0,ns,16084
distr_random_i16,SmallRng,Biased64,,,988121.0,ns,20105
distr_random_i16,SmallRng,Biased64,,,1185533.0,ns,24126
distr_random_i16,SmallRng,Biased64,,,1388204.0,ns,28147
distr_random_i16,SmallRng,Biased64,,,1580537.0,ns,32168
distr_random_i16,SmallRng,Biased64,,,1778801.0,ns,36189
distr_random_i16,SmallRng,Biased64,,,2015696.0,ns,40210
distr_random_i16,SmallRng,Biased64,,,2176078.0,ns,44231
distr_random_i16,SmallRng,Biased64,,,2372498.0,ns,48252
distr_random_i16,SmallRng,Biased64,,,2568837.0,ns,52273
distr_random_i16,SmallRng,Biased64,,,2767722.0,ns,56294
distr_random_i16,SmallRng,Biased64,,,2964392.0,ns,60315
distr_random_i16,SmallRng,Biased64,,,3161754.0,ns,64336
distr_random_i16,SmallRng,Biased64,,,3378392.0,ns,68357
distr_random_i16,SmallRng,Biased64,,,3556427.0,ns,72378
distr_random_i16,SmallRng,Biased64,,,3754811.0,ns,76399
distr_random_i16,SmallRng,Biased64,,,3952263.0,ns,80420
distr_random_i16,SmallRng,Biased64,,,4167819.0,ns,84441
distr_random_i16,SmallRng,Biased64,,,4347107.0,ns,88462
distr_random_i16,SmallRng,Biased64,,,4545541.0,ns,92483
distr_random_i16,SmallRng,Biased64,,,4742792.0,ns,96504
distr_random_i16,SmallRng,Biased64,,,4958548.0,ns,100525
distr_random_i16,SmallRng,Biased64,,,5137725.0,ns,104546
distr_random_i16,SmallRng,Biased64,,,5335388.0,ns,108567
distr_random_i16,SmallRng,Biased64,,,5552346.0,ns,112588
distr_random_i16,SmallRng,Biased64,,,5730572.0,ns,116609
distr_random_i16,SmallRng,Biased64,,,5928455.0,ns,120630
distr_random_i16,SmallRng,Biased64,,,6144321.0,ns,124651
distr_random_i16,SmallRng,Biased64,,,6325432.0,ns,128672
distr_random_i16,SmallRng,Biased64,,,6539265.0,ns,132693
distr_random_i16,SmallRng,Biased64,,,6719134.0,ns,136714
distr_random_i16,SmallRng,Biased64,,,6916555.0,ns,140735
distr_random_i16,SmallRng,Biased64,,,7132281.0,ns,144756
distr_random_i16,SmallRng,Biased64,,,7311309.0,ns,148777
distr_random_i16,SmallRng,Biased64,,,7528959.0,ns,152798
distr_random_i16,SmallRng,Biased64,,,7709229.0,ns,156819
distr_random_i16,SmallRng,Biased64,,,7944331.0,ns,160840
distr_random_i16,SmallRng,Biased64,,,8101837.0,ns,164861
distr_random_i16,SmallRng,Biased64,,,8317814.0,ns,168882
distr_random_i16,SmallRng,Biased64,,,8496681.0,ns,172903
