group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,SmallRng,Canon,,,198193.0,ns,3819
distr_random_i16,SmallRng,Canon,,,395385.0,ns,7638
distr_random_i16,SmallRng,Canon,,,594049.0,ns,11457
distr_random_i16,SmallRng,Canon,,,790761.0,ns,15276
distr_random_i16,SmallRng,Canon,,,985316.0,ns,19095
distr_random_i16,SmallRng,Canon,,,1181416.0,ns,22914
distr_random_i16,SmallRng,Canon,,,1386843.0,ns,26733
distr_random_i16,SmallRng,Canon,,,1579987.0,ns,30552
distr_random_i16,SmallRng,Canon,,,1777780.0,ns,34371
distr_random_i16,SmallRng,Canon,,,1970533.0,ns,38190
distr_random_i16,SmallRng,Canon,,,2178996.0,ns,42009
distr_random_i16,SmallRng,Canon,,,2372049.0,ns,45828
distr_random_i16,SmallRng,Canon,,,2567628.0,ns,49647
distr_random_i16,SmallRng,Canon,,,2755131.0,ns,53466
distr_random_i16,SmallRng,Canon,,,2960007.0,ns,57285
distr_random_i16,SmallRng,Canon,,,3162969.0,ns,61104
distr_random_i16,SmallRng,Canon,,,3351916.0,ns,64923
distr_random_i16,SmallRng,Canon,,,3557913.0,ns,68742
distr_random_i16,SmallRng,Canon,,,3749334.0,ns,72561
distr_random_i16,SmallRng,Canon,,,3961955.0,ns,76380
distr_random_i16,SmallRng,Canon,,,4140171.0,ns,80199
distr_random_i16,SmallRng,Canon,,,4339947.0,ns,84018
distr_random_i16,SmallRng,Canon,,,4531488.0,ns,87837
distr_random_i16,SmallRng,Canon,,,4743628.0,ns,91656
distr_random_i16,SmallRng,Canon,,,4929679.0,ns,95475
distr_random_i16,SmallRng,Canon,,,5130407.0,ns,99294
distr_random_i16,SmallRng,Canon,,,5335232.0,ns,103113
distr_random_i16,SmallRng,Canon,,,5530811.0,ns,106932
distr_random_i16,SmallRng,Canon,,,5723364.0,ns,110751
distr_random_i16,SmallRng,Canon,,,5922700.0,ns,114570
distr_random_i16,SmallRng,Canon,,,6115313.0,ns,118389
distr_random_i16,SmallRng,Canon,,,6306272.0,ns,122208
distr_random_i16,SmallRng,Canon,,,6494607.0,ns,126027
distr_random_i16,SmallRng,Canon,,,6720292.0,ns,129846
distr_random_i16,SmallRng,Canon,,,6902486.0,ns,133665
distr_random_i16,SmallRng,Canon,,,7103394.0,ns,137484
distr_random_i16,SmallRng,Canon,,,7296508.0,ns,141303
distr_random_i16,SmallRng,Canon,,,7509730.0,ns,145122
distr_random_i16,SmallRng,Canon,,,7677636.0,ns,148941
distr_random_i16,SmallRng,Canon,,,7893423.0,ns,152760
distr_random_i16,SmallRng,Canon,,,8073322.0,ns,156579
distr_random_i16,SmallRng,Canon,,,8277616.0,ns,160398
distr_random_i16,SmallRng,Canon,,,8458398.0,ns,164217
distr_random_i16,SmallRng,Canon,,,8664265.0,ns,168036
distr_random_i16,SmallRng,Canon,,,8861226.0,ns,171855
distr_random_i16,SmallRng,Canon,,,9053909.0,ns,175674
distr_random_i16,SmallRng,Canon,,,9256150.0,ns,179493
distr_random_i16,SmallRng,Canon,,,9456708.0,ns,183312
distr_random_i16,SmallRng,Canon,,,9649491.0,ns,187131
distr_random_i16,SmallRng,Canon,,,9850620.0,ns,190950
distr_random_i16,SmallRng,Canon,,,10020270.0,ns,194769
distr_random_i16,SmallRng,Canon,,,10252568.0,ns,198588
distr_random_i16,SmallRng,Canon,,,10433729.0,ns,202407
distr_random_i16,SmallRng,Canon,,,10634468.0,ns,206226
distr_random_i16,SmallRng,Canon,,,10831108.0,ns,210045
distr_random_i16,SmallRng,Canon,,,11004334.0,ns,213864
distr_random_i16,SmallRng,Canon,,,11216083.0,ns,217683
distr_random_i16,SmallRng,Canon,,,11389871.0,ns,221502
distr_random_i16,SmallRng,Canon,,,11606038.0,ns,225321
distr_random_i16,SmallRng,Canon,,,11793922.0,ns,229140
distr_random_i16,SmallRng,Canon,,,11989841.0,ns,232959
distr_random_i16,SmallRng,Canon,,,12213593.0,ns,236778
distr_random_i16,SmallRng,Canon,,,12390135.0,ns,240597
distr_random_i16,SmallRng,Canon,,,12588009.0,ns,244416
distr_random_i16,SmallRng,Canon,,,12783577.0,ns,248235
distr_random_i16,SmallRng,Canon,,,12970259.0,ns,252054
distr_random_i16,SmallRng,Canon,,,13165567.0,ns,255873
distr_random_i16,SmallRng,Canon,,,13359242.0,ns,259692
distr_random_i16,SmallRng,Canon,,,13571051.0,ns,263511
distr_random_i16,SmallRng,Canon,,,13767441.0,ns,267330
distr_random_i16,SmallRng,Canon,,,13938823.0,ns,271149
distr_random_i16,SmallRng,Canon,,,14147206.0,ns,274968
distr_random_i16,SmallRng,Canon,,,14371829.0,ns,278787
distr_random_i16,SmallRng,Canon,,,14532412.0,ns,282606
distr_random_i16,SmallRng,Canon,,,14742267.0,ns,286425
distr_random_i16,SmallRng,Canon,,,14923128.0,ns,290244
distr_random_i16,SmallRng,Canon,,,15139276.0,ns,294063
distr_random_i16,SmallRng,Canon,,,15338511.0,ns,297882
distr_random_i16,SmallRng,Canon,,,15515194.0,ns,301701
distr_random_i16,SmallRng,Canon,,,15715642.0,ns,305520
distr_random_i16,SmallRng,Canon,,,15916180.0,ns,309339
distr_random_i16,SmallRng,Canon,,,16093233.0,ns,313158
distr_random_i16,SmallRng,Canon,,,16301585.0,ns,316977
distr_random_i16,SmallRng,Canon,,,16511401.0,ns,320796
distr_random_i16,SmallRng,Canon,,,16691631.0,ns,324615
distr_random_i16,SmallRng,Canon,,,16889073.0,ns,328434
distr_random_i16,SmallRng,Canon,,,17097897.0,ns,332253
distr_random_i16,SmallRng,Canon,,,17314634.0,ns,336072
distr_random_i16,SmallRng,Canon,,,17492369.0,ns,339891
distr_random_i16,SmallRng,Canon,,,17707675.0,ns,343710
distr_random_i16,SmallRng,Canon,,,17865653.0,ns,347529
distr_random_i16,SmallRng,Canon,,,18068505.0,ns,351348
distr_random_i16,SmallRng,Canon,,,18264874.0,ns,355167
distr_random_i16,SmallRng,Canon,,,18482705.0,ns,358986
