group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,SmallRng,Canon32-Un,,,197111.0,ns,3164
distr_random_i16,SmallRng,Canon32-Un,,,394212.0,ns,6328
distr_random_i16,SmallRng,Canon32-Un,,,592596.0,ns,9492
distr_random_i16,SmallRng,Canon32-Un,,,788405.0,ns,12656
distr_random_i16,SmallRng,Canon32-Un,,,986579.0,ns,15820
distr_random_i16,SmallRng,Canon32-Un,,,1184621.0,ns,18984
distr_random_i16,SmallRng,Canon32-Un,,,1380721.0,ns,22148
distr_random_i16,SmallRng,Canon32-Un,,,1581729.0,ns,25312
distr_random_i16,SmallRng,Canon32-Un,,,1777027.0,ns,28476
distr_random_i16,SmallRng,Canon32-Un,,,1978226.0,ns,31640
distr_random_i16,SmallRng,Canon32-Un,,,2172021.0,ns,34804
distr_random_i16,SmallRng,Canon32-Un,,,2372078.0,ns,37968
distr_random_i16,SmallRng,Canon32-Un,,,2567756.0,ns,41132
distr_random_i16,SmallRng,Canon32-Un,,,2754447.0,ns,44296
distr_random_i16,SmallRng,Canon32-Un,,,2958532.0,ns,47460
distr_random_i16,SmallRng,Canon32-Un,,,3152297.0,ns,50624
distr_random_i16,SmallRng,Canon32-Un,,,3354838.0,ns,53788
distr_random_i16,SmallRng,Canon32-Un,,,3550927.0,ns,56952
distr_random_i16,SmallRng,Canon32-Un,,,3748870.0,ns,60116
distr_random_i16,SmallRng,Canon32-Un,,,3940661.0,ns,63280
distr_random_i16,SmallRng,Canon32-Un,,,4143663.0,ns,66444
distr_random_i16,SmallRng,Canon32-Un,,,4334884.0,ns,69608
distr_random_i16,SmallRng,Canon32-Un,,,4538417.0,ns,72772
distr_random_i16,SmallRng,Canon32-Un,,,4731470.0,ns,75936
distr_random_i16,SmallRng,Canon32-Un,,,4932379.0,ns,79100
distr_random_i16,SmallRng,Canon32-Un,,,5129410.0,ns,82264
distr_random_i16,SmallRng,Canon32-Un,,,5326922.0,ns,85428
distr_random_i16,SmallRng,Canon32-Un,,,5514785.0,ns,88592
distr_random_i16,SmallRng,Canon32-Un,,,5720693.0,ns,91756
distr_random_i16,SmallRng,Canon32-Un,,,5913526.0,ns,94920
distr_random_i16,SmallRng,Canon32-Un,,,6110497.0,ns,98084
distr_random_i16,SmallRng,Canon32-Un,,,6301958.0,ns,101248
distr_random_i16,SmallRng,Canon32-Un,,,6491946.0,ns,104412
distr_random_i16,SmallRng,Canon32-Un,,,6679149.0,ns,107576
distr_random_i16,SmallRng,Canon32-Un,,,6890467.0,ns,110740
distr_random_i16,SmallRng,Canon32-Un,,,7066067.0,ns,113904
distr_random_i16,SmallRng,Canon32-Un,,,7261996.0,ns,117068
distr_random_i16,SmallRng,Canon32-Un,,,7458426.0,ns,120232
distr_random_i16,SmallRng,Canon32-Un,,,7655526.0,ns,123396
distr_random_i16,SmallRng,Canon32-Un,,,7851336.0,ns,126560
distr_random_i16,SmallRng,Canon32-Un,,,8048207.0,ns,129724
distr_random_i16,SmallRng,Canon32-Un,,,8256880.0,ns,132888
distr_random_i16,SmallRng,Canon32-Un,,,8442380.0,ns,136052
distr_random_i16,SmallRng,Canon32-Un,,,8637707.0,ns,139216
distr_random_i16,SmallRng,Canon32-Un,,,8833596.0,ns,142380
distr_random_i16,SmallRng,Canon32-Un,,,9028703.0,ns,145544
distr_random_i16,SmallRng,Canon32-Un,,,9224582.0,ns,148708
distr_random_i16,SmallRng,Canon32-Un,,,9423626.0,ns,151872
distr_random_i16,SmallRng,Canon32-Un,,,9621219.0,ns,155036
distr_random_i16,SmallRng,Canon32-Un,,,9822328.0,ns,158200
distr_random_i16,SmallRng,Canon32-Un,,,10010111.0,ns,161364
distr_random_i16,SmallRng,Canon32-Un,,,10208004.0,ns,164528
distr_random_i16,SmallRng,Canon32-Un,,,10402329.0,ns,167692
distr_random_i16,SmallRng,Canon32-Un,,,10599732.0,ns,170856
distr_random_i16,SmallRng,Canon32-Un,,,10794709.0,ns,174020
distr_random_i16,SmallRng,Canon32-Un,,,10992781.0,ns,177184
distr_random_i16,SmallRng,Canon32-Un,,,11189162.0,ns,180348
distr_random_i16,SmallRng,Canon32-Un,,,11383608.0,ns,183512
distr_random_i16,SmallRng,Canon32-Un,,,11581181.0,ns,186676
distr_random_i16,SmallRng,Canon32-Un,,,11775456.0,ns,189840
distr_random_i16,SmallRng,Canon32-Un,,,11973399.0,ns,193004
