group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i16,SmallRng,Lemire,,,197833.0,ns,3573
distr_random_i16,SmallRng,Lemire,,,395635.0,ns,7146
distr_random_i16,SmallRng,Lemire,,,594670.0,ns,10719
distr_random_i16,SmallRng,Lemire,,,792172.0,ns,14292
distr_random_i16,SmallRng,Lemire,,,990184.0,ns,17865
distr_random_i16,SmallRng,Lemire,,,1187927.0,ns,21438
distr_random_i16,SmallRng,Lemire,,,1385198.0,ns,25011
distr_random_i16,SmallRng,Lemire,,,1584644.0,ns,28584
distr_random_i16,SmallRng,Lemire,,,1782457.0,ns,32157
distr_random_i16,SmallRng,Lemire,,,1979929.0,ns,35730
distr_random_i16,SmallRng,Lemire,,,2178463.0,ns,39303
distr_random_i16,SmallRng,Lemire,,,2376255.0,ns,42876
distr_random_i16,SmallRng,Lemire,,,2574989.0,ns,46449
distr_random_i16,SmallRng,Lemire,,,2771960.0,ns,50022
distr_random_i16,SmallRng,Lemire,,,2970473.0,ns,53595
distr_random_i16,SmallRng,Lemire,,,3168187.0,ns,57168
distr_random_i16,SmallRng,Lemire,,,3364907.0,ns,60741
distr_random_i16,SmallRng,Lemire,,,3564292.0,ns,64314
distr_random_i16,SmallRng,Lemire,,,3761173.0,ns,67887
distr_random_i16,SmallRng,Lemire,,,3959106.0,ns,71460
distr_random_i16,SmallRng,Lemire,,,4158211.0,ns,75033
distr_random_i16,SmallRng,Lemire,,,4355783.0,ns,78606
distr_random_i16,SmallRng,Lemire,,,4554107.0,ns,82179
distr_random_i16,SmallRng,Lemire,,,4750506.0,ns,85752
distr_random_i16,SmallRng,Lemire,,,4949882.0,ns,89325
distr_random_i16,SmallRng,Lemire,,,5146963.0,ns,92898
distr_random_i16,SmallRng,Lemire,,,5347169.0,ns,96471
distr_random_i16,SmallRng,Lemire,,,5543139.0,ns,100044
distr_random_i16,SmallRng,Lemire,,,5742104.0,ns,103617
distr_random_i16,SmallRng,Lemire,,,5939114.0,ns,107190
distr_random_i16,SmallRng,Lemire,,,6137368.0,ns,110763
distr_random_i16,SmallRng,Lemire,,,6335581.0,ns,114336
distr_random_i16,SmallRng,Lemire,,,6532653.0,ns,117909
distr_random_i16,SmallRng,Lemire,,,6731798.0,ns,121482
distr_random_i16,SmallRng,Lemire,,,6929670.0,ns,125055
distr_random_i16,SmallRng,Lemire,,,7127032.0,ns,128628
distr_random_i16,SmallRng,Lemire,,,7324664.0,ns,132201
distr_random_i16,SmallRng,Lemire,,,7524119.0,ns,135774
distr_random_i16,SmallRng,Lemire,,,7719898.0,ns,139347
distr_random_i16,SmallRng,Lemire,,,7919544.0,ns,142920
distr_random_i16,SmallRng,Lemire,,,8117147.0,ns,146493
distr_random_i16,SmallRng,Lemire,,,8315831.0,ns,150066
distr_random_i16,SmallRng,Lemire,,,8512461.0,ns,153639
distr_random_i16,SmallRng,Lemire,,,8710984.0,ns,157212
distr_random_i16,SmallRng,Lemire,,,8909899.0,ns,160785
distr_random_i16,SmallRng,Lemire,,,9107621.0,ns,164358
distr_random_i16,SmallRng,Lemire,,,9306366.0,ns,167931
distr_random_i16,SmallRng,Lemire,,,9505101.0,ns,171504
distr_random_i16,SmallRng,Lemire,,,9916004.0,ns,175077
distr_random_i16,SmallRng,Lemire,,,9931513.0,ns,178650
distr_random_i16,SmallRng,Lemire,,,10108757.0,ns,182223
distr_random_i16,SmallRng,Lemire,,,10296440.0,ns,185796
distr_random_i16,SmallRng,Lemire,,,10493401.0,ns,189369
distr_random_i16,SmallRng,Lemire,,,10691183.0,ns,192942
distr_random_i16,SmallRng,Lemire,,,10888746.0,ns,196515
