group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,ChaCha8Rng,Biased64,,,200989.0,ns,2378
distr_random_i32,ChaCha8Rng,Biased64,,,396015.0,ns,4756
distr_random_i32,ChaCha8Rng,Biased64,,,588699.0,ns,7134
distr_random_i32,ChaCha8Rng,Biased64,,,787994.0,ns,9512
distr_random_i32,ChaCha8Rng,Biased64,,,986779.0,ns,11890
distr_random_i32,ChaCha8Rng,Biased64,,,1182617.0,ns,14268
distr_random_i32,ChaCha8Rng,Biased64,,,1383035.0,ns,16646
distr_random_i32,ChaCha8Rng,Biased64,,,1571961.0,ns,19024
distr_random_i32,ChaCha8Rng,Biased64,,,1769232.0,ns,21402
distr_random_i32,ChaCha8Rng,Biased64,,,2039460.0,ns,23780
distr_random_i32,ChaCha8Rng,Biased64,,,2173794.0,ns,26158
distr_random_i32,ChaCha8Rng,Biased64,,,2371687.0,ns,28536
distr_random_i32,ChaCha8Rng,Biased64,,,2559791.0,ns,30914
distr_random_i32,ChaCha8Rng,Biased64,,,2759717.0,ns,33292
distr_random_i32,ChaCha8Rng,Biased64,,,2957220.0,ns,35670
distr_random_i32,ChaCha8Rng,Biased64,,,3151696.0,ns,38048
distr_random_i32,ChaCha8Rng,Biased64,,,3342004.0,ns,40426
distr_random_i32,ChaCha8Rng,Biased64,,,3543122.0,ns,42804
distr_random_i32,ChaCha8Rng,Biased64,,,3741876.0,ns,45182
distr_random_i32,ChaCha8Rng,Biased64,,,4024910.0,ns,47560
distr_random_i32,ChaCha8Rng,Biased64,,,4140097.0,ns,49938
distr_random_i32,ChaCha8Rng,Biased64,,,4323903.0,ns,52316
distr_random_i32,ChaCha8Rng,Biased64,,,4532415.0,ns,54694
distr_random_i32,ChaCha8Rng,Biased64,,,4722263.0,ns,57072
distr_random_i32,ChaCha8Rng,Biased64,,,4912562.0,ns,59450
distr_random_i32,ChaCha8Rng,Biased64,,,5117147.0,ns,61828
distr_random_i32,ChaCha8Rng,Biased64,,,5306834.0,ns,64206
distr_random_i32,ChaCha8Rng,Biased64,,,5493846.0,ns,66584
distr_random_i32,ChaCha8Rng,Biased64,,,5693772.0,ns,68962
distr_random_i32,ChaCha8Rng,Biased64,,,5883630.0,ns,71340
distr_random_i32,ChaCha8Rng,Biased64,,,6078126.0,ns,73718
distr_random_i32,ChaCha8Rng,Biased64,,,6264327.0,ns,76096
distr_random_i32,ChaCha8Rng,Biased64,,,6487448.0,ns,78474
distr_random_i32,ChaCha8Rng,Biased64,,,6641888.0,ns,80852
distr_random_i32,ChaCha8Rng,Biased64,,,6834271.0,ns,83230
distr_random_i32,ChaCha8Rng,Biased64,,,7037343.0,ns,85608
distr_random_i32,ChaCha8Rng,Biased64,,,7234223.0,ns,87986
distr_random_i32,ChaCha8Rng,Biased64,,,7442406.0,ns,90364
distr_random_i32,ChaCha8Rng,Biased64,,,7637833.0,ns,92742
distr_random_i32,ChaCha8Rng,Biased64,,,7833231.0,ns,95120
distr_random_i32,ChaCha8Rng,Biased64,,,8043939.0,ns,97498
distr_random_i32,ChaCha8Rng,Biased64,,,8216072.0,ns,99876
distr_random_i32,ChaCha8Rng,Biased64,,,8451035.0,ns,102254
distr_random_i32,ChaCha8Rng,Biased64,,,8633459.0,ns,104632
distr_random_i32,ChaCha8Rng,Biased64,,,8815481.0,ns,107010
distr_random_i32,ChaCha8Rng,Biased64,,,9003866.0,ns,109388
distr_random_i32,ChaCha8Rng,Biased64,,,9188804.0,ns,111766
distr_random_i32,ChaCha8Rng,Biased64,,,9394121.0,ns,114144
distr_random_i32,ChaCha8Rng,Biased64,,,9575593.0,ns,116522
distr_random_i32,ChaCha8Rng,Biased64,,,9783445.0,ns,118900
