group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,ChaCha8Rng,Canon-Un,,,197853.0,ns,1955
distr_random_i32,ChaCha8Rng,Canon-Un,,,396236.0,ns,3910
distr_random_i32,ChaCha8Rng,Canon-Un,,,589540.0,ns,5865
distr_random_i32,ChaCha8Rng,Canon-Un,,,786170.0,ns,7820
distr_random_i32,ChaCha8Rng,Canon-Un,,,983111.0,ns,9775
distr_random_i32,ChaCha8Rng,Canon-Un,,,1182376.0,ns,11730
distr_random_i32,ChaCha8Rng,Canon-Un,,,1380590.0,ns,13685
distr_random_i32,ChaCha8Rng,Canon-Un,,,1579605.0,ns,15640
distr_random_i32,ChaCha8Rng,Canon-Un,,,1776816.0,ns,17595
distr_random_i32,ChaCha8Rng,Canon-Un,,,1975039.0,ns,19550
distr_random_i32,ChaCha8Rng,Canon-Un,,,2198300.0,ns,21505
distr_random_i32,ChaCha8Rng,Canon-Un,,,2466656.0,ns,23460
distr_random_i32,ChaCha8Rng,Canon-Un,,,2569419.0,ns,25415
distr_random_i32,ChaCha8Rng,Canon-Un,,,2754848.0,ns,27370
distr_random_i32,ChaCha8Rng,Canon-Un,,,2953131.0,ns,29325
distr_random_i32,ChaCha8Rng,Canon-Un,,,3149993.0,ns,31280
distr_random_i32,ChaCha8Rng,Canon-Un,,,3355890.0,ns,33235
distr_random_i32,ChaCha8Rng,Canon-Un,,,3547841.0,ns,35190
distr_random_i32,ChaCha8Rng,Canon-Un,,,3758077.0,ns,37145
distr_random_i32,ChaCha8Rng,Canon-Un,,,4000213.0,ns,39100
distr_random_i32,ChaCha8Rng,Canon-Un,,,4146909.0,ns,41055
distr_random_i32,ChaCha8Rng,Canon-Un,,,4323732.0,ns,43010
distr_random_i32,ChaCha8Rng,Canon-Un,,,4533908.0,ns,44965
distr_random_i32,ChaCha8Rng,Canon-Un,,,4722403.0,ns,46920
distr_random_i32,ChaCha8Rng,Canon-Un,,,4925065.0,ns,48875
distr_random_i32,ChaCha8Rng,Canon-Un,,,5137945.0,ns,50830
distr_random_i32,ChaCha8Rng,Canon-Un,,,5340938.0,ns,52785
distr_random_i32,ChaCha8Rng,Canon-Un,,,5526027.0,ns,54740
distr_random_i32,ChaCha8Rng,Canon-Un,,,5739589.0,ns,56695
distr_random_i32,ChaCha8Rng,Canon-Un,,,5945947.0,ns,58650
distr_random_i32,ChaCha8Rng,Canon-Un,,,6156254.0,ns,60605
distr_random_i32,ChaCha8Rng,Canon-Un,,,6298101.0,ns,62560
distr_random_i32,ChaCha8Rng,Canon-Un,,,6502816.0,ns,64515
distr_random_i32,ChaCha8Rng,Canon-Un,,,6710999.0,ns,66470
distr_random_i32,ChaCha8Rng,Canon-Un,,,6917327.0,ns,68425
distr_random_i32,ChaCha8Rng,Canon-Un,,,7098758.0,ns,70380
distr_random_i32,ChaCha8Rng,Canon-Un,,,7248390.0,ns,72335
distr_random_i32,ChaCha8Rng,Canon-Un,,,7485246.0,ns,74290
distr_random_i32,ChaCha8Rng,Canon-Un,,,7647482.0,ns,76245
distr_random_i32,ChaCha8Rng,Canon-Un,,,7848059.0,ns,78200
distr_random_i32,ChaCha8Rng,Canon-Un,,,8037426.0,ns,80155
distr_random_i32,ChaCha8Rng,Canon-Un,,,8247752.0,ns,82110
distr_random_i32,ChaCha8Rng,Canon-Un,,,8428372.0,ns,84065
distr_random_i32,ChaCha8Rng,Canon-Un,,,8633519.0,ns,86020
