group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i32,Pcg64,Canon,,,197792.0,ns,2553
distr_random_i32,Pcg64,Canon,,,396897.0,ns,5106
distr_random_i32,Pcg64,Canon,,,593327.0,ns,7659
distr_random_i32,Pcg64,Canon,,,792222.0,ns,10212
distr_random_i32,Pcg64,Canon,,,989854.0,ns,12765
distr_random_i32,Pcg64,Canon,,,1187716.0,ns,15318
distr_random_i32,Pcg64,Canon,,,1386461.0,ns,17871
distr_random_i32,Pcg64,Canon,,,1583161.0,ns,20424
distr_random_i32,Pcg64,Canon,,,1781966.0,ns,22977
distr_random_i32,Pcg64,Canon,,,1979869.0,ns,25530
distr_random_i32,Pcg64,Canon,,,2178322.0,ns,28083
distr_random_i32,Pcg64,Canon,,,2376726.0,ns,30636
distr_random_i32,Pcg64,Canon,,,2573407.0,ns,33189
distr_random_i32,Pcg64,Canon,,,2771890.0,ns,35742
distr_random_i32,Pcg64,Canon,,,2970153.0,ns,38295
distr_random_i32,Pcg64,Canon,,,3167956.0,ns,40848
distr_random_i32,Pcg64,Canon,,,3365047.0,ns,43401
distr_random_i32,Pcg64,Canon,,,3563761.0,ns,45954
distr_random_i32,Pcg64,Canon,,,3761584.0,ns,48507
distr_random_i32,Pcg64,Canon,,,3959497.0,ns,51060
distr_random_i32,Pcg64,Canon,,,4157099.0,ns,53613
distr_random_i32,Pcg64,Canon,,,4354921.0,ns,56166
distr_random_i32,Pcg64,Canon,,,4553675.0,ns,58719
distr_random_i32,Pcg64,Canon,,,4757018.0,ns,61272
distr_random_i32,Pcg64,Canon,,,4948338.0,ns,63825
distr_random_i32,Pcg64,Canon,,,5147935.0,ns,66378
distr_random_i32,Pcg64,Canon,,,5344695.0,ns,68931
distr_random_i32,Pcg64,Canon,,,5543399.0,ns,71484
distr_random_i32,Pcg64,Canon,,,5740260.0,ns,74037
distr_random_i32,Pcg64,Canon,,,5939666.0,ns,76590
distr_random_i32,Pcg64,Canon,,,6136657.0,ns,79143
distr_random_i32,Pcg64,Canon,,,6335571.0,ns,81696
distr_random_i32,Pcg64,Canon,,,6532382.0,ns,84249
distr_random_i32,Pcg64,Canon,,,6730926.0,ns,86802
distr_random_i32,Pcg64,Canon,,,6929419.0,ns,89355
distr_random_i32,Pcg64,Canon,,,7127823.0,ns,91908
