group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,ChaCha8Rng,Canon-Red,,,175400.0,ns,1006
distr_random_i64,ChaCha8Rng,Canon-Red,,,263456.0,ns,2012
distr_random_i64,ChaCha8Rng,Canon-Red,,,265329.0,ns,3018
distr_random_i64,ChaCha8Rng,Canon-Red,,,930612.0,ns,4024
distr_random_i64,ChaCha8Rng,Canon-Red,,,1305338.0,ns,5030
distr_random_i64,ChaCha8Rng,Canon-Red,,,671394.0,ns,6036
distr_random_i64,ChaCha8Rng,Canon-Red,,,1109389.0,ns,7042
distr_random_i64,ChaCha8Rng,Canon-Red,,,1714509.0,ns,8048
distr_random_i64,ChaCha8Rng,Canon-Red,,,1077379.0,ns,9054
distr_random_i64,ChaCha8Rng,Canon-Red,,,1258831.0,ns,10060
distr_random_i64,ChaCha8Rng,Canon-Red,,,1682088.0,ns,11066
distr_random_i64,ChaCha8Rng,Canon-Red,,,2616407.0,ns,12072
distr_random_i64,ChaCha8Rng,Canon-Red,,,1748773.0,ns,13078
distr_random_i64,ChaCha8Rng,Canon-Red,,,3591554.0,ns,14084
distr_random_i64,ChaCha8Rng,Canon-Red,,,2687431.0,ns,15090
distr_random_i64,ChaCha8Rng,Canon-Red,,,4203997.0,ns,16096
distr_random_i64,ChaCha8Rng,Canon-Red,,,1920557.0,ns,17102
distr_random_i64,ChaCha8Rng,Canon-Red,,,2038599.0,ns,18108
distr_random_i64,ChaCha8Rng,Canon-Red,,,2906253.0,ns,19114
distr_random_i64,ChaCha8Rng,Canon-Red,,,5133378.0,ns,20120
distr_random_i64,ChaCha8Rng,Canon-Red,,,3973323.0,ns,21126
distr_random_i64,ChaCha8Rng,Canon-Red,,,5361086.0,ns,22132
distr_random_i64,ChaCha8Rng,Canon-Red,,,4388305.0,ns,23138
distr_random_i64,ChaCha8Rng,Canon-Red,,,3741126.0,ns,24144
distr_random_i64,ChaCha8Rng,Canon-Red,,,2700556.0,ns,25150
distr_random_i64,ChaCha8Rng,Canon-Red,,,4361383.0,ns,26156
distr_random_i64,ChaCha8Rng,Canon-Red,,,3203402.0,ns,27162
distr_random_i64,ChaCha8Rng,Canon-Red,,,6381237.0,ns,28168
distr_random_i64,ChaCha8Rng,Canon-Red,,,4363387.0,ns,29174
distr_random_i64,ChaCha8Rng,Canon-Red,,,4194529.0,ns,30180
distr_random_i64,ChaCha8Rng,Canon-Red,,,8021667.0,ns,31186
distr_random_i64,ChaCha8Rng,Canon-Red,,,5506129.0,ns,32192
distr_random_i64,ChaCha8Rng,Canon-Red,,,4735999.0,ns,33198
distr_random_i64,ChaCha8Rng,Canon-Red,,,4061429.0,ns,34204
distr_random_i64,ChaCha8Rng,Canon-Red,,,4977474.0,ns,35210
distr_random_i64,ChaCha8Rng,Canon-Red,,,4581829.0,ns,36216
distr_random_i64,ChaCha8Rng,Canon-Red,,,3177774.0,ns,37222
distr_random_i64,ChaCha8Rng,Canon-Red,,,9311746.0,ns,38228
distr_random_i64,ChaCha8Rng,Canon-Red,,,4874088.0,ns,39234
distr_random_i64,ChaCha8Rng,Canon-Red,,,7039367.0,ns,40240
distr_random_i64,ChaCha8Rng,Canon-Red,,,10357445.0,ns,41246
distr_random_i64,ChaCha8Rng,Canon-Red,,,6823160.0,ns,42252
distr_random_i64,ChaCha8Rng,Canon-Red,,,5802989.0,ns,43258
distr_random_i64,ChaCha8Rng,Canon-Red,,,11470902.0,ns,44264
distr_random_i64,ChaCha8Rng,Canon-Red,,,9198674.0,ns,45270
distr_random_i64,ChaCha8Rng,Canon-Red,,,5339255.0,ns,46276
distr_random_i64,ChaCha8Rng,Canon-Red,,,11150028.0,ns,47282
distr_random_i64,ChaCha8Rng,Canon-Red,,,7385378.0,ns,48288
distr_random_i64,ChaCha8Rng,Canon-Red,,,5599665.0,ns,49294
distr_random_i64,ChaCha8Rng,Canon-Red,,,4576759.0,ns,50300
distr_random_i64,ChaCha8Rng,Canon-Red,,,8759245.0,ns,51306
distr_random_i64,ChaCha8Rng,Canon-Red,,,11773873.0,ns,52312
distr_random_i64,ChaCha8Rng,Canon-Red,,,10754814.0,ns,53318
distr_random_i64,ChaCha8Rng,Canon-Red,,,9463602.0,ns,54324
distr_random_i64,ChaCha8Rng,Canon-Red,,,7797645.0,ns,55330
distr_random_i64,ChaCha8Rng,Canon-Red,,,5582823.0,ns,56336
