group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,235564.0,ns,1062
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,287893.0,ns,2124
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,944850.0,ns,3186
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1222003.0,ns,4248
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,613226.0,ns,5310
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2241273.0,ns,6372
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1168492.0,ns,7434
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1341748.0,ns,8496
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,942696.0,ns,9558
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2595821.0,ns,10620
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2946211.0,ns,11682
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1742824.0,ns,12744
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3833784.0,ns,13806
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,1644368.0,ns,14868
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2394592.0,ns,15930
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,4918858.0,ns,16992
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2304262.0,ns,18054
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,6648588.0,ns,19116
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2193543.0,ns,20178
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,4905463.0,ns,21240
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,2225453.0,ns,22302
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,8061821.0,ns,23364
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5284066.0,ns,24426
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,3170304.0,ns,25488
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,4650823.0,ns,26550
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,8950735.0,ns,27612
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,7907369.0,ns,28674
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,10190281.0,ns,29736
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,6757262.0,ns,30798
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,4588466.0,ns,31860
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5206439.0,ns,32922
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,10670365.0,ns,33984
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,4668747.0,ns,35046
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,7297940.0,ns,36108
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,6658606.0,ns,37170
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5615440.0,ns,38232
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,11539002.0,ns,39294
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,6334816.0,ns,40356
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,6990322.0,ns,41418
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,6279743.0,ns,42480
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,8865755.0,ns,43542
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,6600186.0,ns,44604
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,8641513.0,ns,45666
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5787464.0,ns,46728
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,6156370.0,ns,47790
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5263368.0,ns,48852
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,15125350.0,ns,49914
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,9649672.0,ns,50976
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,5861935.0,ns,52038
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,7878595.0,ns,53100
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,17939783.0,ns,54162
distr_random_i64,ChaCha8Rng,Canon-Unbiased,,,16728861.0,ns,55224
