group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,ChaCha8Rng,Canon32-2,,,255161.0,ns,734
distr_random_i64,ChaCha8Rng,Canon32-2,,,139223.0,ns,1468
distr_random_i64,ChaCha8Rng,Canon32-2,,,277703.0,ns,2202
distr_random_i64,ChaCha8Rng,Canon32-2,,,986408.0,ns,2936
distr_random_i64,ChaCha8Rng,Canon32-2,,,1243764.0,ns,3670
distr_random_i64,ChaCha8Rng,Canon32-2,,,1128215.0,ns,4404
distr_random_i64,ChaCha8Rng,Canon32-2,,,467451.0,ns,5138
distr_random_i64,ChaCha8Rng,Canon32-2,,,1013439.0,ns,5872
distr_random_i64,ChaCha8Rng,Canon32-2,,,640196.0,ns,6606
distr_random_i64,ChaCha8Rng,Canon32-2,,,1549870.0,ns,7340
distr_random_i64,ChaCha8Rng,Canon32-2,,,2793774.0,ns,8074
distr_random_i64,ChaCha8Rng,Canon32-2,,,1026525.0,ns,8808
distr_random_i64,ChaCha8Rng,Canon32-2,,,1641814.0,ns,9542
distr_random_i64,ChaCha8Rng,Canon32-2,,,3287074.0,ns,10276
distr_random_i64,ChaCha8Rng,Canon32-2,,,1035100.0,ns,11010
distr_random_i64,ChaCha8Rng,Canon32-2,,,2956029.0,ns,11744
distr_random_i64,ChaCha8Rng,Canon32-2,,,1908366.0,ns,12478
distr_random_i64,ChaCha8Rng,Canon32-2,,,4571083.0,ns,13212
distr_random_i64,ChaCha8Rng,Canon32-2,,,1558256.0,ns,13946
distr_random_i64,ChaCha8Rng,Canon32-2,,,1773451.0,ns,14680
distr_random_i64,ChaCha8Rng,Canon32-2,,,2236103.0,ns,15414
distr_random_i64,ChaCha8Rng,Canon32-2,,,1554960.0,ns,16148
distr_random_i64,ChaCha8Rng,Canon32-2,,,5685333.0,ns,16882
distr_random_i64,ChaCha8Rng,Canon32-2,,,6015975.0,ns,17616
distr_random_i64,ChaCha8Rng,Canon32-2,,,4872630.0,ns,18350
distr_random_i64,ChaCha8Rng,Canon32-2,,,3296902.0,ns,19084
distr_random_i64,ChaCha8Rng,Canon32-2,,,3535742.0,ns,19818
distr_random_i64,ChaCha8Rng,Canon32-2,,,3479958.0,ns,20552
distr_random_i64,ChaCha8Rng,Canon32-2,,,2336122.0,ns,21286
distr_random_i64,ChaCha8Rng,Canon32-2,,,5832940.0,ns,22020
distr_random_i64,ChaCha8Rng,Canon32-2,,,5881311.0,ns,22754
distr_random_i64,ChaCha8Rng,Canon32-2,,,5214034.0,ns,23488
distr_random_i64,ChaCha8Rng,Canon32-2,,,5541321.0,ns,24222
distr_random_i64,ChaCha8Rng,Canon32-2,,,6073795.0,ns,24956
distr_random_i64,ChaCha8Rng,Canon32-2,,,3918223.0,ns,25690
distr_random_i64,ChaCha8Rng,Canon32-2,,,5127641.0,ns,26424
distr_random_i64,ChaCha8Rng,Canon32-2,,,5180752.0,ns,27158
distr_random_i64,ChaCha8Rng,Canon32-2,,,9298260.0,ns,27892
distr_random_i64,ChaCha8Rng,Canon32-2,,,9453873.0,ns,28626
distr_random_i64,ChaCha8Rng,Canon32-2,,,7521152.0,ns,29360
distr_random_i64,ChaCha8Rng,Canon32-2,,,5022153.0,ns,30094
distr_random_i64,ChaCha8Rng,Canon32-2,,,10268718.0,ns,30828
distr_random_i64,ChaCha8Rng,Canon32-2,,,6975183.0,ns,31562
distr_random_i64,ChaCha8Rng,Canon32-2,,,4832145.0,ns,32296
distr_random_i64,ChaCha8Rng,Canon32-2,,,4587073.0,ns,33030
distr_random_i64,ChaCha8Rng,Canon32-2,,,4340589.0,ns,33764
distr_random_i64,ChaCha8Rng,Canon32-2,,,3980680.0,ns,34498
