group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,Pcg32,Canon-Red-Un,,,149612.0,ns,1458
distr_random_i64,Pcg32,Canon-Red-Un,,,995305.0,ns,2916
distr_random_i64,Pcg32,Canon-Red-Un,,,1794830.0,ns,4374
distr_random_i64,Pcg32,Canon-Red-Un,,,623595.0,ns,5832
distr_random_i64,Pcg32,Canon-Red-Un,,,2209090.0,ns,7290
distr_random_i64,Pcg32,Canon-Red-Un,,,2840379.0,ns,8748
distr_random_i64,Pcg32,Canon-Red-Un,,,3900225.0,ns,10206
distr_random_i64,Pcg32,Canon-Red-Un,,,1857198.0,ns,11664
distr_random_i64,Pcg32,Canon-Red-Un,,,3770391.0,ns,13122
distr_random_i64,Pcg32,Canon-Red-Un,,,1751428.0,ns,14580
distr_random_i64,Pcg32,Canon-Red-Un,,,1696595.0,ns,16038
distr_random_i64,Pcg32,Canon-Red-Un,,,3373693.0,ns,17496
distr_random_i64,Pcg32,Canon-Red-Un,,,2886747.0,ns,18954
distr_random_i64,Pcg32,Canon-Red-Un,,,2087571.0,ns,20412
distr_random_i64,Pcg32,Canon-Red-Un,,,6072176.0,ns,21870
distr_random_i64,Pcg32,Canon-Red-Un,,,4163651.0,ns,23328
distr_random_i64,Pcg32,Canon-Red-Un,,,2495399.0,ns,24786
distr_random_i64,Pcg32,Canon-Red-Un,,,4285660.0,ns,26244
distr_random_i64,Pcg32,Canon-Red-Un,,,3136627.0,ns,27702
distr_random_i64,Pcg32,Canon-Red-Un,,,3371389.0,ns,29160
distr_random_i64,Pcg32,Canon-Red-Un,,,10584022.0,ns,30618
distr_random_i64,Pcg32,Canon-Red-Un,,,3967762.0,ns,32076
distr_random_i64,Pcg32,Canon-Red-Un,,,10067088.0,ns,33534
distr_random_i64,Pcg32,Canon-Red-Un,,,13777406.0,ns,34992
distr_random_i64,Pcg32,Canon-Red-Un,,,4795361.0,ns,36450
distr_random_i64,Pcg32,Canon-Red-Un,,,7699529.0,ns,37908
distr_random_i64,Pcg32,Canon-Red-Un,,,4153462.0,ns,39366
distr_random_i64,Pcg32,Canon-Red-Un,,,4437688.0,ns,40824
distr_random_i64,Pcg32,Canon-Red-Un,,,5467537.0,ns,42282
distr_random_i64,Pcg32,Canon-Red-Un,,,5536366.0,ns,43740
distr_random_i64,Pcg32,Canon-Red-Un,,,5560682.0,ns,45198
distr_random_i64,Pcg32,Canon-Red-Un,,,18693394.0,ns,46656
distr_random_i64,Pcg32,Canon-Red-Un,,,11883208.0,ns,48114
distr_random_i64,Pcg32,Canon-Red-Un,,,7297212.0,ns,49572
distr_random_i64,Pcg32,Canon-Red-Un,,,10908724.0,ns,51030
distr_random_i64,Pcg32,Canon-Red-Un,,,19335172.0,ns,52488
distr_random_i64,Pcg32,Canon-Red-Un,,,22133933.0,ns,53946
distr_random_i64,Pcg32,Canon-Red-Un,,,7109489.0,ns,55404
distr_random_i64,Pcg32,Canon-Red-Un,,,20273570.0,ns,56862
distr_random_i64,Pcg32,Canon-Red-Un,,,6196228.0,ns,58320
distr_random_i64,Pcg32,Canon-Red-Un,,,13604510.0,ns,59778
distr_random_i64,Pcg32,Canon-Red-Un,,,23373226.0,ns,61236
distr_random_i64,Pcg32,Canon-Red-Un,,,7697356.0,ns,62694
distr_random_i64,Pcg32,Canon-Red-Un,,,7930575.0,ns,64152
distr_random_i64,Pcg32,Canon-Red-Un,,,10833332.0,ns,65610
distr_random_i64,Pcg32,Canon-Red-Un,,,6288242.0,ns,67068
distr_random_i64,Pcg32,Canon-Red-Un,,,8368620.0,ns,68526
distr_random_i64,Pcg32,Canon-Red-Un,,,25818402.0,ns,69984
distr_random_i64,Pcg32,Canon-Red-Un,,,27435587.0,ns,71442
distr_random_i64,Pcg32,Canon-Red-Un,,,27678033.0,ns,72900
distr_random_i64,Pcg32,Canon-Red-Un,,,8463318.0,ns,74358
distr_random_i64,Pcg32,Canon-Red-Un,,,25373614.0,ns,75816
distr_random_i64,Pcg32,Canon-Red-Un,,,8804311.0,ns,77274
distr_random_i64,Pcg32,Canon-Red-Un,,,30394921.0,ns,78732
distr_random_i64,Pcg32,Canon-Red-Un,,,11145109.0,ns,80190
distr_random_i64,Pcg32,Canon-Red-Un,,,17489798.0,ns,81648
distr_random_i64,Pcg32,Canon-Red-Un,,,22906919.0,ns,83106
distr_random_i64,Pcg32,Canon-Red-Un,,,15527502.0,ns,84564
distr_random_i64,Pcg32,Canon-Red-Un,,,12061715.0,ns,86022
distr_random_i64,Pcg32,Canon-Red-Un,,,13129045.0,ns,87480
distr_random_i64,Pcg32,Canon-Red-Un,,,9478070.0,ns,88938
distr_random_i64,Pcg32,Canon-Red-Un,,,36006749.0,ns,90396
distr_random_i64,Pcg32,Canon-Red-Un,,,32557353.0,ns,91854
distr_random_i64,Pcg32,Canon-Red-Un,,,11168794.0,ns,93312
distr_random_i64,Pcg32,Canon-Red-Un,,,13088469.0,ns,94770
distr_random_i64,Pcg32,Canon-Red-Un,,,36705234.0,ns,96228
distr_random_i64,Pcg32,Canon-Red-Un,,,14012188.0,ns,97686
distr_random_i64,Pcg32,Canon-Red-Un,,,13158781.0,ns,99144
distr_random_i64,Pcg32,Canon-Red-Un,,,11096908.0,ns,100602
distr_random_i64,Pcg32,Canon-Red-Un,,,31679510.0,ns,102060
distr_random_i64,Pcg32,Canon-Red-Un,,,9769298.0,ns,103518
distr_random_i64,Pcg32,Canon-Red-Un,,,24099825.0,ns,104976
distr_random_i64,Pcg32,Canon-Red-Un,,,21827977.0,ns,106434
distr_random_i64,Pcg32,Canon-Red-Un,,,11947930.0,ns,107892
distr_random_i64,Pcg32,Canon-Red-Un,,,32557122.0,ns,109350
