group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,Pcg32,Canon-Red,,,347114.0,ns,1562
distr_random_i64,Pcg32,Canon-Red,,,715347.0,ns,3124
distr_random_i64,Pcg32,Canon-Red,,,821296.0,ns,4686
distr_random_i64,Pcg32,Canon-Red,,,1041812.0,ns,6248
distr_random_i64,Pcg32,Canon-Red,,,1717254.0,ns,7810
distr_random_i64,Pcg32,Canon-Red,,,912909.0,ns,9372
distr_random_i64,Pcg32,Canon-Red,,,1824085.0,ns,10934
distr_random_i64,Pcg32,Canon-Red,,,1387393.0,ns,12496
distr_random_i64,Pcg32,Canon-Red,,,1907071.0,ns,14058
distr_random_i64,Pcg32,Canon-Red,,,2272660.0,ns,15620
distr_random_i64,Pcg32,Canon-Red,,,3348115.0,ns,17182
distr_random_i64,Pcg32,Canon-Red,,,2353362.0,ns,18744
distr_random_i64,Pcg32,Canon-Red,,,4059074.0,ns,20306
distr_random_i64,Pcg32,Canon-Red,,,4938340.0,ns,21868
distr_random_i64,Pcg32,Canon-Red,,,2723590.0,ns,23430
distr_random_i64,Pcg32,Canon-Red,,,2925159.0,ns,24992
distr_random_i64,Pcg32,Canon-Red,,,4618378.0,ns,26554
distr_random_i64,Pcg32,Canon-Red,,,3461690.0,ns,28116
distr_random_i64,Pcg32,Canon-Red,,,6221286.0,ns,29678
distr_random_i64,Pcg32,Canon-Red,,,3111219.0,ns,31240
distr_random_i64,Pcg32,Canon-Red,,,4676878.0,ns,32802
distr_random_i64,Pcg32,Canon-Red,,,6869948.0,ns,34364
distr_random_i64,Pcg32,Canon-Red,,,4416877.0,ns,35926
distr_random_i64,Pcg32,Canon-Red,,,3998710.0,ns,37488
distr_random_i64,Pcg32,Canon-Red,,,4515233.0,ns,39050
distr_random_i64,Pcg32,Canon-Red,,,6049934.0,ns,40612
distr_random_i64,Pcg32,Canon-Red,,,6024205.0,ns,42174
distr_random_i64,Pcg32,Canon-Red,,,5961517.0,ns,43736
distr_random_i64,Pcg32,Canon-Red,,,9418858.0,ns,45298
distr_random_i64,Pcg32,Canon-Red,,,9456909.0,ns,46860
distr_random_i64,Pcg32,Canon-Red,,,11447919.0,ns,48422
distr_random_i64,Pcg32,Canon-Red,,,4670716.0,ns,49984
distr_random_i64,Pcg32,Canon-Red,,,11733697.0,ns,51546
distr_random_i64,Pcg32,Canon-Red,,,6025999.0,ns,53108
distr_random_i64,Pcg32,Canon-Red,,,9958144.0,ns,54670
distr_random_i64,Pcg32,Canon-Red,,,12458963.0,ns,56232
distr_random_i64,Pcg32,Canon-Red,,,7648543.0,ns,57794
distr_random_i64,Pcg32,Canon-Red,,,6061836.0,ns,59356
distr_random_i64,Pcg32,Canon-Red,,,5738738.0,ns,60918
distr_random_i64,Pcg32,Canon-Red,,,6403329.0,ns,62480
distr_random_i64,Pcg32,Canon-Red,,,13203525.0,ns,64042
distr_random_i64,Pcg32,Canon-Red,,,13982753.0,ns,65604
distr_random_i64,Pcg32,Canon-Red,,,14563256.0,ns,67166
distr_random_i64,Pcg32,Canon-Red,,,6626839.0,ns,68728
distr_random_i64,Pcg32,Canon-Red,,,9586604.0,ns,70290
distr_random_i64,Pcg32,Canon-Red,,,11706586.0,ns,71852
distr_random_i64,Pcg32,Canon-Red,,,16734274.0,ns,73414
distr_random_i64,Pcg32,Canon-Red,,,12327104.0,ns,74976
distr_random_i64,Pcg32,Canon-Red,,,8306713.0,ns,76538
distr_random_i64,Pcg32,Canon-Red,,,12352502.0,ns,78100
distr_random_i64,Pcg32,Canon-Red,,,11560991.0,ns,79662
distr_random_i64,Pcg32,Canon-Red,,,14016366.0,ns,81224
distr_random_i64,Pcg32,Canon-Red,,,9680109.0,ns,82786
distr_random_i64,Pcg32,Canon-Red,,,19948768.0,ns,84348
distr_random_i64,Pcg32,Canon-Red,,,10694550.0,ns,85910
distr_random_i64,Pcg32,Canon-Red,,,18418436.0,ns,87472
distr_random_i64,Pcg32,Canon-Red,,,20697558.0,ns,89034
distr_random_i64,Pcg32,Canon-Red,,,17727315.0,ns,90596
distr_random_i64,Pcg32,Canon-Red,,,17372046.0,ns,92158
distr_random_i64,Pcg32,Canon-Red,,,8904038.0,ns,93720
distr_random_i64,Pcg32,Canon-Red,,,13624768.0,ns,95282
distr_random_i64,Pcg32,Canon-Red,,,10903884.0,ns,96844
distr_random_i64,Pcg32,Canon-Red,,,19312690.0,ns,98406
distr_random_i64,Pcg32,Canon-Red,,,10340995.0,ns,99968
distr_random_i64,Pcg32,Canon-Red,,,22913752.0,ns,101530
distr_random_i64,Pcg32,Canon-Red,,,14998576.0,ns,103092
distr_random_i64,Pcg32,Canon-Red,,,15086502.0,ns,104654
distr_random_i64,Pcg32,Canon-Red,,,13776254.0,ns,106216
distr_random_i64,Pcg32,Canon-Red,,,17022087.0,ns,107778
distr_random_i64,Pcg32,Canon-Red,,,11209280.0,ns,109340
distr_random_i64,Pcg32,Canon-Red,,,10773349.0,ns,110902
distr_random_i64,Pcg32,Canon-Red,,,22763117.0,ns,112464
distr_random_i64,Pcg32,Canon-Red,,,19462312.0,ns,114026
distr_random_i64,Pcg32,Canon-Red,,,19737651.0,ns,115588
distr_random_i64,Pcg32,Canon-Red,,,26930526.0,ns,117150
distr_random_i64,Pcg32,Canon-Red,,,28043351.0,ns,118712
distr_random_i64,Pcg32,Canon-Red,,,28298523.0,ns,120274
distr_random_i64,Pcg32,Canon-Red,,,22793385.0,ns,121836
distr_random_i64,Pcg32,Canon-Red,,,19344581.0,ns,123398
distr_random_i64,Pcg32,Canon-Red,,,12716408.0,ns,124960
distr_random_i64,Pcg32,Canon-Red,,,26700142.0,ns,126522
distr_random_i64,Pcg32,Canon-Red,,,17007960.0,ns,128084
distr_random_i64,Pcg32,Canon-Red,,,19514431.0,ns,129646
distr_random_i64,Pcg32,Canon-Red,,,20818927.0,ns,131208
distr_random_i64,Pcg32,Canon-Red,,,24462027.0,ns,132770
distr_random_i64,Pcg32,Canon-Red,,,12795587.0,ns,134332
distr_random_i64,Pcg32,Canon-Red,,,13643103.0,ns,135894
distr_random_i64,Pcg32,Canon-Red,,,26798417.0,ns,137456
distr_random_i64,Pcg32,Canon-Red,,,17986081.0,ns,139018
distr_random_i64,Pcg32,Canon-Red,,,13648293.0,ns,140580
distr_random_i64,Pcg32,Canon-Red,,,14265956.0,ns,142142
distr_random_i64,Pcg32,Canon-Red,,,17950134.0,ns,143704
distr_random_i64,Pcg32,Canon-Red,,,14693912.0,ns,145266
distr_random_i64,Pcg32,Canon-Red,,,31413689.0,ns,146828
distr_random_i64,Pcg32,Canon-Red,,,17704662.0,ns,148390
