group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i64,SmallRng,Canon-reduced,,,149873.0,ns,1429
distr_random_i64,SmallRng,Canon-reduced,,,177114.0,ns,2858
distr_random_i64,SmallRng,Canon-reduced,,,214655.0,ns,4287
distr_random_i64,SmallRng,Canon-reduced,,,319142.0,ns,5716
distr_random_i64,SmallRng,Canon-reduced,,,1197947.0,ns,7145
distr_random_i64,SmallRng,Canon-reduced,,,1168862.0,ns,8574
distr_random_i64,SmallRng,Canon-reduced,,,639545.0,ns,10003
distr_random_i64,SmallRng,Canon-reduced,,,1932211.0,ns,11432
distr_random_i64,SmallRng,Canon-reduced,,,1473176.0,ns,12861
distr_random_i64,SmallRng,Canon-reduced,,,1150888.0,ns,14290
distr_random_i64,SmallRng,Canon-reduced,,,2541258.0,ns,15719
distr_random_i64,SmallRng,Canon-reduced,,,2567267.0,ns,17148
distr_random_i64,SmallRng,Canon-reduced,,,1951567.0,ns,18577
distr_random_i64,SmallRng,Canon-reduced,,,1090395.0,ns,20006
distr_random_i64,SmallRng,Canon-reduced,,,2819823.0,ns,21435
distr_random_i64,SmallRng,Canon-reduced,,,1566231.0,ns,22864
distr_random_i64,SmallRng,Canon-reduced,,,4142124.0,ns,24293
distr_random_i64,SmallRng,Canon-reduced,,,4409218.0,ns,25722
distr_random_i64,SmallRng,Canon-reduced,,,2673418.0,ns,27151
distr_random_i64,SmallRng,Canon-reduced,,,1835409.0,ns,28580
distr_random_i64,SmallRng,Canon-reduced,,,2061124.0,ns,30009
distr_random_i64,SmallRng,Canon-reduced,,,4630936.0,ns,31438
distr_random_i64,SmallRng,Canon-reduced,,,2277462.0,ns,32867
distr_random_i64,SmallRng,Canon-reduced,,,3163701.0,ns,34296
distr_random_i64,SmallRng,Canon-reduced,,,2500652.0,ns,35725
distr_random_i64,SmallRng,Canon-reduced,,,2747196.0,ns,37154
distr_random_i64,SmallRng,Canon-reduced,,,3483333.0,ns,38583
distr_random_i64,SmallRng,Canon-reduced,,,6071289.0,ns,40012
distr_random_i64,SmallRng,Canon-reduced,,,7228450.0,ns,41441
distr_random_i64,SmallRng,Canon-reduced,,,5644005.0,ns,42870
distr_random_i64,SmallRng,Canon-reduced,,,2319129.0,ns,44299
distr_random_i64,SmallRng,Canon-reduced,,,3414674.0,ns,45728
distr_random_i64,SmallRng,Canon-reduced,,,4767894.0,ns,47157
distr_random_i64,SmallRng,Canon-reduced,,,6032777.0,ns,48586
distr_random_i64,SmallRng,Canon-reduced,,,6790966.0,ns,50015
distr_random_i64,SmallRng,Canon-reduced,,,6858163.0,ns,51444
distr_random_i64,SmallRng,Canon-reduced,,,4434977.0,ns,52873
distr_random_i64,SmallRng,Canon-reduced,,,2717320.0,ns,54302
distr_random_i64,SmallRng,Canon-reduced,,,3043093.0,ns,55731
distr_random_i64,SmallRng,Canon-reduced,,,6842823.0,ns,57160
distr_random_i64,SmallRng,Canon-reduced,,,3793137.0,ns,58589
distr_random_i64,SmallRng,Canon-reduced,,,4402846.0,ns,60018
distr_random_i64,SmallRng,Canon-reduced,,,3097206.0,ns,61447
distr_random_i64,SmallRng,Canon-reduced,,,6118799.0,ns,62876
distr_random_i64,SmallRng,Canon-reduced,,,10966282.0,ns,64305
distr_random_i64,SmallRng,Canon-reduced,,,4090868.0,ns,65734
distr_random_i64,SmallRng,Canon-reduced,,,4667625.0,ns,67163
distr_random_i64,SmallRng,Canon-reduced,,,3703067.0,ns,68592
distr_random_i64,SmallRng,Canon-reduced,,,7015278.0,ns,70021
distr_random_i64,SmallRng,Canon-reduced,,,12414862.0,ns,71450
distr_random_i64,SmallRng,Canon-reduced,,,11966427.0,ns,72879
distr_random_i64,SmallRng,Canon-reduced,,,10385158.0,ns,74308
distr_random_i64,SmallRng,Canon-reduced,,,9938095.0,ns,75737
distr_random_i64,SmallRng,Canon-reduced,,,6775597.0,ns,77166
distr_random_i64,SmallRng,Canon-reduced,,,5487860.0,ns,78595
distr_random_i64,SmallRng,Canon-reduced,,,5496456.0,ns,80024
distr_random_i64,SmallRng,Canon-reduced,,,7420461.0,ns,81453
distr_random_i64,SmallRng,Canon-reduced,,,10408893.0,ns,82882
distr_random_i64,SmallRng,Canon-reduced,,,8553457.0,ns,84311
distr_random_i64,SmallRng,Canon-reduced,,,14215876.0,ns,85740
distr_random_i64,SmallRng,Canon-reduced,,,5035057.0,ns,87169
distr_random_i64,SmallRng,Canon-reduced,,,13247852.0,ns,88598
distr_random_i64,SmallRng,Canon-reduced,,,12027192.0,ns,90027
distr_random_i64,SmallRng,Canon-reduced,,,6238625.0,ns,91456
distr_random_i64,SmallRng,Canon-reduced,,,5186132.0,ns,92885
distr_random_i64,SmallRng,Canon-reduced,,,5131639.0,ns,94314
distr_random_i64,SmallRng,Canon-reduced,,,5576547.0,ns,95743
distr_random_i64,SmallRng,Canon-reduced,,,8151289.0,ns,97172
distr_random_i64,SmallRng,Canon-reduced,,,11489679.0,ns,98601
distr_random_i64,SmallRng,Canon-reduced,,,9442222.0,ns,100030
distr_random_i64,SmallRng,Canon-reduced,,,15045148.0,ns,101459
distr_random_i64,SmallRng,Canon-reduced,,,17684300.0,ns,102888
distr_random_i64,SmallRng,Canon-reduced,,,14084979.0,ns,104317
distr_random_i64,SmallRng,Canon-reduced,,,7627622.0,ns,105746
distr_random_i64,SmallRng,Canon-reduced,,,6952079.0,ns,107175
distr_random_i64,SmallRng,Canon-reduced,,,10143643.0,ns,108604
distr_random_i64,SmallRng,Canon-reduced,,,12445219.0,ns,110033
distr_random_i64,SmallRng,Canon-reduced,,,13281876.0,ns,111462
distr_random_i64,SmallRng,Canon-reduced,,,14582577.0,ns,112891
distr_random_i64,SmallRng,Canon-reduced,,,13201355.0,ns,114320
distr_random_i64,SmallRng,Canon-reduced,,,15321529.0,ns,115749
distr_random_i64,SmallRng,Canon-reduced,,,17738614.0,ns,117178
distr_random_i64,SmallRng,Canon-reduced,,,18512432.0,ns,118607
distr_random_i64,SmallRng,Canon-reduced,,,18015736.0,ns,120036
distr_random_i64,SmallRng,Canon-reduced,,,20563336.0,ns,121465
distr_random_i64,SmallRng,Canon-reduced,,,6027417.0,ns,122894
distr_random_i64,SmallRng,Canon-reduced,,,20175384.0,ns,124323
distr_random_i64,SmallRng,Canon-reduced,,,16896246.0,ns,125752
distr_random_i64,SmallRng,Canon-reduced,,,16492005.0,ns,127181
distr_random_i64,SmallRng,Canon-reduced,,,8847250.0,ns,128610
distr_random_i64,SmallRng,Canon-reduced,,,6407784.0,ns,130039
distr_random_i64,SmallRng,Canon-reduced,,,9604016.0,ns,131468
distr_random_i64,SmallRng,Canon-reduced,,,22164772.0,ns,132897
distr_random_i64,SmallRng,Canon-reduced,,,14346301.0,ns,134326
distr_random_i64,SmallRng,Canon-reduced,,,18498565.0,ns,135755
distr_random_i64,SmallRng,Canon-reduced,,,17121360.0,ns,137184
distr_random_i64,SmallRng,Canon-reduced,,,8588172.0,ns,138613
