group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,ChaCha8Rng,Canon32,,,197161.0,ns,3112
distr_random_i8,ChaCha8Rng,Canon32,,,394883.0,ns,6224
distr_random_i8,ChaCha8Rng,Canon32,,,578079.0,ns,9336
distr_random_i8,ChaCha8Rng,Canon32,,,782965.0,ns,12448
distr_random_i8,ChaCha8Rng,Canon32,,,986808.0,ns,15560
distr_random_i8,ChaCha8Rng,Canon32,,,1159583.0,ns,18672
distr_random_i8,ChaCha8Rng,Canon32,,,1374729.0,ns,21784
distr_random_i8,ChaCha8Rng,Canon32,,,1558144.0,ns,24896
distr_random_i8,ChaCha8Rng,Canon32,,,1739196.0,ns,28008
distr_random_i8,ChaCha8Rng,Canon32,,,2082432.0,ns,31120
distr_random_i8,ChaCha8Rng,Canon32,,,2143697.0,ns,34232
distr_random_i8,ChaCha8Rng,Canon32,,,2319337.0,ns,37344
distr_random_i8,ChaCha8Rng,Canon32,,,2607260.0,ns,40456
distr_random_i8,ChaCha8Rng,Canon32,,,2727105.0,ns,43568
distr_random_i8,ChaCha8Rng,Canon32,,,2894441.0,ns,46680
distr_random_i8,ChaCha8Rng,Canon32,,,3183716.0,ns,49792
distr_random_i8,ChaCha8Rng,Canon32,,,3376989.0,ns,52904
distr_random_i8,ChaCha8Rng,Canon32,,,3494772.0,ns,56016
distr_random_i8,ChaCha8Rng,Canon32,,,3669761.0,ns,59128
distr_random_i8,ChaCha8Rng,Canon32,,,3879506.0,ns,62240
distr_random_i8,ChaCha8Rng,Canon32,,,4092517.0,ns,65352
distr_random_i8,ChaCha8Rng,Canon32,,,4382683.0,ns,68464
distr_random_i8,ChaCha8Rng,Canon32,,,4625030.0,ns,71576
distr_random_i8,ChaCha8Rng,Canon32,,,4854311.0,ns,74688
distr_random_i8,ChaCha8Rng,Canon32,,,4976832.0,ns,77800
distr_random_i8,ChaCha8Rng,Canon32,,,5122697.0,ns,80912
distr_random_i8,ChaCha8Rng,Canon32,,,5344455.0,ns,84024
distr_random_i8,ChaCha8Rng,Canon32,,,5479660.0,ns,87136
distr_random_i8,ChaCha8Rng,Canon32,,,5769796.0,ns,90248
distr_random_i8,ChaCha8Rng,Canon32,,,5924758.0,ns,93360
distr_random_i8,ChaCha8Rng,Canon32,,,6287801.0,ns,96472
distr_random_i8,ChaCha8Rng,Canon32,,,6367071.0,ns,99584
distr_random_i8,ChaCha8Rng,Canon32,,,6581154.0,ns,102696
distr_random_i8,ChaCha8Rng,Canon32,,,6686051.0,ns,105808
distr_random_i8,ChaCha8Rng,Canon32,,,6999040.0,ns,108920
distr_random_i8,ChaCha8Rng,Canon32,,,6964726.0,ns,112032
distr_random_i8,ChaCha8Rng,Canon32,,,7392592.0,ns,115144
distr_random_i8,ChaCha8Rng,Canon32,,,7379507.0,ns,118256
distr_random_i8,ChaCha8Rng,Canon32,,,7541773.0,ns,121368
distr_random_i8,ChaCha8Rng,Canon32,,,8116736.0,ns,124480
distr_random_i8,ChaCha8Rng,Canon32,,,8133637.0,ns,127592
distr_random_i8,ChaCha8Rng,Canon32,,,8223737.0,ns,130704
distr_random_i8,ChaCha8Rng,Canon32,,,8316031.0,ns,133816
distr_random_i8,ChaCha8Rng,Canon32,,,8535855.0,ns,136928
distr_random_i8,ChaCha8Rng,Canon32,,,8767751.0,ns,140040
distr_random_i8,ChaCha8Rng,Canon32,,,9083526.0,ns,143152
distr_random_i8,ChaCha8Rng,Canon32,,,9158177.0,ns,146264
distr_random_i8,ChaCha8Rng,Canon32,,,9427033.0,ns,149376
distr_random_i8,ChaCha8Rng,Canon32,,,9550676.0,ns,152488
distr_random_i8,ChaCha8Rng,Canon32,,,9752957.0,ns,155600
distr_random_i8,ChaCha8Rng,Canon32,,,10007918.0,ns,158712
distr_random_i8,ChaCha8Rng,Canon32,,,10315867.0,ns,161824
distr_random_i8,ChaCha8Rng,Canon32,,,10609590.0,ns,164936
distr_random_i8,ChaCha8Rng,Canon32,,,10424000.0,ns,168048
distr_random_i8,ChaCha8Rng,Canon32,,,10683519.0,ns,171160
distr_random_i8,ChaCha8Rng,Canon32,,,10880550.0,ns,174272
distr_random_i8,ChaCha8Rng,Canon32,,,11222605.0,ns,177384
distr_random_i8,ChaCha8Rng,Canon32,,,11546164.0,ns,180496
distr_random_i8,ChaCha8Rng,Canon32,,,11431678.0,ns,183608
distr_random_i8,ChaCha8Rng,Canon32,,,11634921.0,ns,186720
distr_random_i8,ChaCha8Rng,Canon32,,,12015999.0,ns,189832
distr_random_i8,ChaCha8Rng,Canon32,,,12138369.0,ns,192944
distr_random_i8,ChaCha8Rng,Canon32,,,12514447.0,ns,196056
distr_random_i8,ChaCha8Rng,Canon32,,,12516772.0,ns,199168
distr_random_i8,ChaCha8Rng,Canon32,,,12769188.0,ns,202280
distr_random_i8,ChaCha8Rng,Canon32,,,12829671.0,ns,205392
distr_random_i8,ChaCha8Rng,Canon32,,,12980736.0,ns,208504
distr_random_i8,ChaCha8Rng,Canon32,,,13289998.0,ns,211616
distr_random_i8,ChaCha8Rng,Canon32,,,13383133.0,ns,214728
distr_random_i8,ChaCha8Rng,Canon32,,,13599481.0,ns,217840
distr_random_i8,ChaCha8Rng,Canon32,,,13767006.0,ns,220952
distr_random_i8,ChaCha8Rng,Canon32,,,14239045.0,ns,224064
distr_random_i8,ChaCha8Rng,Canon32,,,14325869.0,ns,227176
distr_random_i8,ChaCha8Rng,Canon32,,,14344384.0,ns,230288
distr_random_i8,ChaCha8Rng,Canon32,,,14739628.0,ns,233400
distr_random_i8,ChaCha8Rng,Canon32,,,14889500.0,ns,236512
distr_random_i8,ChaCha8Rng,Canon32,,,15592945.0,ns,239624
distr_random_i8,ChaCha8Rng,Canon32,,,15355137.0,ns,242736
distr_random_i8,ChaCha8Rng,Canon32,,,15337033.0,ns,245848
distr_random_i8,ChaCha8Rng,Canon32,,,15525918.0,ns,248960
distr_random_i8,ChaCha8Rng,Canon32,,,15780599.0,ns,252072
distr_random_i8,ChaCha8Rng,Canon32,,,15981346.0,ns,255184
distr_random_i8,ChaCha8Rng,Canon32,,,16180652.0,ns,258296
distr_random_i8,ChaCha8Rng,Canon32,,,16572209.0,ns,261408
distr_random_i8,ChaCha8Rng,Canon32,,,16587208.0,ns,264520
distr_random_i8,ChaCha8Rng,Canon32,,,16939751.0,ns,267632
distr_random_i8,ChaCha8Rng,Canon32,,,16880069.0,ns,270744
distr_random_i8,ChaCha8Rng,Canon32,,,17221693.0,ns,273856
distr_random_i8,ChaCha8Rng,Canon32,,,17444432.0,ns,276968
distr_random_i8,ChaCha8Rng,Canon32,,,17531405.0,ns,280080
distr_random_i8,ChaCha8Rng,Canon32,,,18046375.0,ns,283192
distr_random_i8,ChaCha8Rng,Canon32,,,17941437.0,ns,286304
distr_random_i8,ChaCha8Rng,Canon32,,,18302077.0,ns,289416
distr_random_i8,ChaCha8Rng,Canon32,,,18335840.0,ns,292528
distr_random_i8,ChaCha8Rng,Canon32,,,18408848.0,ns,295640
distr_random_i8,ChaCha8Rng,Canon32,,,18637819.0,ns,298752
distr_random_i8,ChaCha8Rng,Canon32,,,19197042.0,ns,301864
distr_random_i8,ChaCha8Rng,Canon32,,,19107624.0,ns,304976
distr_random_i8,ChaCha8Rng,Canon32,,,19304936.0,ns,308088
distr_random_i8,ChaCha8Rng,Canon32,,,19385167.0,ns,311200
