group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,Pcg32,Canon32-Un,,,192543.0,ns,3728
distr_random_i8,Pcg32,Canon32-Un,,,386347.0,ns,7456
distr_random_i8,Pcg32,Canon32-Un,,,577597.0,ns,11184
distr_random_i8,Pcg32,Canon32-Un,,,879677.0,ns,14912
distr_random_i8,Pcg32,Canon32-Un,,,963825.0,ns,18640
distr_random_i8,Pcg32,Canon32-Un,,,1156297.0,ns,22368
distr_random_i8,Pcg32,Canon32-Un,,,1349912.0,ns,26096
distr_random_i8,Pcg32,Canon32-Un,,,1541282.0,ns,29824
distr_random_i8,Pcg32,Canon32-Un,,,1734907.0,ns,33552
distr_random_i8,Pcg32,Canon32-Un,,,2029051.0,ns,37280
distr_random_i8,Pcg32,Canon32-Un,,,2137225.0,ns,41008
distr_random_i8,Pcg32,Canon32-Un,,,2480993.0,ns,44736
distr_random_i8,Pcg32,Canon32-Un,,,2808048.0,ns,48464
distr_random_i8,Pcg32,Canon32-Un,,,2859184.0,ns,52192
distr_random_i8,Pcg32,Canon32-Un,,,3057297.0,ns,55920
distr_random_i8,Pcg32,Canon32-Un,,,3086913.0,ns,59648
distr_random_i8,Pcg32,Canon32-Un,,,3302539.0,ns,63376
distr_random_i8,Pcg32,Canon32-Un,,,3468572.0,ns,67104
distr_random_i8,Pcg32,Canon32-Un,,,3661906.0,ns,70832
distr_random_i8,Pcg32,Canon32-Un,,,3854459.0,ns,74560
distr_random_i8,Pcg32,Canon32-Un,,,4048735.0,ns,78288
distr_random_i8,Pcg32,Canon32-Un,,,4247018.0,ns,82016
distr_random_i8,Pcg32,Canon32-Un,,,4431947.0,ns,85744
distr_random_i8,Pcg32,Canon32-Un,,,4801923.0,ns,89472
distr_random_i8,Pcg32,Canon32-Un,,,4916479.0,ns,93200
distr_random_i8,Pcg32,Canon32-Un,,,5344355.0,ns,96928
distr_random_i8,Pcg32,Canon32-Un,,,5370635.0,ns,100656
distr_random_i8,Pcg32,Canon32-Un,,,5398276.0,ns,104384
distr_random_i8,Pcg32,Canon32-Un,,,5836601.0,ns,108112
distr_random_i8,Pcg32,Canon32-Un,,,5842923.0,ns,111840
distr_random_i8,Pcg32,Canon32-Un,,,6144832.0,ns,115568
distr_random_i8,Pcg32,Canon32-Un,,,6167375.0,ns,119296
distr_random_i8,Pcg32,Canon32-Un,,,6548402.0,ns,123024
distr_random_i8,Pcg32,Canon32-Un,,,6626419.0,ns,126752
distr_random_i8,Pcg32,Canon32-Un,,,6746104.0,ns,130480
distr_random_i8,Pcg32,Canon32-Un,,,7195150.0,ns,134208
distr_random_i8,Pcg32,Canon32-Un,,,7458917.0,ns,137936
distr_random_i8,Pcg32,Canon32-Un,,,7336776.0,ns,141664
distr_random_i8,Pcg32,Canon32-Un,,,7540931.0,ns,145392
distr_random_i8,Pcg32,Canon32-Un,,,7787485.0,ns,149120
distr_random_i8,Pcg32,Canon32-Un,,,7980609.0,ns,152848
distr_random_i8,Pcg32,Canon32-Un,,,8242542.0,ns,156576
distr_random_i8,Pcg32,Canon32-Un,,,8613671.0,ns,160304
distr_random_i8,Pcg32,Canon32-Un,,,8482534.0,ns,164032
distr_random_i8,Pcg32,Canon32-Un,,,9352683.0,ns,167760
distr_random_i8,Pcg32,Canon32-Un,,,10035840.0,ns,171488
distr_random_i8,Pcg32,Canon32-Un,,,9218581.0,ns,175216
distr_random_i8,Pcg32,Canon32-Un,,,9641337.0,ns,178944
distr_random_i8,Pcg32,Canon32-Un,,,9628092.0,ns,182672
distr_random_i8,Pcg32,Canon32-Un,,,9991095.0,ns,186400
distr_random_i8,Pcg32,Canon32-Un,,,10225477.0,ns,190128
distr_random_i8,Pcg32,Canon32-Un,,,10514661.0,ns,193856
distr_random_i8,Pcg32,Canon32-Un,,,10705300.0,ns,197584
distr_random_i8,Pcg32,Canon32-Un,,,10750054.0,ns,201312
distr_random_i8,Pcg32,Canon32-Un,,,11080447.0,ns,205040
distr_random_i8,Pcg32,Canon32-Un,,,10928661.0,ns,208768
distr_random_i8,Pcg32,Canon32-Un,,,11048506.0,ns,212496
distr_random_i8,Pcg32,Canon32-Un,,,11343252.0,ns,216224
distr_random_i8,Pcg32,Canon32-Un,,,11385952.0,ns,219952
distr_random_i8,Pcg32,Canon32-Un,,,12042649.0,ns,223680
distr_random_i8,Pcg32,Canon32-Un,,,12082915.0,ns,227408
distr_random_i8,Pcg32,Canon32-Un,,,12278333.0,ns,231136
distr_random_i8,Pcg32,Canon32-Un,,,12964986.0,ns,234864
distr_random_i8,Pcg32,Canon32-Un,,,12353124.0,ns,238592
distr_random_i8,Pcg32,Canon32-Un,,,13182035.0,ns,242320
distr_random_i8,Pcg32,Canon32-Un,,,13048092.0,ns,246048
distr_random_i8,Pcg32,Canon32-Un,,,13433478.0,ns,249776
distr_random_i8,Pcg32,Canon32-Un,,,13759873.0,ns,253504
