group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,Pcg64,Canon,,,197713.0,ns,2552
distr_random_i8,Pcg64,Canon,,,395395.0,ns,5104
distr_random_i8,Pcg64,Canon,,,594410.0,ns,7656
distr_random_i8,Pcg64,Canon,,,791812.0,ns,10208
distr_random_i8,Pcg64,Canon,,,989454.0,ns,12760
distr_random_i8,Pcg64,Canon,,,1187167.0,ns,15312
distr_random_i8,Pcg64,Canon,,,1385030.0,ns,17864
distr_random_i8,Pcg64,Canon,,,1583675.0,ns,20416
distr_random_i8,Pcg64,Canon,,,1784593.0,ns,22968
distr_random_i8,Pcg64,Canon,,,1979610.0,ns,25520
distr_random_i8,Pcg64,Canon,,,2179887.0,ns,28072
distr_random_i8,Pcg64,Canon,,,2374614.0,ns,30624
distr_random_i8,Pcg64,Canon,,,2573469.0,ns,33176
distr_random_i8,Pcg64,Canon,,,2771292.0,ns,35728
distr_random_i8,Pcg64,Canon,,,2970507.0,ns,38280
distr_random_i8,Pcg64,Canon,,,3167037.0,ns,40832
distr_random_i8,Pcg64,Canon,,,3363728.0,ns,43384
distr_random_i8,Pcg64,Canon,,,3563415.0,ns,45936
distr_random_i8,Pcg64,Canon,,,3760075.0,ns,48488
distr_random_i8,Pcg64,Canon,,,4173063.0,ns,51040
distr_random_i8,Pcg64,Canon,,,4399480.0,ns,53592
distr_random_i8,Pcg64,Canon,,,4371296.0,ns,56144
distr_random_i8,Pcg64,Canon,,,4628320.0,ns,58696
distr_random_i8,Pcg64,Canon,,,5042902.0,ns,61248
distr_random_i8,Pcg64,Canon,,,5038002.0,ns,63800
distr_random_i8,Pcg64,Canon,,,5153410.0,ns,66352
distr_random_i8,Pcg64,Canon,,,5413200.0,ns,68904
distr_random_i8,Pcg64,Canon,,,5541872.0,ns,71456
distr_random_i8,Pcg64,Canon,,,5741609.0,ns,74008
distr_random_i8,Pcg64,Canon,,,5947517.0,ns,76560
distr_random_i8,Pcg64,Canon,,,6139107.0,ns,79112
distr_random_i8,Pcg64,Canon,,,6335096.0,ns,81664
distr_random_i8,Pcg64,Canon,,,6530966.0,ns,84216
distr_random_i8,Pcg64,Canon,,,6729289.0,ns,86768
distr_random_i8,Pcg64,Canon,,,6928685.0,ns,89320
distr_random_i8,Pcg64,Canon,,,7123812.0,ns,91872
distr_random_i8,Pcg64,Canon,,,7322537.0,ns,94424
distr_random_i8,Pcg64,Canon,,,7520780.0,ns,96976
distr_random_i8,Pcg64,Canon,,,7716971.0,ns,99528
distr_random_i8,Pcg64,Canon,,,7917638.0,ns,102080
distr_random_i8,Pcg64,Canon,,,8116363.0,ns,104632
distr_random_i8,Pcg64,Canon,,,8313485.0,ns,107184
distr_random_i8,Pcg64,Canon,,,8512790.0,ns,109736
distr_random_i8,Pcg64,Canon,,,8752621.0,ns,112288
distr_random_i8,Pcg64,Canon,,,8945576.0,ns,114840
distr_random_i8,Pcg64,Canon,,,9104354.0,ns,117392
distr_random_i8,Pcg64,Canon,,,9308810.0,ns,119944
distr_random_i8,Pcg64,Canon,,,9506552.0,ns,122496
distr_random_i8,Pcg64,Canon,,,9695849.0,ns,125048
distr_random_i8,Pcg64,Canon,,,9895536.0,ns,127600
distr_random_i8,Pcg64,Canon,,,10094981.0,ns,130152
distr_random_i8,Pcg64,Canon,,,10292022.0,ns,132704
distr_random_i8,Pcg64,Canon,,,10490065.0,ns,135256
distr_random_i8,Pcg64,Canon,,,10686265.0,ns,137808
distr_random_i8,Pcg64,Canon,,,10884399.0,ns,140360
distr_random_i8,Pcg64,Canon,,,11081910.0,ns,142912
