group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distr_random_i8,SmallRng,Canon-Unbiased,,,197452.0,ns,3570
distr_random_i8,SmallRng,Canon-Unbiased,,,394383.0,ns,7140
distr_random_i8,SmallRng,Canon-Unbiased,,,593088.0,ns,10710
distr_random_i8,SmallRng,Canon-Unbiased,,,788746.0,ns,14280
distr_random_i8,SmallRng,Canon-Unbiased,,,987811.0,ns,17850
distr_random_i8,SmallRng,Canon-Unbiased,,,1185143.0,ns,21420
distr_random_i8,SmallRng,Canon-Unbiased,,,1381834.0,ns,24990
distr_random_i8,SmallRng,Canon-Unbiased,,,1580678.0,ns,28560
distr_random_i8,SmallRng,Canon-Unbiased,,,1776947.0,ns,32130
distr_random_i8,SmallRng,Canon-Unbiased,,,1974871.0,ns,35700
distr_random_i8,SmallRng,Canon-Unbiased,,,2175118.0,ns,39270
distr_random_i8,SmallRng,Canon-Unbiased,,,2369905.0,ns,42840
distr_random_i8,SmallRng,Canon-Unbiased,,,2574120.0,ns,46410
distr_random_i8,SmallRng,Canon-Unbiased,,,2764569.0,ns,49980
distr_random_i8,SmallRng,Canon-Unbiased,,,2961641.0,ns,53550
distr_random_i8,SmallRng,Canon-Unbiased,,,3161788.0,ns,57120
distr_random_i8,SmallRng,Canon-Unbiased,,,3360352.0,ns,60690
distr_random_i8,SmallRng,Canon-Unbiased,,,3554808.0,ns,64260
distr_random_i8,SmallRng,Canon-Unbiased,,,3752420.0,ns,67830
distr_random_i8,SmallRng,Canon-Unbiased,,,3945434.0,ns,71400
distr_random_i8,SmallRng,Canon-Unbiased,,,4141263.0,ns,74970
distr_random_i8,SmallRng,Canon-Unbiased,,,4339716.0,ns,78540
distr_random_i8,SmallRng,Canon-Unbiased,,,4539133.0,ns,82110
distr_random_i8,SmallRng,Canon-Unbiased,,,4735854.0,ns,85680
distr_random_i8,SmallRng,Canon-Unbiased,,,4937113.0,ns,89250
distr_random_i8,SmallRng,Canon-Unbiased,,,5134174.0,ns,92820
distr_random_i8,SmallRng,Canon-Unbiased,,,5328490.0,ns,96390
distr_random_i8,SmallRng,Canon-Unbiased,,,5530571.0,ns,99960
distr_random_i8,SmallRng,Canon-Unbiased,,,5727361.0,ns,103530
distr_random_i8,SmallRng,Canon-Unbiased,,,5922809.0,ns,107100
distr_random_i8,SmallRng,Canon-Unbiased,,,6116475.0,ns,110670
distr_random_i8,SmallRng,Canon-Unbiased,,,6313747.0,ns,114240
distr_random_i8,SmallRng,Canon-Unbiased,,,6507922.0,ns,117810
distr_random_i8,SmallRng,Canon-Unbiased,,,6709222.0,ns,121380
distr_random_i8,SmallRng,Canon-Unbiased,,,6910110.0,ns,124950
distr_random_i8,SmallRng,Canon-Unbiased,,,7073478.0,ns,128520
distr_random_i8,SmallRng,Canon-Unbiased,,,7285037.0,ns,132090
distr_random_i8,SmallRng,Canon-Unbiased,,,7469905.0,ns,135660
distr_random_i8,SmallRng,Canon-Unbiased,,,7668459.0,ns,139230
distr_random_i8,SmallRng,Canon-Unbiased,,,7867183.0,ns,142800
distr_random_i8,SmallRng,Canon-Unbiased,,,8056500.0,ns,146370
distr_random_i8,SmallRng,Canon-Unbiased,,,8286223.0,ns,149940
distr_random_i8,SmallRng,Canon-Unbiased,,,8463827.0,ns,153510
distr_random_i8,SmallRng,Canon-Unbiased,,,8645580.0,ns,157080
distr_random_i8,SmallRng,Canon-Unbiased,,,8843282.0,ns,160650
distr_random_i8,SmallRng,Canon-Unbiased,,,9039423.0,ns,164220
distr_random_i8,SmallRng,Canon-Unbiased,,,9237195.0,ns,167790
distr_random_i8,SmallRng,Canon-Unbiased,,,9430378.0,ns,171360
distr_random_i8,SmallRng,Canon-Unbiased,,,9627831.0,ns,174930
distr_random_i8,SmallRng,Canon-Unbiased,,,9827157.0,ns,178500
distr_random_i8,SmallRng,Canon-Unbiased,,,10019399.0,ns,182070
distr_random_i8,SmallRng,Canon-Unbiased,,,10220468.0,ns,185640
distr_random_i8,SmallRng,Canon-Unbiased,,,10413221.0,ns,189210
distr_random_i8,SmallRng,Canon-Unbiased,,,10613097.0,ns,192780
distr_random_i8,SmallRng,Canon-Unbiased,,,10808095.0,ns,196350
distr_random_i8,SmallRng,Canon-Unbiased,,,11005506.0,ns,199920
distr_random_i8,SmallRng,Canon-Unbiased,,,11202628.0,ns,203490
distr_random_i8,SmallRng,Canon-Unbiased,,,11394861.0,ns,207060
distr_random_i8,SmallRng,Canon-Unbiased,,,11597372.0,ns,210630
distr_random_i8,SmallRng,Canon-Unbiased,,,11789143.0,ns,214200
distr_random_i8,SmallRng,Canon-Unbiased,,,11988669.0,ns,217770
distr_random_i8,SmallRng,Canon-Unbiased,,,12180210.0,ns,221340
distr_random_i8,SmallRng,Canon-Unbiased,,,12382140.0,ns,224910
distr_random_i8,SmallRng,Canon-Unbiased,,,12583840.0,ns,228480
distr_random_i8,SmallRng,Canon-Unbiased,,,12772756.0,ns,232050
distr_random_i8,SmallRng,Canon-Unbiased,,,12971471.0,ns,235620
distr_random_i8,SmallRng,Canon-Unbiased,,,13166659.0,ns,239190
distr_random_i8,SmallRng,Canon-Unbiased,,,13361897.0,ns,242760
distr_random_i8,SmallRng,Canon-Unbiased,,,13559228.0,ns,246330
distr_random_i8,SmallRng,Canon-Unbiased,,,13757792.0,ns,249900
distr_random_i8,SmallRng,Canon-Unbiased,,,13949333.0,ns,253470
distr_random_i8,SmallRng,Canon-Unbiased,,,14158227.0,ns,257040
distr_random_i8,SmallRng,Canon-Unbiased,,,14344779.0,ns,260610
distr_random_i8,SmallRng,Canon-Unbiased,,,14553682.0,ns,264180
distr_random_i8,SmallRng,Canon-Unbiased,,,14735745.0,ns,267750
distr_random_i8,SmallRng,Canon-Unbiased,,,14935682.0,ns,271320
distr_random_i8,SmallRng,Canon-Unbiased,,,15133715.0,ns,274890
distr_random_i8,SmallRng,Canon-Unbiased,,,15331628.0,ns,278460
distr_random_i8,SmallRng,Canon-Unbiased,,,15524742.0,ns,282030
distr_random_i8,SmallRng,Canon-Unbiased,,,15721522.0,ns,285600
distr_random_i8,SmallRng,Canon-Unbiased,,,15915949.0,ns,289170
distr_random_i8,SmallRng,Canon-Unbiased,,,16113522.0,ns,292740
distr_random_i8,SmallRng,Canon-Unbiased,,,16328907.0,ns,296310
distr_random_i8,SmallRng,Canon-Unbiased,,,16513144.0,ns,299880
distr_random_i8,SmallRng,Canon-Unbiased,,,16699886.0,ns,303450
distr_random_i8,SmallRng,Canon-Unbiased,,,16902789.0,ns,307020
distr_random_i8,SmallRng,Canon-Unbiased,,,17097756.0,ns,310590
distr_random_i8,SmallRng,Canon-Unbiased,,,17293545.0,ns,314160
distr_random_i8,SmallRng,Canon-Unbiased,,,17489254.0,ns,317730
distr_random_i8,SmallRng,Canon-Unbiased,,,17687067.0,ns,321300
distr_random_i8,SmallRng,Canon-Unbiased,,,17882575.0,ns,324870
distr_random_i8,SmallRng,Canon-Unbiased,,,18081780.0,ns,328440
distr_random_i8,SmallRng,Canon-Unbiased,,,18276827.0,ns,332010
