group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,ChaCha8Rng,Canon-Red,,,115086.0,ns,418
single_random_i128,ChaCha8Rng,Canon-Red,,,301317.0,ns,836
single_random_i128,ChaCha8Rng,Canon-Red,,,347845.0,ns,1254
single_random_i128,ChaCha8Rng,Canon-Red,,,598176.0,ns,1672
single_random_i128,ChaCha8Rng,Canon-Red,,,711850.0,ns,2090
single_random_i128,ChaCha8Rng,Canon-Red,,,1039047.0,ns,2508
single_random_i128,ChaCha8Rng,Canon-Red,,,1100963.0,ns,2926
single_random_i128,ChaCha8Rng,Canon-Red,,,1076998.0,ns,3344
single_random_i128,ChaCha8Rng,Canon-Red,,,1059595.0,ns,3762
single_random_i128,ChaCha8Rng,Canon-Red,,,1542646.0,ns,4180
single_random_i128,ChaCha8Rng,Canon-Red,,,1586799.0,ns,4598
single_random_i128,ChaCha8Rng,Canon-Red,,,2184163.0,ns,5016
single_random_i128,ChaCha8Rng,Canon-Red,,,2225160.0,ns,5434
single_random_i128,ChaCha8Rng,Canon-Red,,,2207307.0,ns,5852
single_random_i128,ChaCha8Rng,Canon-Red,,,3037300.0,ns,6270
single_random_i128,ChaCha8Rng,Canon-Red,,,2341430.0,ns,6688
single_random_i128,ChaCha8Rng,Canon-Red,,,2528723.0,ns,7106
single_random_i128,ChaCha8Rng,Canon-Red,,,2119532.0,ns,7524
single_random_i128,ChaCha8Rng,Canon-Red,,,2221483.0,ns,7942
single_random_i128,ChaCha8Rng,Canon-Red,,,3664390.0,ns,8360
single_random_i128,ChaCha8Rng,Canon-Red,,,2942211.0,ns,8778
single_random_i128,ChaCha8Rng,Canon-Red,,,4029077.0,ns,9196
single_random_i128,ChaCha8Rng,Canon-Red,,,3048170.0,ns,9614
single_random_i128,ChaCha8Rng,Canon-Red,,,4991049.0,ns,10032
single_random_i128,ChaCha8Rng,Canon-Red,,,3386557.0,ns,10450
single_random_i128,ChaCha8Rng,Canon-Red,,,3042109.0,ns,10868
single_random_i128,ChaCha8Rng,Canon-Red,,,4341957.0,ns,11286
single_random_i128,ChaCha8Rng,Canon-Red,,,4516215.0,ns,11704
single_random_i128,ChaCha8Rng,Canon-Red,,,6242486.0,ns,12122
single_random_i128,ChaCha8Rng,Canon-Red,,,3508206.0,ns,12540
single_random_i128,ChaCha8Rng,Canon-Red,,,6751785.0,ns,12958
