group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,ChaCha8Rng,Canon32-2,,,135355.0,ns,463
single_random_i128,ChaCha8Rng,Canon32-2,,,271782.0,ns,926
single_random_i128,ChaCha8Rng,Canon32-2,,,820817.0,ns,1389
single_random_i128,ChaCha8Rng,Canon32-2,,,777755.0,ns,1852
single_random_i128,ChaCha8Rng,Canon32-2,,,715157.0,ns,2315
single_random_i128,ChaCha8Rng,Canon32-2,,,1706656.0,ns,2778
single_random_i128,ChaCha8Rng,Canon32-2,,,1476051.0,ns,3241
single_random_i128,ChaCha8Rng,Canon32-2,,,1641743.0,ns,3704
single_random_i128,ChaCha8Rng,Canon32-2,,,1445143.0,ns,4167
single_random_i128,ChaCha8Rng,Canon32-2,,,2850861.0,ns,4630
single_random_i128,ChaCha8Rng,Canon32-2,,,1712366.0,ns,5093
single_random_i128,ChaCha8Rng,Canon32-2,,,3250515.0,ns,5556
single_random_i128,ChaCha8Rng,Canon32-2,,,3618298.0,ns,6019
single_random_i128,ChaCha8Rng,Canon32-2,,,3771576.0,ns,6482
single_random_i128,ChaCha8Rng,Canon32-2,,,2526300.0,ns,6945
single_random_i128,ChaCha8Rng,Canon32-2,,,2380565.0,ns,7408
single_random_i128,ChaCha8Rng,Canon32-2,,,4618812.0,ns,7871
single_random_i128,ChaCha8Rng,Canon32-2,,,4893971.0,ns,8334
single_random_i128,ChaCha8Rng,Canon32-2,,,5340553.0,ns,8797
single_random_i128,ChaCha8Rng,Canon32-2,,,3155316.0,ns,9260
single_random_i128,ChaCha8Rng,Canon32-2,,,2977681.0,ns,9723
single_random_i128,ChaCha8Rng,Canon32-2,,,3959972.0,ns,10186
single_random_i128,ChaCha8Rng,Canon32-2,,,3519160.0,ns,10649
single_random_i128,ChaCha8Rng,Canon32-2,,,3582210.0,ns,11112
single_random_i128,ChaCha8Rng,Canon32-2,,,6663856.0,ns,11575
single_random_i128,ChaCha8Rng,Canon32-2,,,5215397.0,ns,12038
single_random_i128,ChaCha8Rng,Canon32-2,,,3876303.0,ns,12501
single_random_i128,ChaCha8Rng,Canon32-2,,,7747438.0,ns,12964
single_random_i128,ChaCha8Rng,Canon32-2,,,5148060.0,ns,13427
single_random_i128,ChaCha8Rng,Canon32-2,,,5429050.0,ns,13890
single_random_i128,ChaCha8Rng,Canon32-2,,,6045270.0,ns,14353
single_random_i128,ChaCha8Rng,Canon32-2,,,7937846.0,ns,14816
single_random_i128,ChaCha8Rng,Canon32-2,,,9279023.0,ns,15279
single_random_i128,ChaCha8Rng,Canon32-2,,,5721992.0,ns,15742
single_random_i128,ChaCha8Rng,Canon32-2,,,9907618.0,ns,16205
single_random_i128,ChaCha8Rng,Canon32-2,,,4956699.0,ns,16668
single_random_i128,ChaCha8Rng,Canon32-2,,,7993501.0,ns,17131
single_random_i128,ChaCha8Rng,Canon32-2,,,10721071.0,ns,17594
single_random_i128,ChaCha8Rng,Canon32-2,,,10782657.0,ns,18057
single_random_i128,ChaCha8Rng,Canon32-2,,,6898808.0,ns,18520
single_random_i128,ChaCha8Rng,Canon32-2,,,9439306.0,ns,18983
single_random_i128,ChaCha8Rng,Canon32-2,,,11369262.0,ns,19446
single_random_i128,ChaCha8Rng,Canon32-2,,,9411764.0,ns,19909
single_random_i128,ChaCha8Rng,Canon32-2,,,6840229.0,ns,20372
single_random_i128,ChaCha8Rng,Canon32-2,,,12708266.0,ns,20835
single_random_i128,ChaCha8Rng,Canon32-2,,,9482427.0,ns,21298
single_random_i128,ChaCha8Rng,Canon32-2,,,7420432.0,ns,21761
single_random_i128,ChaCha8Rng,Canon32-2,,,6858974.0,ns,22224
single_random_i128,ChaCha8Rng,Canon32-2,,,7644674.0,ns,22687
single_random_i128,ChaCha8Rng,Canon32-2,,,7832688.0,ns,23150
single_random_i128,ChaCha8Rng,Canon32-2,,,8255535.0,ns,23613
single_random_i128,ChaCha8Rng,Canon32-2,,,11071060.0,ns,24076
single_random_i128,ChaCha8Rng,Canon32-2,,,9376617.0,ns,24539
single_random_i128,ChaCha8Rng,Canon32-2,,,9243937.0,ns,25002
