group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,ChaCha8Rng,ONeill,,,363465.0,ns,660
single_random_i128,ChaCha8Rng,ONeill,,,954889.0,ns,1320
single_random_i128,ChaCha8Rng,ONeill,,,617523.0,ns,1980
single_random_i128,ChaCha8Rng,ONeill,,,1576379.0,ns,2640
single_random_i128,ChaCha8Rng,ONeill,,,2516890.0,ns,3300
single_random_i128,ChaCha8Rng,ONeill,,,3042239.0,ns,3960
single_random_i128,ChaCha8Rng,ONeill,,,2029191.0,ns,4620
single_random_i128,ChaCha8Rng,ONeill,,,2902947.0,ns,5280
single_random_i128,ChaCha8Rng,ONeill,,,3240653.0,ns,5940
single_random_i128,ChaCha8Rng,ONeill,,,4780913.0,ns,6600
single_random_i128,ChaCha8Rng,ONeill,,,5193561.0,ns,7260
single_random_i128,ChaCha8Rng,ONeill,,,5245639.0,ns,7920
single_random_i128,ChaCha8Rng,ONeill,,,3895445.0,ns,8580
single_random_i128,ChaCha8Rng,ONeill,,,3729864.0,ns,9240
single_random_i128,ChaCha8Rng,ONeill,,,5849245.0,ns,9900
single_random_i128,ChaCha8Rng,ONeill,,,3146896.0,ns,10560
single_random_i128,ChaCha8Rng,ONeill,,,4289728.0,ns,11220
single_random_i128,ChaCha8Rng,ONeill,,,4072680.0,ns,11880
single_random_i128,ChaCha8Rng,ONeill,,,4430654.0,ns,12540
single_random_i128,ChaCha8Rng,ONeill,,,4131571.0,ns,13200
single_random_i128,ChaCha8Rng,ONeill,,,6296818.0,ns,13860
single_random_i128,ChaCha8Rng,ONeill,,,4039978.0,ns,14520
single_random_i128,ChaCha8Rng,ONeill,,,4283737.0,ns,15180
single_random_i128,ChaCha8Rng,ONeill,,,5847983.0,ns,15840
single_random_i128,ChaCha8Rng,ONeill,,,7745317.0,ns,16500
single_random_i128,ChaCha8Rng,ONeill,,,4735899.0,ns,17160
single_random_i128,ChaCha8Rng,ONeill,,,6825555.0,ns,17820
single_random_i128,ChaCha8Rng,ONeill,,,5372698.0,ns,18480
single_random_i128,ChaCha8Rng,ONeill,,,10361683.0,ns,19140
single_random_i128,ChaCha8Rng,ONeill,,,9487387.0,ns,19800
single_random_i128,ChaCha8Rng,ONeill,,,8796085.0,ns,20460
single_random_i128,ChaCha8Rng,ONeill,,,7571238.0,ns,21120
single_random_i128,ChaCha8Rng,ONeill,,,6237015.0,ns,21780
single_random_i128,ChaCha8Rng,ONeill,,,12056084.0,ns,22440
single_random_i128,ChaCha8Rng,ONeill,,,15529906.0,ns,23100
single_random_i128,ChaCha8Rng,ONeill,,,6663659.0,ns,23760
single_random_i128,ChaCha8Rng,ONeill,,,12811286.0,ns,24420
single_random_i128,ChaCha8Rng,ONeill,,,9527342.0,ns,25080
single_random_i128,ChaCha8Rng,ONeill,,,14024231.0,ns,25740
single_random_i128,ChaCha8Rng,ONeill,,,12912677.0,ns,26400
single_random_i128,ChaCha8Rng,ONeill,,,10368556.0,ns,27060
single_random_i128,ChaCha8Rng,ONeill,,,13384696.0,ns,27720
single_random_i128,ChaCha8Rng,ONeill,,,10755986.0,ns,28380
single_random_i128,ChaCha8Rng,ONeill,,,15848396.0,ns,29040
single_random_i128,ChaCha8Rng,ONeill,,,9567037.0,ns,29700
single_random_i128,ChaCha8Rng,ONeill,,,10752540.0,ns,30360
single_random_i128,ChaCha8Rng,ONeill,,,16911709.0,ns,31020
single_random_i128,ChaCha8Rng,ONeill,,,19190209.0,ns,31680
single_random_i128,ChaCha8Rng,ONeill,,,13721510.0,ns,32340
single_random_i128,ChaCha8Rng,ONeill,,,17252189.0,ns,33000
single_random_i128,ChaCha8Rng,ONeill,,,9964365.0,ns,33660
single_random_i128,ChaCha8Rng,ONeill,,,13257006.0,ns,34320
single_random_i128,ChaCha8Rng,ONeill,,,10775222.0,ns,34980
single_random_i128,ChaCha8Rng,ONeill,,,26064415.0,ns,35640
single_random_i128,ChaCha8Rng,ONeill,,,12788354.0,ns,36300
single_random_i128,ChaCha8Rng,ONeill,,,13570186.0,ns,36960
single_random_i128,ChaCha8Rng,ONeill,,,13970740.0,ns,37620
single_random_i128,ChaCha8Rng,ONeill,,,20511338.0,ns,38280
single_random_i128,ChaCha8Rng,ONeill,,,21311935.0,ns,38940
single_random_i128,ChaCha8Rng,ONeill,,,13692506.0,ns,39600
single_random_i128,ChaCha8Rng,ONeill,,,13032002.0,ns,40260
single_random_i128,ChaCha8Rng,ONeill,,,22350901.0,ns,40920
single_random_i128,ChaCha8Rng,ONeill,,,15938145.0,ns,41580
single_random_i128,ChaCha8Rng,ONeill,,,17723637.0,ns,42240
single_random_i128,ChaCha8Rng,ONeill,,,23355473.0,ns,42900
single_random_i128,ChaCha8Rng,ONeill,,,27410530.0,ns,43560
single_random_i128,ChaCha8Rng,ONeill,,,20372426.0,ns,44220
single_random_i128,ChaCha8Rng,ONeill,,,22461770.0,ns,44880
single_random_i128,ChaCha8Rng,ONeill,,,19796200.0,ns,45540
single_random_i128,ChaCha8Rng,ONeill,,,15348835.0,ns,46200
single_random_i128,ChaCha8Rng,ONeill,,,25373384.0,ns,46860
single_random_i128,ChaCha8Rng,ONeill,,,25870089.0,ns,47520
single_random_i128,ChaCha8Rng,ONeill,,,21333976.0,ns,48180
single_random_i128,ChaCha8Rng,ONeill,,,16366372.0,ns,48840
single_random_i128,ChaCha8Rng,ONeill,,,23517318.0,ns,49500
single_random_i128,ChaCha8Rng,ONeill,,,18962280.0,ns,50160
single_random_i128,ChaCha8Rng,ONeill,,,14550882.0,ns,50820
single_random_i128,ChaCha8Rng,ONeill,,,21097631.0,ns,51480
single_random_i128,ChaCha8Rng,ONeill,,,19160824.0,ns,52140
single_random_i128,ChaCha8Rng,ONeill,,,14508573.0,ns,52800
single_random_i128,ChaCha8Rng,ONeill,,,22815136.0,ns,53460
single_random_i128,ChaCha8Rng,ONeill,,,28117531.0,ns,54120
single_random_i128,ChaCha8Rng,ONeill,,,14388487.0,ns,54780
single_random_i128,ChaCha8Rng,ONeill,,,15404250.0,ns,55440
single_random_i128,ChaCha8Rng,ONeill,,,15195667.0,ns,56100
single_random_i128,ChaCha8Rng,ONeill,,,21154268.0,ns,56760
single_random_i128,ChaCha8Rng,ONeill,,,22821477.0,ns,57420
single_random_i128,ChaCha8Rng,ONeill,,,22516584.0,ns,58080
single_random_i128,ChaCha8Rng,ONeill,,,43666013.0,ns,58740
single_random_i128,ChaCha8Rng,ONeill,,,28452272.0,ns,59400
single_random_i128,ChaCha8Rng,ONeill,,,28766935.0,ns,60060
