group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,Pcg64,Canon-Un,,,106521.0,ns,460
single_random_i128,Pcg64,Canon-Un,,,314382.0,ns,920
single_random_i128,Pcg64,Canon-Un,,,836886.0,ns,1380
single_random_i128,Pcg64,Canon-Un,,,922517.0,ns,1840
single_random_i128,Pcg64,Canon-Un,,,1366523.0,ns,2300
single_random_i128,Pcg64,Canon-Un,,,746536.0,ns,2760
single_random_i128,Pcg64,Canon-Un,,,946853.0,ns,3220
single_random_i128,Pcg64,Canon-Un,,,1358990.0,ns,3680
single_random_i128,Pcg64,Canon-Un,,,1729287.0,ns,4140
single_random_i128,Pcg64,Canon-Un,,,1752700.0,ns,4600
single_random_i128,Pcg64,Canon-Un,,,1240997.0,ns,5060
single_random_i128,Pcg64,Canon-Un,,,1703499.0,ns,5520
single_random_i128,Pcg64,Canon-Un,,,3540417.0,ns,5980
single_random_i128,Pcg64,Canon-Un,,,1944141.0,ns,6440
single_random_i128,Pcg64,Canon-Un,,,2683473.0,ns,6900
single_random_i128,Pcg64,Canon-Un,,,3156945.0,ns,7360
single_random_i128,Pcg64,Canon-Un,,,1893506.0,ns,7820
single_random_i128,Pcg64,Canon-Un,,,3286239.0,ns,8280
single_random_i128,Pcg64,Canon-Un,,,5196016.0,ns,8740
single_random_i128,Pcg64,Canon-Un,,,5059218.0,ns,9200
single_random_i128,Pcg64,Canon-Un,,,4969108.0,ns,9660
single_random_i128,Pcg64,Canon-Un,,,2183923.0,ns,10120
single_random_i128,Pcg64,Canon-Un,,,2879713.0,ns,10580
single_random_i128,Pcg64,Canon-Un,,,6504950.0,ns,11040
single_random_i128,Pcg64,Canon-Un,,,3126979.0,ns,11500
single_random_i128,Pcg64,Canon-Un,,,5524684.0,ns,11960
single_random_i128,Pcg64,Canon-Un,,,3090610.0,ns,12420
single_random_i128,Pcg64,Canon-Un,,,4761366.0,ns,12880
single_random_i128,Pcg64,Canon-Un,,,5365925.0,ns,13340
single_random_i128,Pcg64,Canon-Un,,,8164796.0,ns,13800
single_random_i128,Pcg64,Canon-Un,,,5042466.0,ns,14260
single_random_i128,Pcg64,Canon-Un,,,4074303.0,ns,14720
single_random_i128,Pcg64,Canon-Un,,,3854038.0,ns,15180
single_random_i128,Pcg64,Canon-Un,,,4008619.0,ns,15640
single_random_i128,Pcg64,Canon-Un,,,6350599.0,ns,16100
single_random_i128,Pcg64,Canon-Un,,,6152166.0,ns,16560
single_random_i128,Pcg64,Canon-Un,,,7437096.0,ns,17020
single_random_i128,Pcg64,Canon-Un,,,10124066.0,ns,17480
single_random_i128,Pcg64,Canon-Un,,,8588684.0,ns,17940
single_random_i128,Pcg64,Canon-Un,,,5943463.0,ns,18400
single_random_i128,Pcg64,Canon-Un,,,5885263.0,ns,18860
single_random_i128,Pcg64,Canon-Un,,,7169151.0,ns,19320
single_random_i128,Pcg64,Canon-Un,,,7230136.0,ns,19780
single_random_i128,Pcg64,Canon-Un,,,9058920.0,ns,20240
single_random_i128,Pcg64,Canon-Un,,,4795260.0,ns,20700
single_random_i128,Pcg64,Canon-Un,,,7532265.0,ns,21160
single_random_i128,Pcg64,Canon-Un,,,7683179.0,ns,21620
single_random_i128,Pcg64,Canon-Un,,,10497439.0,ns,22080
single_random_i128,Pcg64,Canon-Un,,,13163841.0,ns,22540
single_random_i128,Pcg64,Canon-Un,,,13724577.0,ns,23000
single_random_i128,Pcg64,Canon-Un,,,8555693.0,ns,23460
single_random_i128,Pcg64,Canon-Un,,,5551896.0,ns,23920
single_random_i128,Pcg64,Canon-Un,,,6311276.0,ns,24380
single_random_i128,Pcg64,Canon-Un,,,14563697.0,ns,24840
single_random_i128,Pcg64,Canon-Un,,,5509325.0,ns,25300
single_random_i128,Pcg64,Canon-Un,,,6855671.0,ns,25760
single_random_i128,Pcg64,Canon-Un,,,9281749.0,ns,26220
single_random_i128,Pcg64,Canon-Un,,,13074712.0,ns,26680
single_random_i128,Pcg64,Canon-Un,,,12734101.0,ns,27140
single_random_i128,Pcg64,Canon-Un,,,6280979.0,ns,27600
single_random_i128,Pcg64,Canon-Un,,,16776433.0,ns,28060
single_random_i128,Pcg64,Canon-Un,,,6961831.0,ns,28520
single_random_i128,Pcg64,Canon-Un,,,10271403.0,ns,28980
single_random_i128,Pcg64,Canon-Un,,,16475086.0,ns,29440
single_random_i128,Pcg64,Canon-Un,,,8868321.0,ns,29900
single_random_i128,Pcg64,Canon-Un,,,8086529.0,ns,30360
single_random_i128,Pcg64,Canon-Un,,,8504966.0,ns,30820
single_random_i128,Pcg64,Canon-Un,,,6792932.0,ns,31280
single_random_i128,Pcg64,Canon-Un,,,16268888.0,ns,31740
single_random_i128,Pcg64,Canon-Un,,,19046279.0,ns,32200
single_random_i128,Pcg64,Canon-Un,,,8675709.0,ns,32660
single_random_i128,Pcg64,Canon-Un,,,7743202.0,ns,33120
single_random_i128,Pcg64,Canon-Un,,,8370303.0,ns,33580
single_random_i128,Pcg64,Canon-Un,,,12295415.0,ns,34040
single_random_i128,Pcg64,Canon-Un,,,7987171.0,ns,34500
