group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,Pcg64,Canon32,,,240574.0,ns,499
single_random_i128,Pcg64,Canon32,,,252666.0,ns,998
single_random_i128,Pcg64,Canon32,,,669982.0,ns,1497
single_random_i128,Pcg64,Canon32,,,524809.0,ns,1996
single_random_i128,Pcg64,Canon32,,,645697.0,ns,2495
single_random_i128,Pcg64,Canon32,,,738822.0,ns,2994
single_random_i128,Pcg64,Canon32,,,1639169.0,ns,3493
single_random_i128,Pcg64,Canon32,,,1971655.0,ns,3992
single_random_i128,Pcg64,Canon32,,,972422.0,ns,4491
single_random_i128,Pcg64,Canon32,,,1063464.0,ns,4990
single_random_i128,Pcg64,Canon32,,,1696967.0,ns,5489
single_random_i128,Pcg64,Canon32,,,2779597.0,ns,5988
single_random_i128,Pcg64,Canon32,,,1715512.0,ns,6487
single_random_i128,Pcg64,Canon32,,,1600556.0,ns,6986
single_random_i128,Pcg64,Canon32,,,3682098.0,ns,7485
single_random_i128,Pcg64,Canon32,,,1719289.0,ns,7984
single_random_i128,Pcg64,Canon32,,,2058729.0,ns,8483
single_random_i128,Pcg64,Canon32,,,4447741.0,ns,8982
single_random_i128,Pcg64,Canon32,,,4602042.0,ns,9481
single_random_i128,Pcg64,Canon32,,,2907909.0,ns,9980
single_random_i128,Pcg64,Canon32,,,3168861.0,ns,10479
single_random_i128,Pcg64,Canon32,,,3326238.0,ns,10978
single_random_i128,Pcg64,Canon32,,,4910563.0,ns,11477
single_random_i128,Pcg64,Canon32,,,2791139.0,ns,11976
single_random_i128,Pcg64,Canon32,,,2721508.0,ns,12475
single_random_i128,Pcg64,Canon32,,,4082793.0,ns,12974
single_random_i128,Pcg64,Canon32,,,3356855.0,ns,13473
single_random_i128,Pcg64,Canon32,,,3992362.0,ns,13972
single_random_i128,Pcg64,Canon32,,,3831218.0,ns,14471
single_random_i128,Pcg64,Canon32,,,3181495.0,ns,14970
single_random_i128,Pcg64,Canon32,,,3281523.0,ns,15469
single_random_i128,Pcg64,Canon32,,,5022583.0,ns,15968
single_random_i128,Pcg64,Canon32,,,6092990.0,ns,16467
single_random_i128,Pcg64,Canon32,,,6391142.0,ns,16966
single_random_i128,Pcg64,Canon32,,,4433904.0,ns,17465
single_random_i128,Pcg64,Canon32,,,4408025.0,ns,17964
single_random_i128,Pcg64,Canon32,,,8666189.0,ns,18463
single_random_i128,Pcg64,Canon32,,,4845661.0,ns,18962
single_random_i128,Pcg64,Canon32,,,5357214.0,ns,19461
single_random_i128,Pcg64,Canon32,,,8910900.0,ns,19960
single_random_i128,Pcg64,Canon32,,,9503016.0,ns,20459
single_random_i128,Pcg64,Canon32,,,9890936.0,ns,20958
single_random_i128,Pcg64,Canon32,,,5023575.0,ns,21457
single_random_i128,Pcg64,Canon32,,,5586367.0,ns,21956
single_random_i128,Pcg64,Canon32,,,5716972.0,ns,22455
single_random_i128,Pcg64,Canon32,,,6841300.0,ns,22954
single_random_i128,Pcg64,Canon32,,,11167673.0,ns,23453
single_random_i128,Pcg64,Canon32,,,5480106.0,ns,23952
single_random_i128,Pcg64,Canon32,,,11451487.0,ns,24451
single_random_i128,Pcg64,Canon32,,,9078736.0,ns,24950
single_random_i128,Pcg64,Canon32,,,11070008.0,ns,25449
single_random_i128,Pcg64,Canon32,,,5661177.0,ns,25948
single_random_i128,Pcg64,Canon32,,,6865646.0,ns,26447
single_random_i128,Pcg64,Canon32,,,7272663.0,ns,26946
single_random_i128,Pcg64,Canon32,,,13224858.0,ns,27445
single_random_i128,Pcg64,Canon32,,,7789797.0,ns,27944
single_random_i128,Pcg64,Canon32,,,12541020.0,ns,28443
single_random_i128,Pcg64,Canon32,,,7082866.0,ns,28942
single_random_i128,Pcg64,Canon32,,,7335242.0,ns,29441
single_random_i128,Pcg64,Canon32,,,7807531.0,ns,29940
single_random_i128,Pcg64,Canon32,,,10698678.0,ns,30439
single_random_i128,Pcg64,Canon32,,,7883223.0,ns,30938
single_random_i128,Pcg64,Canon32,,,6967548.0,ns,31437
single_random_i128,Pcg64,Canon32,,,7655875.0,ns,31936
single_random_i128,Pcg64,Canon32,,,7877152.0,ns,32435
single_random_i128,Pcg64,Canon32,,,14295256.0,ns,32934
single_random_i128,Pcg64,Canon32,,,9082243.0,ns,33433
single_random_i128,Pcg64,Canon32,,,16636947.0,ns,33932
single_random_i128,Pcg64,Canon32,,,9626378.0,ns,34431
single_random_i128,Pcg64,Canon32,,,14300566.0,ns,34930
single_random_i128,Pcg64,Canon32,,,10406488.0,ns,35429
single_random_i128,Pcg64,Canon32,,,9279434.0,ns,35928
single_random_i128,Pcg64,Canon32,,,7824824.0,ns,36427
single_random_i128,Pcg64,Canon32,,,12182043.0,ns,36926
single_random_i128,Pcg64,Canon32,,,9085229.0,ns,37425
single_random_i128,Pcg64,Canon32,,,9242625.0,ns,37924
single_random_i128,Pcg64,Canon32,,,16928426.0,ns,38423
single_random_i128,Pcg64,Canon32,,,9117660.0,ns,38922
single_random_i128,Pcg64,Canon32,,,14266742.0,ns,39421
single_random_i128,Pcg64,Canon32,,,8726513.0,ns,39920
single_random_i128,Pcg64,Canon32,,,10191613.0,ns,40419
single_random_i128,Pcg64,Canon32,,,19924422.0,ns,40918
single_random_i128,Pcg64,Canon32,,,19834172.0,ns,41417
single_random_i128,Pcg64,Canon32,,,9865438.0,ns,41916
single_random_i128,Pcg64,Canon32,,,11931782.0,ns,42415
single_random_i128,Pcg64,Canon32,,,16914139.0,ns,42914
single_random_i128,Pcg64,Canon32,,,10408903.0,ns,43413
single_random_i128,Pcg64,Canon32,,,21500853.0,ns,43912
single_random_i128,Pcg64,Canon32,,,21833699.0,ns,44411
single_random_i128,Pcg64,Canon32,,,9950499.0,ns,44910
single_random_i128,Pcg64,Canon32,,,10906380.0,ns,45409
single_random_i128,Pcg64,Canon32,,,16155310.0,ns,45908
single_random_i128,Pcg64,Canon32,,,11963832.0,ns,46407
single_random_i128,Pcg64,Canon32,,,22664846.0,ns,46906
single_random_i128,Pcg64,Canon32,,,13059376.0,ns,47405
single_random_i128,Pcg64,Canon32,,,10120980.0,ns,47904
single_random_i128,Pcg64,Canon32,,,10936186.0,ns,48403
single_random_i128,Pcg64,Canon32,,,18833356.0,ns,48902
single_random_i128,Pcg64,Canon32,,,12467280.0,ns,49401
single_random_i128,Pcg64,Canon32,,,10768490.0,ns,49900
