group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i128,SmallRng,Canon-Red-Un,,,436823.0,ns,723
single_random_i128,SmallRng,Canon-Red-Un,,,368053.0,ns,1446
single_random_i128,SmallRng,Canon-Red-Un,,,477319.0,ns,2169
single_random_i128,SmallRng,Canon-Red-Un,,,753138.0,ns,2892
single_random_i128,SmallRng,Canon-Red-Un,,,1088820.0,ns,3615
single_random_i128,SmallRng,Canon-Red-Un,,,1738143.0,ns,4338
single_random_i128,SmallRng,Canon-Red-Un,,,1526705.0,ns,5061
single_random_i128,SmallRng,Canon-Red-Un,,,1848060.0,ns,5784
single_random_i128,SmallRng,Canon-Red-Un,,,2095396.0,ns,6507
single_random_i128,SmallRng,Canon-Red-Un,,,2428523.0,ns,7230
single_random_i128,SmallRng,Canon-Red-Un,,,1715711.0,ns,7953
single_random_i128,SmallRng,Canon-Red-Un,,,2577323.0,ns,8676
single_random_i128,SmallRng,Canon-Red-Un,,,2547878.0,ns,9399
single_random_i128,SmallRng,Canon-Red-Un,,,2834718.0,ns,10122
single_random_i128,SmallRng,Canon-Red-Un,,,2390632.0,ns,10845
single_random_i128,SmallRng,Canon-Red-Un,,,5531147.0,ns,11568
single_random_i128,SmallRng,Canon-Red-Un,,,5208890.0,ns,12291
single_random_i128,SmallRng,Canon-Red-Un,,,6704386.0,ns,13014
single_random_i128,SmallRng,Canon-Red-Un,,,2963170.0,ns,13737
single_random_i128,SmallRng,Canon-Red-Un,,,5027497.0,ns,14460
single_random_i128,SmallRng,Canon-Red-Un,,,4922470.0,ns,15183
single_random_i128,SmallRng,Canon-Red-Un,,,9738660.0,ns,15906
single_random_i128,SmallRng,Canon-Red-Un,,,6373783.0,ns,16629
single_random_i128,SmallRng,Canon-Red-Un,,,3686162.0,ns,17352
single_random_i128,SmallRng,Canon-Red-Un,,,4835075.0,ns,18075
single_random_i128,SmallRng,Canon-Red-Un,,,10981821.0,ns,18798
single_random_i128,SmallRng,Canon-Red-Un,,,10487521.0,ns,19521
single_random_i128,SmallRng,Canon-Red-Un,,,8627177.0,ns,20244
single_random_i128,SmallRng,Canon-Red-Un,,,12303129.0,ns,20967
single_random_i128,SmallRng,Canon-Red-Un,,,6363403.0,ns,21690
single_random_i128,SmallRng,Canon-Red-Un,,,9444827.0,ns,22413
single_random_i128,SmallRng,Canon-Red-Un,,,9533143.0,ns,23136
single_random_i128,SmallRng,Canon-Red-Un,,,10163480.0,ns,23859
single_random_i128,SmallRng,Canon-Red-Un,,,9792732.0,ns,24582
single_random_i128,SmallRng,Canon-Red-Un,,,5519464.0,ns,25305
single_random_i128,SmallRng,Canon-Red-Un,,,6798643.0,ns,26028
single_random_i128,SmallRng,Canon-Red-Un,,,6715907.0,ns,26751
single_random_i128,SmallRng,Canon-Red-Un,,,9649913.0,ns,27474
single_random_i128,SmallRng,Canon-Red-Un,,,9208702.0,ns,28197
single_random_i128,SmallRng,Canon-Red-Un,,,7317170.0,ns,28920
single_random_i128,SmallRng,Canon-Red-Un,,,9222889.0,ns,29643
single_random_i128,SmallRng,Canon-Red-Un,,,13716631.0,ns,30366
single_random_i128,SmallRng,Canon-Red-Un,,,11276396.0,ns,31089
single_random_i128,SmallRng,Canon-Red-Un,,,18658618.0,ns,31812
single_random_i128,SmallRng,Canon-Red-Un,,,10367314.0,ns,32535
single_random_i128,SmallRng,Canon-Red-Un,,,12461107.0,ns,33258
single_random_i128,SmallRng,Canon-Red-Un,,,9210977.0,ns,33981
single_random_i128,SmallRng,Canon-Red-Un,,,20370041.0,ns,34704
single_random_i128,SmallRng,Canon-Red-Un,,,7994545.0,ns,35427
single_random_i128,SmallRng,Canon-Red-Un,,,15530888.0,ns,36150
single_random_i128,SmallRng,Canon-Red-Un,,,10735888.0,ns,36873
single_random_i128,SmallRng,Canon-Red-Un,,,10334242.0,ns,37596
single_random_i128,SmallRng,Canon-Red-Un,,,10790581.0,ns,38319
single_random_i128,SmallRng,Canon-Red-Un,,,8408224.0,ns,39042
single_random_i128,SmallRng,Canon-Red-Un,,,16361692.0,ns,39765
single_random_i128,SmallRng,Canon-Red-Un,,,10921357.0,ns,40488
single_random_i128,SmallRng,Canon-Red-Un,,,10519290.0,ns,41211
single_random_i128,SmallRng,Canon-Red-Un,,,18403378.0,ns,41934
single_random_i128,SmallRng,Canon-Red-Un,,,18644101.0,ns,42657
single_random_i128,SmallRng,Canon-Red-Un,,,11254225.0,ns,43380
single_random_i128,SmallRng,Canon-Red-Un,,,16482220.0,ns,44103
single_random_i128,SmallRng,Canon-Red-Un,,,26803537.0,ns,44826
single_random_i128,SmallRng,Canon-Red-Un,,,12185708.0,ns,45549
single_random_i128,SmallRng,Canon-Red-Un,,,15477618.0,ns,46272
single_random_i128,SmallRng,Canon-Red-Un,,,13065786.0,ns,46995
single_random_i128,SmallRng,Canon-Red-Un,,,18485412.0,ns,47718
single_random_i128,SmallRng,Canon-Red-Un,,,12026739.0,ns,48441
single_random_i128,SmallRng,Canon-Red-Un,,,14011076.0,ns,49164
single_random_i128,SmallRng,Canon-Red-Un,,,23839455.0,ns,49887
single_random_i128,SmallRng,Canon-Red-Un,,,28287341.0,ns,50610
single_random_i128,SmallRng,Canon-Red-Un,,,12898090.0,ns,51333
single_random_i128,SmallRng,Canon-Red-Un,,,22617464.0,ns,52056
single_random_i128,SmallRng,Canon-Red-Un,,,16109257.0,ns,52779
single_random_i128,SmallRng,Canon-Red-Un,,,30504768.0,ns,53502
single_random_i128,SmallRng,Canon-Red-Un,,,13355401.0,ns,54225
single_random_i128,SmallRng,Canon-Red-Un,,,20708298.0,ns,54948
single_random_i128,SmallRng,Canon-Red-Un,,,28489452.0,ns,55671
single_random_i128,SmallRng,Canon-Red-Un,,,21089786.0,ns,56394
single_random_i128,SmallRng,Canon-Red-Un,,,15682794.0,ns,57117
single_random_i128,SmallRng,Canon-Red-Un,,,19182434.0,ns,57840
single_random_i128,SmallRng,Canon-Red-Un,,,15701369.0,ns,58563
single_random_i128,SmallRng,Canon-Red-Un,,,34632631.0,ns,59286
single_random_i128,SmallRng,Canon-Red-Un,,,16843209.0,ns,60009
single_random_i128,SmallRng,Canon-Red-Un,,,34777604.0,ns,60732
single_random_i128,SmallRng,Canon-Red-Un,,,16136959.0,ns,61455
single_random_i128,SmallRng,Canon-Red-Un,,,16037943.0,ns,62178
single_random_i128,SmallRng,Canon-Red-Un,,,15130303.0,ns,62901
single_random_i128,SmallRng,Canon-Red-Un,,,13954931.0,ns,63624
single_random_i128,SmallRng,Canon-Red-Un,,,28619026.0,ns,64347
single_random_i128,SmallRng,Canon-Red-Un,,,15764738.0,ns,65070
single_random_i128,SmallRng,Canon-Red-Un,,,21961308.0,ns,65793
single_random_i128,SmallRng,Canon-Red-Un,,,18089447.0,ns,66516
single_random_i128,SmallRng,Canon-Red-Un,,,15510420.0,ns,67239
single_random_i128,SmallRng,Canon-Red-Un,,,39649369.0,ns,67962
single_random_i128,SmallRng,Canon-Red-Un,,,20704081.0,ns,68685
single_random_i128,SmallRng,Canon-Red-Un,,,16722743.0,ns,69408
single_random_i128,SmallRng,Canon-Red-Un,,,19432456.0,ns,70131
single_random_i128,SmallRng,Canon-Red-Un,,,19050446.0,ns,70854
single_random_i128,SmallRng,Canon-Red-Un,,,21892348.0,ns,71577
single_random_i128,SmallRng,Canon-Red-Un,,,18336862.0,ns,72300
