group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single_random_i16,ChaCha8Rng,Old,,,196430.0,ns,2015
single_random_i16,ChaCha8Rng,Old,,,393111.0,ns,4030
single_random_i16,ChaCha8Rng,Old,,,590392.0,ns,6045
single_random_i16,ChaCha8Rng,Old,,,784809.0,ns,8060
single_random_i16,ChaCha8Rng,Old,,,982892.0,ns,10075
single_random_i16,ChaCha8Rng,Old,,,1179462.0,ns,12090
single_random_i16,ChaCha8Rng,Old,,,1372967.0,ns,14105
single_random_i16,ChaCha8Rng,Old,,,1573364.0,ns,16120
single_random_i16,ChaCha8Rng,Old,,,1769585.0,ns,18135
single_random_i16,ChaCha8Rng,Old,,,1965984.0,ns,20150
single_random_i16,ChaCha8Rng,Old,,,2164869.0,ns,22165
single_random_i16,ChaCha8Rng,Old,,,2357702.0,ns,24180
single_random_i16,ChaCha8Rng,Old,,,2554743.0,ns,26195
single_random_i16,ChaCha8Rng,Old,,,2748689.0,ns,28210
single_random_i16,ChaCha8Rng,Old,,,2949097.0,ns,30225
single_random_i16,ChaCha8Rng,Old,,,3148122.0,ns,32240
single_random_i16,ChaCha8Rng,Old,,,3340044.0,ns,34255
single_random_i16,ChaCha8Rng,Old,,,3539730.0,ns,36270
single_random_i16,ChaCha8Rng,Old,,,3736490.0,ns,38285
single_random_i16,ChaCha8Rng,Old,,,3929664.0,ns,40300
single_random_i16,ChaCha8Rng,Old,,,4125002.0,ns,42315
single_random_i16,ChaCha8Rng,Old,,,4325981.0,ns,44330
single_random_i16,ChaCha8Rng,Old,,,4521980.0,ns,46345
single_random_i16,ChaCha8Rng,Old,,,4714393.0,ns,48360
single_random_i16,ChaCha8Rng,Old,,,4913818.0,ns,50375
single_random_i16,ChaCha8Rng,Old,,,5092154.0,ns,52390
single_random_i16,ChaCha8Rng,Old,,,5292832.0,ns,54405
single_random_i16,ChaCha8Rng,Old,,,5505393.0,ns,56420
single_random_i16,ChaCha8Rng,Old,,,5693186.0,ns,58435
single_random_i16,ChaCha8Rng,Old,,,5895117.0,ns,60450
single_random_i16,ChaCha8Rng,Old,,,6094683.0,ns,62465
single_random_i16,ChaCha8Rng,Old,,,6292586.0,ns,64480
single_random_i16,ChaCha8Rng,Old,,,6557486.0,ns,66495
single_random_i16,ChaCha8Rng,Old,,,6679315.0,ns,68510
single_random_i16,ChaCha8Rng,Old,,,6882157.0,ns,70525
single_random_i16,ChaCha8Rng,Old,,,7074028.0,ns,72540
single_random_i16,ChaCha8Rng,Old,,,7268445.0,ns,74555
single_random_i16,ChaCha8Rng,Old,,,7456520.0,ns,76570
single_random_i16,ChaCha8Rng,Old,,,7906377.0,ns,78585
single_random_i16,ChaCha8Rng,Old,,,7966180.0,ns,80600
single_random_i16,ChaCha8Rng,Old,,,8077709.0,ns,82615
single_random_i16,ChaCha8Rng,Old,,,8281042.0,ns,84630
single_random_i16,ChaCha8Rng,Old,,,8451153.0,ns,86645
single_random_i16,ChaCha8Rng,Old,,,8597759.0,ns,88660
single_random_i16,ChaCha8Rng,Old,,,8792166.0,ns,90675
single_random_i16,ChaCha8Rng,Old,,,9000498.0,ns,92690
single_random_i16,ChaCha8Rng,Old,,,9549353.0,ns,94705
single_random_i16,ChaCha8Rng,Old,,,9383260.0,ns,96720
single_random_i16,ChaCha8Rng,Old,,,9586182.0,ns,98735
single_random_i16,ChaCha8Rng,Old,,,9858234.0,ns,100750
single_random_i16,ChaCha8Rng,Old,,,9961419.0,ns,102765
single_random_i16,ChaCha8Rng,Old,,,10164742.0,ns,104780
single_random_i16,ChaCha8Rng,Old,,,10349670.0,ns,106795
single_random_i16,ChaCha8Rng,Old,,,10557532.0,ns,108810
single_random_i16,ChaCha8Rng,Old,,,10750455.0,ns,110825
single_random_i16,ChaCha8Rng,Old,,,10956454.0,ns,112840
single_random_i16,ChaCha8Rng,Old,,,11626556.0,ns,114855
single_random_i16,ChaCha8Rng,Old,,,11630584.0,ns,116870
single_random_i16,ChaCha8Rng,Old,,,11540483.0,ns,118885
single_random_i16,ChaCha8Rng,Old,,,11700155.0,ns,120900
single_random_i16,ChaCha8Rng,Old,,,11893970.0,ns,122915
single_random_i16,ChaCha8Rng,Old,,,12255571.0,ns,124930
single_random_i16,ChaCha8Rng,Old,,,12352103.0,ns,126945
single_random_i16,ChaCha8Rng,Old,,,12513497.0,ns,128960
single_random_i16,ChaCha8Rng,Old,,,12710959.0,ns,130975
single_random_i16,ChaCha8Rng,Old,,,12898443.0,ns,132990
single_random_i16,ChaCha8Rng,Old,,,13174032.0,ns,135005
single_random_i16,ChaCha8Rng,Old,,,13291272.0,ns,137020
single_random_i16,ChaCha8Rng,Old,,,13478205.0,ns,139035
single_random_i16,ChaCha8Rng,Old,,,13678121.0,ns,141050
single_random_i16,ChaCha8Rng,Old,,,14072014.0,ns,143065
single_random_i16,ChaCha8Rng,Old,,,14069850.0,ns,145080
single_random_i16,ChaCha8Rng,Old,,,14240121.0,ns,147095
single_random_i16,ChaCha8Rng,Old,,,14455736.0,ns,149110
single_random_i16,ChaCha8Rng,Old,,,14787021.0,ns,151125
single_random_i16,ChaCha8Rng,Old,,,14917337.0,ns,153140
single_random_i16,ChaCha8Rng,Old,,,15039367.0,ns,155155
single_random_i16,ChaCha8Rng,Old,,,15224265.0,ns,157170
single_random_i16,ChaCha8Rng,Old,,,15431665.0,ns,159185
single_random_i16,ChaCha8Rng,Old,,,15621293.0,ns,161200
single_random_i16,ChaCha8Rng,Old,,,15814938.0,ns,163215
single_random_i16,ChaCha8Rng,Old,,,16083043.0,ns,165230
single_random_i16,ChaCha8Rng,Old,,,16285965.0,ns,167245
single_random_i16,ChaCha8Rng,Old,,,16425848.0,ns,169260
single_random_i16,ChaCha8Rng,Old,,,16623692.0,ns,171275
single_random_i16,ChaCha8Rng,Old,,,17154201.0,ns,173290
single_random_i16,ChaCha8Rng,Old,,,17011332.0,ns,175305
single_random_i16,ChaCha8Rng,Old,,,17272294.0,ns,177320
single_random_i16,ChaCha8Rng,Old,,,17395937.0,ns,179335
single_random_i16,ChaCha8Rng,Old,,,17605251.0,ns,181350
single_random_i16,ChaCha8Rng,Old,,,17785230.0,ns,183365
single_random_i16,ChaCha8Rng,Old,,,17979496.0,ns,185380
single_random_i16,ChaCha8Rng,Old,,,18141702.0,ns,187395
single_random_i16,ChaCha8Rng,Old,,,18371434.0,ns,189410
single_random_i16,ChaCha8Rng,Old,,,18983548.0,ns,191425
single_random_i16,ChaCha8Rng,Old,,,18742072.0,ns,193440
single_random_i16,ChaCha8Rng,Old,,,19228449.0,ns,195455
single_random_i16,ChaCha8Rng,Old,,,19138680.0,ns,197470
single_random_i16,ChaCha8Rng,Old,,,19366359.0,ns,199485
single_random_i16,ChaCha8Rng,Old,,,19535298.0,ns,201500
